Player,Club,Age,Position,Nation,Value
Bartug Elmaz,Olympique Marseille,20,midfield,Turkey,300k
Mattéo Guendouzi,Olympique Marseille,24,midfield,France,25.00m
Valentin Rongier,Olympique Marseille,28,midfield,France,22.00m
Azzedine Ounahi,Olympique Marseille,23,midfield,Morocco,12.00m
Ruslan Malinovskyi,Olympique Marseille,30,midfield,Ukraine,15.00m
Amine Harit,Olympique Marseille,26,midfield,Morocco,12.00m
Dimitri Payet,Olympique Marseille,36,midfield,France,1.80m
Cengiz Ünder,Olympique Marseille,25,Attack,Turkey,20.00m
Vitinha,Olympique Marseille,23,Attack,Portugal,18.00m
Alexis Sánchez,Olympique Marseille,34,Attack,Chile,4.00m
Anthony Lopes,Olympique Lyon,32,Goalkeeper,Portugal,8.00m
Rémy Riou,Olympique Lyon,35,Goalkeeper,France,400k
Kayne Bonnevie,Olympique Lyon,21,Goalkeeper,France,200k
Castello Lukeba,Olympique Lyon,20,Defender,France,25.00m
Sinaly Diomandé,Olympique Lyon,22,Defender,Cote d'Ivoire,9.00m
Dejan Lovren,Olympique Lyon,33,Defender,Croatia,2.50m
Jérôme Boateng,Olympique Lyon,34,Defender,Germany,800k
Nicolás Tagliafico,Olympique Lyon,30,Defender,Argentina,9.00m
Henrique Silva,Olympique Lyon,29,Defender,Brazil,1.00m
Malo Gusto,Olympique Lyon,20,Defender,France,25.00m
Saël Kumbedi,Olympique Lyon,18,Defender,France,12.00m
Johann Lepenant,Olympique Lyon,20,midfield,France,10.00m
Thiago Mendes,Olympique Lyon,31,midfield,Brazil,5.00m
Maxence Caqueret,Olympique Lyon,23,midfield,France,25.00m
Corentin Tolisso,Olympique Lyon,28,midfield,France,14.00m
Houssem Aouar,Olympique Lyon,24,midfield,Algeria,13.00m
Mohamed El Arouch,Olympique Lyon,19,midfield,France,2.00m
Rayan Cherki,Olympique Lyon,19,midfield,France,30.00m
Jeffinho,Olympique Lyon,23,Attack,Brazil,8.00m
Bradley Barcola,Olympique Lyon,20,Attack,France,18.00m
Alexandre Lacazette,Olympique Lyon,32,Attack,France,14.00m
Moussa Dembélé,Olympique Lyon,26,Attack,France,12.00m
Amin Sarr,Olympique Lyon,22,Attack,Sweden,8.00m
Lucas Chevalier,LOSC Lille,21,Goalkeeper,France,10.00m
Benoît Costil,LOSC Lille,35,Goalkeeper,France,1.00m
Adam Jakubech,LOSC Lille,26,Goalkeeper,Slovakia,300k
Tiago Djaló,LOSC Lille,23,Defender,Portugal,16.00m
