Players,Values
Yacouba Barry,€100k 
Massadio Haidara,€2.00m 
Deiver Machado,€1.80m 
Ismaël Boura,€1.50m 
Malcom Musquet,€100k 
Jonathan Clauss,€15.00m 
Brayann Pereira,€600k 
Cheick Doucouré,€15.00m 
Patrick Berg,€4.50m 
Yannick Cahuzac,€300k 
Samba Sow,€200k 
Seko Fofana,€25.00m 
Jonathan Varane,€250k 
Mamadou Camara,€150k 
Przemyslaw Frankowski,€8.00m 
Charles Boli,€400k 
Gaël Kakuta,€7.00m 
David Costa,€4.50m 
Mohamed Cissé,€200k 
Arnaud Kalimuendo,€18.00m 
Simon Banza,€5.00m 
Ignatius Ganago,€5.00m 
Florian Sotoca,€2.50m 
Wesley Saïd,€2.50m 
Corentin Jean,€1.20m 
Ibrahima Baldé,€300k 
Walter Benítez,€14.00m 
Marcin Bulka,€2.00m 
Teddy Boulhendi,€150k 
Jean-Clair Todibo,€20.00m 
Flavius Daniliuc,€8.00m 
Robson Bambu,€3.00m 
Dante,€800k 
Yannis Nahounou,€150k 
Melvin Bard,€9.00m 
Jordan Amavi,€6.00m 
Hassane Kamara,€4.00m 
Youcef Atal,€15.00m 
Jordan Lotomba,€7.00m 
Antoine Mendy,€150k 
Pablo Rosario,€10.00m 
Mario Lemina,€9.00m 
Morgan Schneiderlin,€3.50m 
Danilo Barbosa,€3.50m 
Justin Smith,€300k 
Khéphren Thuram,€17.00m 
Hicham Boudaoui,€6.50m 
Alexis Trouillet,€1.50m 
Alexis Claude-Maurice,€6.00m 
Justin Kluivert,€15.00m 
Billal Brahimi,€5.00m 
Myziane Maolida,€3.00m 
Calvin Stengs,€13.00m 
Dan Ndoye,€4.00m 
Lucas Da Cunha,€4.00m 
Amine Gouiri,€42.00m 
Kasper Dolberg,€17.00m 
Andy Delort,€13.00m 
Evann Guessand,€3.00m 
Ihsan Sacko,€500k 
Léo Jardim,€4.00m 
Ivo Grbic,€3.50m 
Orestis Karnezis,€500k 
Adam Jakubech,€500k 
Jules Raux,€150k 
Sven Botman,€30.00m 
Tiago Djaló,€12.00m 
Kouadio-Yves Dabila,€900k 
José Fonte,€800k 
Maxime Wackers,€150k 
Leny Yoro,€150k 
Reinildo Mandava,€22.00m 
Gabriel Gudmundsson,€6.00m 
Domagoj Bradaric,€3.50m 
Zeki Celik,€18.00m 
Jérémy Pied,€800k 
Simon Ramet,€150k 
Benjamin André,€12.00m 
Amadou Onana,€10.00m 
Jean Onana,€5.00m 
Cheikh Niasse,€1.00m 
Renato Sanches,€28.00m 
Xeka,€9.00m 
Ugo Raghouber,€250k 
Rocco Ascone,€200k 
Carlos Baleba,€150k 
Yusuf Yazici,€17.00m 
Angel Gomes,€7.00m 
Hatem Ben Arfa,€1.50m 
Exaucé Mpembele Boula,€200k 
Jonathan Bamba,€17.00m 
Capita,€175k 
Jonathan Ikoné,€18.00m 
Timothy Weah,€12.00m 
Luiz Araújo,€10.00m 
Edon Zhegrova,€5.00m 
Isaac Lihadji,€3.50m 
Jonathan David,€45.00m 
Burak Yilmaz,€1.50m 
Bica,€300k 
Jonas Omlin,€8.00m 
Dimitry Bertaud,€1.50m 
Matis Carvalho,€200k 
Mamadou Sakho,€4.50m 
Maxime Estève,€4.50m 
Pedro Mendes,€4.00m 
Thuler,€2.00m 
Redouane Halhal,€100k 
Nicolas Cozza,€5.00m 
Mihailo Ristic,€3.50m 
Ambroise Oyongo,€1.80m 
Thibault Tamas,€200k 
Junior Sambia,€4.50m 
Arnaud Souquet,€2.50m 
Thibaut Vargas,€600k 
Mathías Suárez,€400k 
Enzo Tchato,€250k 
Marius Ros,€100k 
Joris Chotard,€10.00m 
Gabriel Barès,€700k 
Jordan Ferri,€5.00m 
Léo Leroy,€1.50m 
Sacha Delaye,€800k 
Téji Savanier,€12.00m 
Rémy Cabella,€6.50m 
Florent Mollet,€6.00m 
Stephy Mavididi,€10.00m 
Béni Makouana,€800k 
Gaëtan Laborde,€18.00m 
Andy Delort,€13.00m 
Elye Wahi,€12.00m 
Valère Germain,€2.50m 
Nicholas Gioacchini,€1.50m 
Petar Skuletic,€300k 
Yanis Guermouche,€250k 
Ryan Bakayoko,€100k 
Predrag Rajkovic,€9.00m 
Yehvann Diouf,€500k 
Nicolas Penneteau,€150k 
Wout Faes,€10.00m 
Andreaw Gravillon,€6.50m 
Yunis Abdelhamid,€1.20m 
Moustapha Mbow,€600k 
Enzo Valentim,€200k 
Ghislain Konan,€7.00m 
Bradley Locko,€2.00m 
Thomas Foket,€5.00m 
Maxime Busi,€3.50m 
Fodé Doucouré,€600k 
Ibrahim Diakité,€200k 
Azor Matusiwa,€7.00m 
Jens Cajuste,€5.00m 
Marshall Munetsi,€5.00m 
Dion Lopy,€2.50m 
Sambou Sissoko,€500k 
Samuel Koeberlé,€150k 
Xavier Chavalerin,€3.50m 
Moreto Cassamá,€3.00m 
Valon Berisha,€2.50m 
Martin Adeline,€800k 
Ilan Kebbal,€4.50m 
Kamory Doumbia,€1.00m 
Nathanaël Mbuku,€8.00m 
Billal Brahimi,€5.00m 
Arbër Zeneli,€4.50m 
Mathieu Cafaro,€4.00m 
Alexis Flips,€2.50m 
Mitchell van Bergen,€2.00m 
Moussa Doumbia,€1.20m 
Anastasios Donis,€1.00m 
Noa Cervantes,€300k 
Hugo Ekitiké,€28.00m 
El Bilal Touré,€6.50m 
Kaj Sierhuis,€2.30m 
N'Dri Koffi,€1.20m 
Fraser Hornby,€1.00m 
Matz Sels,€8.00m 
Eiji Kawashima,€200k 
Alaa Bellaarouch,€150k 
Alexander Djiku,€10.00m 
Gerzino Nyamsi,€7.50m 
Lucas Perrin,€5.00m 
Ismaël Doukouré,€1.50m 
Maxime Le Marchand,€1.20m 
Marvin Elimbi,€150k 
Anthony Caci,€7.00m 
Frédéric Guilbert,€7.00m 
Karol Fila,€1.20m 
Marvin Senaya,€500k 
Ibrahima Sissoko,€8.00m 
Jean-Eudes Aholou,€3.00m 
Mahamé Siby,€1.30m 
Habib Diarra,€600k 
Jean-Ricner Bellegarde,€8.00m 
Sanjin Prcic,€4.00m 
Dimitri Liénard,€700k 
Dany Jean,€100k 
Adrien Thomasson,€9.00m 
Nordine Kandil,€400k 
Aymeric Ahmed,€250k 
Abdoul Ouattara,€100k 
Mehdi Chahiri,€1.20m 
Majeed Waris,€1.20m 
Ludovic Ajorque,€16.00m 
Habib Diallo,€12.00m 
Lebo Mothiba,€2.00m 
Kévin Gameiro,€2.00m 
Moïse Sahi Dion,€800k 
Alban Lafont,€16.00m 
Rémy Descamps,€800k 
Denis Petric,€200k 
Andrei Girotto,€5.00m 
Jean-Charles Castelletto,€4.00m 
Nicolas Pallois,€1.50m 
Abdoulaye Sylla,€250k 
Yannis M'Bemba,€200k 
Robin Voisine,€150k 
Quentin Merlin,€5.00m 
Charles Traoré,€1.50m 
Dennis Appiah,€2.00m 
Fábio,€1.80m 
Sébastien Corchia,€1.80m 
Pedro Chirivella,€7.00m 
Lohann Doucet,€150k 
Wylan Cyprien,€4.50m 
Samuel Moutoussamy,€3.00m 
Mohamed Achi,€300k 
Ludovic Blas,€16.00m 
Roli Pereira de Sa,€700k 
Gor Manvelyan,€400k 
Moses Simon,€10.00m 
Willem Geubbels,€4.00m 
Anthony Limbombe,€1.20m 
Osman Bukari,€3.00m 
Marcus Coco,€2.00m 
Randal Kolo Muani,€16.00m 
Kalifa Coulibaly,€1.50m 
Jean-Kévin Augustin,€1.50m 
Renaud Emond,€1.20m 
Paul Nardi,€2.00m 
Matthieu Dreyer,€300k 
Teddy Bartouche,€150k 
Thomas Callens,€150k 
Julien Laporte,€3.00m 
Moritz Jenz,€2.50m 
Léo Pétrot,€1.00m 
Thomas Fontaine,€500k 
Loris Mouyokolo,€500k 
Jérémy Morel,€300k 
Bamo Meïté,€100k 
Vincent Le Goff,€1.00m 
Samuel Loric,€600k 
Houboulang Mendes,€3.00m 
Igor Silva,€2.00m 
Jérôme Hergault,€250k 
Ronny Labonne,€150k 
Laurent Abergel,€3.00m 
Bonke Innocent,€2.00m 
Thomas Monconduit,€1.50m 
Fabien Lemoine,€600k 
Baptiste Mouazan,€200k 
Théo Le Bris,€400k 
Redwan Bourlès,€300k 
Enzo Le Fée,€6.00m 
Quentin Boisgard,€1.80m 
Armand Laurienté,€7.00m 
