Players,Values
Duván Zapata,28000000.0
Ruslan Malinovskyi,28000000.0
Renato Sanches,28000000.0
Hakim Ziyech,28000000.0
Hugo Ekitiké,28000000.0
Aaron Ramsdale,28000000.0
Rodrigo Bentancur,28000000.0
Eric Dier,28000000.0
Emiliano Martínez,28000000.0
Davinson Sánchez,28000000.0
John Stones,28000000.0
Curtis Jones,28000000.0
Mario Pasalic,28000000.0
Marc Cucurella,28000000.0
Dominik Szoboszlai,28000000.0
Konrad Laimer,28000000.0
Denis Zakaria,27000000.0
Denis Zakaria,27000000.0
Xaver Schlager,27000000.0
Ciro Immobile,27000000.0
Donyell Malen,27000000.0
Wissam Ben Yedder,25000000.0
Lucas Ocampos,25000000.0
Álvaro Morata,25000000.0
Davide Calabria,25000000.0
Unai Simón,25000000.0
Teun Koopmeiners,25000000.0
Amir Rrahmani,25000000.0
Saúl Ñíguez,25000000.0
Oleksandr Zinchenko,25000000.0
Matty Cash,25000000.0
Lucas Digne,25000000.0
Callum Hudson-Odoi,25000000.0
Tyrick Mitchell,25000000.0
Conor Coady,25000000.0
Ilkay Gündogan,25000000.0
Joachim Andersen,25000000.0
Sergio Reguilón,25000000.0
Lorenzo Insigne,25000000.0
Giovanni Di Lorenzo,25000000.0
Takehiro Tomiyasu,25000000.0
Iñaki Williams,25000000.0
Denzel Dumfries,25000000.0
Merih Demiral,25000000.0
Nicolás González,25000000.0
Raphaël Guerreiro,25000000.0
Julian Brandt,25000000.0
Sasa Kalajdzic,25000000.0
Jonathan Tah,25000000.0
Youssef En-Nesyri,25000000.0
Emerson Royal,25000000.0
Seko Fofana,25000000.0
Emerson Royal,25000000.0
Juan Foyth,25000000.0
Guido Rodríguez,25000000.0
Enes Ünal,25000000.0
Conor Gallagher,25000000.0
Boubacar Kamara,25000000.0
Nathan Aké,25000000.0
Leon Bailey,25000000.0
Donny van de Beek,25000000.0
Nicolas Pépé,25000000.0
Aaron Wan-Bissaka,25000000.0
Saïd Benrahma,25000000.0
Takehiro Tomiyasu,25000000.0
Naby Keïta,25000000.0
Mattéo Guendouzi,25000000.0
Martin Terrier,25000000.0
Aleksandr Golovin,25000000.0
Maxence Caqueret,25000000.0
Jacob Ramsey,25000000.0
Houssem Aouar,25000000.0
Weston McKennie,25000000.0
Pablo Sarabia,25000000.0
Iñigo Martínez,25000000.0
Saúl Ñíguez,25000000.0
Koke,25000000.0
Moise Kean,24000000.0
Eljif Elmas,24000000.0
Moise Kean,24000000.0
Filip Kostic,24000000.0
Amadou Haidara,24000000.0
Borna Sosa,23000000.0
Roger Ibañez,23000000.0
Joaquín Correa,23000000.0
Thomas Müller,22000000.0
Sardar Azmoun,22000000.0
Djibril Sow,22000000.0
Hamed Junior Traorè,22000000.0
Christoph Baumgartner,22000000.0
Gregor Kobel,22000000.0
Mohamed Simakan,22000000.0
Daichi Kamada,22000000.0
Giovani Lo Celso,22000000.0
Pablo Fornals,22000000.0
Álex Remiro,22000000.0
Reinildo Mandava,22000000.0
Mauro Icardi,22000000.0
Tetê,22000000.0
Kevin Volland,22000000.0
Gerson,22000000.0
Thilo Kehrer,22000000.0
James Tarkowski,22000000.0
Harvey Elliott,22000000.0
Eberechi Eze,22000000.0
Reinildo Mandava,22000000.0
David Raya,22000000.0
Michael Olise,22000000.0
Victor Lindelöf,22000000.0
Nélson Semedo,22000000.0
Joe Willock,22000000.0
Giovani Lo Celso,22000000.0
Bryan Mbeumo,22000000.0
Abdoulaye Doucouré,22000000.0
Demarai Gray,22000000.0
Nikola Vlasic,22000000.0
Ezri Konsa,22000000.0
Joan Jordán,22000000.0
Cengiz Ünder,22000000.0
Gianluca Mancini,21000000.0
Jeremie Frimpong,20000000.0
Nordi Mukiele,20000000.0
Odilon Kossounou,20000000.0
Marcus Thuram,20000000.0
Fred,20000000.0
Trincão,20000000.0
Florian Neuhaus,20000000.0
Christian Eriksen,20000000.0
Diogo Dalot,20000000.0
Daniel Podence,20000000.0
Danny Ings,20000000.0
Philippe Coutinho,20000000.0
Adama Traoré,20000000.0
Rafael Borré,20000000.0
Lucas Torreira,20000000.0
Samuel Chukwueze,20000000.0
Adama Traoré,20000000.0
Nico González,20000000.0
Pervis Estupiñán,20000000.0
Mario Hermoso,20000000.0
Sergio Canales,20000000.0
Hugo Guillamón,20000000.0
Geoffrey Kondogbia,20000000.0
Aritz Elustondo,20000000.0
Sofiane Diop,20000000.0
Toni Kroos,20000000.0
Héctor Bellerín,20000000.0
Moussa Dembélé,20000000.0
Castello Lukeba,20000000.0
Lovro Majer,20000000.0
Remo Freuler,20000000.0
Jérémy Doku,20000000.0
Unai Vencedor,20000000.0
Philippe Coutinho,20000000.0
David García,20000000.0
Thiago,20000000.0
Jordan Pickford,20000000.0
Rayan Aït-Nouri,20000000.0
Aleksandar Mitrović,20000000.0
Anthony Elanga,20000000.0
Yerry Mina,20000000.0
Joelinton,20000000.0
Ben Davies,20000000.0
Anthony Gordon,20000000.0
Lucas Moura,20000000.0
Ben Godfrey,20000000.0
Rico Henry,20000000.0
Héctor Bellerín,20000000.0
Ruben Loftus-Cheek,20000000.0
Granit Xhaka,20000000.0
Trevoh Chalobah,20000000.0
Jean-Clair Todibo,20000000.0
Caio Henrique,20000000.0
Leonardo Spinazzola,20000000.0
Bryan Cristante,20000000.0
Taiwo Awoniyi,20000000.0
Maxence Lacroix,20000000.0
Ridle Baku,20000000.0
Davide Frattesi,20000000.0
Andrea Belotti,20000000.0
Luis Muriel,20000000.0
Matteo Politano,20000000.0
Nikola Milenkovic,20000000.0
Antonin Barak,20000000.0
Stanislav Lobotka,20000000.0
Nahuel Molina,20000000.0
David Raum,20000000.0
Andrea Pinamonti,20000000.0
Michael Keane,20000000.0
Jérémie Boga,19000000.0
Marcos Acuña,18000000.0
Alfonso Pedraza,18000000.0
Arnaud Kalimuendo,18000000.0
Manu Koné,18000000.0
Bono,18000000.0
Álex Moreno,18000000.0
Eric García,18000000.0
Daniel Carvajal,18000000.0
Georginio Wijnaldum,18000000.0
Julian Draxler,18000000.0
Youssouf Fofana,18000000.0
Kamaldeen Sulemana,18000000.0
Gaëtan Laborde,18000000.0
Benjamin Bourigeaud,18000000.0
Zeki Celik,18000000.0
Vanderson,18000000.0
Abdou Diallo,18000000.0
Bryan Gil,18000000.0
Rayan Cherki,18000000.0
Umar Sadiq,18000000.0
Moussa Niakhaté,18000000.0
Matthias Ginter,18000000.0
Mahmoud Dahoud,18000000.0
Nico Elvedi,18000000.0
Lukas Klostermann,18000000.0
Philipp Lienhart,18000000.0
Brais Méndez,18000000.0
Jonathan Ikoné,18000000.0
Lukas Nmecha,18000000.0
Tecatito,18000000.0
Kristoffer Ajer,18000000.0
Jesse Lingard,18000000.0
Mason Holgate,18000000.0
Philip Billing,18000000.0
Callum Wilson,18000000.0
Alex Telles,18000000.0
Dwight McNeil,18000000.0
Raúl Jiménez,18000000.0
Dean Henderson,18000000.0
Todd Cantwell,18000000.0
Daniel James,18000000.0
André Gomes,18000000.0
Aaron Hickey,18000000.0
Tom Davies,18000000.0
Alex Iwobi,18000000.0
Joe Gomez,18000000.0
Joel Matip,18000000.0
Kyle Walker,18000000.0
Steven Bergwijn,18000000.0
Bryan Gil,18000000.0
José Sá,18000000.0
Ryan Sessegnon,18000000.0
