Players,Values
Emerson Royal,€25.00m 
Matt Doherty,€12.00m 
Marcel Lavinier,€300k 
Oliver Skipp,€18.00m 
Harry Winks,€15.00m 
Harvey White,€600k 
Pierre-Emile Höjbjerg,€40.00m 
Tanguy Ndombélé,€30.00m 
Rodrigo Bentancur,€28.00m 
Giovani Lo Celso,€22.00m 
Moussa Sissoko,€4.50m 
Nile John,€400k 
Ryan Sessegnon,€18.00m 
Dele Alli,€16.00m 
Alfie Devine,€900k 
Heung-min Son,€75.00m 
Bryan Gil,€18.00m 
Steven Bergwijn,€18.00m 
Jack Clarke,€3.50m 
Dejan Kulusevski,€40.00m 
Lucas Moura,€20.00m 
Dilan Markanday,€400k 
Harry Kane,€90.00m 
Dane Scarlett,€250k 
Freddie Woodman,€9.00m 
Martin Dúbravka,€4.00m 
Karl Darlow,€2.50m 
Mark Gillespie,€300k 
Jamaal Lascelles,€10.00m 
Fabian Schär,€7.00m 
Ciaran Clark,€1.80m 
Federico Fernández,€1.50m 
Matt Targett,€17.00m 
Dan Burn,€12.00m 
Jamal Lewis,€10.00m 
Paul Dummett,€1.50m 
Kieran Trippier,€15.00m 
Emil Krafth,€5.00m 
Javier Manquillo,€3.00m 
Bruno Guimarães,€40.00m 
Isaac Hayden,€8.00m 
Joe Willock,€22.00m 
Sean Longstaff,€13.00m 
Jonjo Shelvey,€10.00m 
Jeff Hendrick,€5.00m 
Matty Longstaff,€1.80m 
Matt Ritchie,€1.80m 
Joelinton,€20.00m 
Elliot Anderson,€200k 
Allan Saint-Maximin,€32.00m 
Ryan Fraser,€10.00m 
Miguel Almirón,€16.00m 
Jacob Murphy,€5.00m 
Callum Wilson,€18.00m 
Chris Wood,€10.00m 
Dwight Gayle,€1.50m 
Emiliano Martínez,€28.00m 
Robin Olsen,€2.00m 
Jed Steer,€600k 
Viljami Sinisalo,€200k 
Tyrone Mings,€30.00m 
Ezri Konsa,€22.00m 
Calum Chambers,€10.00m 
Axel Tuanzebe,€7.00m 
Kortney Hause,€4.00m 
Sil Swinkels,€150k 
Lucas Digne,€25.00m 
Matt Targett,€17.00m 
Ben Chrisene,€150k 
Matty Cash,€25.00m 
Frédéric Guilbert,€7.00m 
Ashley Young,€1.00m 
Kaine Kesler-Hayden,€300k 
Marvelous Nakamba,€7.00m 
Lamare Bogarde,€200k 
Hayden Lindley,€150k 
Douglas Luiz,€38.00m 
John McGinn,€32.00m 
Jacob Ramsey,€25.00m 
Morgan Sanson,€10.00m 
Carney Chukwuemeka,€6.00m 
Tim Iroegbunam,€2.50m 
Conor Hourihane,€1.80m 
Aaron Ramsey,€1.00m 
Leon Bailey,€25.00m 
Philippe Coutinho,€20.00m 
Mahmoud Trezeguet,€10.00m 
Jaden Philogene,€3.00m 
Emiliano Buendía,€32.00m 
Bertrand Traoré,€16.00m 
Anwar El Ghazi,€9.00m 
Ollie Watkins,€35.00m 
Danny Ings,€20.00m 
Wesley Moraes,€6.00m 
Cameron Archer,€6.00m 
Keinan Davis,€2.50m 
Caleb Chukwuemeka,€200k 
Alphonse Areola,€8.00m 
Lukasz Fabianski,€1.00m 
Darren Randolph,€800k 
David Martin,€250k 
Kurt Zouma,€28.00m 
Issa Diop,€10.00m 
Craig Dawson,€3.00m 
Angelo Ogbonna,€1.20m 
Aji Alese,€500k 
Jamal Baptiste,€200k 
Arthur Masuaku,€5.00m 
Aaron Cresswell,€3.00m 
Emmanuel Longelo,€150k 
Vladimir Coufal,€12.00m 
Ben Johnson,€9.00m 
Ryan Fredericks,€1.50m 
Harrison Ashby,€300k 
Declan Rice,€80.00m 
Tomas Soucek,€45.00m 
Alex Kral,€7.00m 
Conor Coventry,€500k 
Keenan Appiah-Forson,€300k 
Freddie Potts,€250k 
Mark Noble,€1.00m 
Dan Chesters,€250k 
Pablo Fornals,€22.00m 
Nikola Vlasic,€22.00m 
Manuel Lanzini,€12.00m 
Saïd Benrahma,€25.00m 
Jarrod Bowen,€42.00m 
Andriy Yarmolenko,€2.50m 
Michail Antonio,€10.00m 
Sonny Perkins,€1.20m 
David Raya,€22.00m 
Álvaro Fernández,€4.00m 
Jonas Lössl,€1.00m 
Patrik Gunnarsson,€500k 
Ellery Balcombe,€300k 
Kristoffer Ajer,€18.00m 
Ethan Pinnock,€12.00m 
Pontus Jansson,€7.00m 
Mads Bech Sörensen,€5.00m 
Zanka,€1.20m 
Charlie Goode,€900k 
Julian Jeanvier,€900k 
Rico Henry,€20.00m 
Dominic Thompson,€800k 
Mads Roerslev,€2.50m 
Fin Stevens,€400k 
Christian Nörgaard,€14.00m 
Vitaly Janelt,€14.00m 
Christian Eriksen,€20.00m 
Mathias Jensen,€10.00m 
Josh Dasilva,€10.00m 
Frank Onyeka,€9.00m 
Shandon Baptiste,€3.00m 
Mads Bidstrup,€1.00m 
Paris Maghoma,€200k 
Saman Ghoddos,€2.50m 
Myles Peart-Harris,€1.00m 
Yoane Wissa,€12.00m 
Tariqe Fosu,€2.00m 
Max Haygarth,€100k 
Bryan Mbeumo,€22.00m 
Sergi Canós,€14.00m 
Ivan Toney,€35.00m 
Marcus Forss,€4.00m 
Halil Dervisoglu,€3.00m 
José Sá,€18.00m 
Matija Sarkic,€1.80m 
John Ruddy,€300k 
Louie Moulden,€200k 
Andreas Söndergaard,€200k 
Conor Coady,€25.00m 
Max Kilman,€16.00m 
Romain Saïss,€8.00m 
Willy Boly,€6.00m 
Yerson Mosquera,€3.00m 
Toti,€1.50m 
Dion Sanderson,€600k 
Christian Marques,€200k 
Rayan Aït-Nouri,€20.00m 
Jonny Otto,€15.00m 
Ryan Giles,€3.00m 
Marçal,€1.50m 
Nélson Semedo,€22.00m 
Ki-Jana Hoever,€6.00m 
Rúben Neves,€40.00m 
Leander Dendoncker,€28.00m 
João Moutinho,€2.50m 
Bruno Jordão,€1.60m 
Luke Cundle,€800k 
Connor Ronan,€750k 
Morgan Gibbs-White,€11.00m 
Daniel Podence,€20.00m 
Chiquinho,€3.00m 
Pedro Neto,€32.00m 
Trincão,€20.00m 
Adama Traoré,€20.00m 
Raúl Jiménez,€18.00m 
Hee-chan Hwang,€16.00m 
Fábio Silva,€15.00m 
Jordan Pickford,€20.00m 
Asmir Begovic,€1.00m 
Andy Lonergan,€250k 
Michael Keane,€20.00m 
Yerry Mina,€20.00m 
Ben Godfrey,€20.00m 
Mason Holgate,€18.00m 
Jarrad Branthwaite,€3.00m 
Lucas Digne,€25.00m 
Vitaliy Mykolenko,€18.00m 
Niels Nkounkou,€2.20m 
Nathan Patterson,€8.00m 
Jonjoe Kenny,€4.00m 
Seamus Coleman,€3.00m 
Allan,€15.00m 
Jean-Philippe Gbamin,€9.00m 
Donny van de Beek,€25.00m 
Abdoulaye Doucouré,€22.00m 
André Gomes,€18.00m 
Tom Davies,€18.00m 
Fabian Delph,€1.80m 
Tyler Onyango,€200k 
Alex Iwobi,€18.00m 
Dele Alli,€16.00m 
Demarai Gray,€22.00m 
Anthony Gordon,€20.00m 
Lewis Dobbin,€300k 
Anwar El Ghazi,€9.00m 
Andros Townsend,€5.00m 
Richarlison,€48.00m 
Dominic Calvert-Lewin,€40.00m 
Moise Kean,€24.00m 
Salomón Rondón,€2.50m 
Cenk Tosun,€2.00m 
Nathan Broadhead,€500k 
Ellis Simms,€300k 
Brice Samba,€2.50m 
Ethan Horvath,€800k 
Jordan Smith,€300k 
Joe Worrall,€4.00m 
Scott McKenna,€3.50m 
Steve Cook,€2.80m 
Loïc Mbe Soh,€2.50m 
Jonathan Panzo,€2.50m 
Tobias Figueiredo,€1.80m 
Max Lowe,€3.00m 
Gaëtan Bong,€300k 
Djed Spence,€8.00m 
Richie Laryea,€2.50m 
Mohamed Dräger,€1.30m 
Jordi Osei-Tutu,€1.00m 
Jordan Lawrence-Gabriel,€500k 
James Garner,€7.00m 
Jack Colback,€600k 
Ryan Yates,€4.00m 
Braian Ojeda,€1.50m 
Harry Arter,€800k 
Cafú,€700k 
Brennan Johnson,€15.00m 
Philip Zinckernagel,€3.00m 
João Carvalho,€2.50m 
Ateef Konaté,€150k 
Alex Mighten,€600k 
Joe Lolley,€2.50m 
Xande Silva,€500k 
Keinan Davis,€2.50m 
Sam Surridge,€2.00m 
Nuno Da Costa,€1.20m 
Lewis Grabban,€600k 
Lyle Taylor,€500k 
Jack Butland,€1.80m 
Vicente Guaita,€1.50m 
Remi Matthews,€300k 
Marc Guéhi,€32.00m 
Joachim Andersen,€25.00m 
Nathan Ferguson,€2.50m 
James Tomkins,€1.50m 
Jaroslaw Jach,€500k 
