,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
72,Miguel Almiron,28,34,29,"2,491",11.0,2.0,0.0,2.0,0.0,69,20,29.0,0.16,0.55,16.4,0.0,811.0,982.0,82.6,10752.0,2657.0,87.0,3.14,63.0,2.0,10.0,9.0,3.0,0.0,13.0,0.47,5.0,1.0,5.0,2.0,0.0,0.0,46.0,30,18.0,42.9,25.0,10,56.0,17.0,0.0,Newcastle United,Attack,Paraguay,16000000.0
73,Marcus Edwards,23,33,27,"2,252",7.0,5.0,0.0,4.0,0.0,52,17,32.7,0.13,0.41,15.9,1.0,731.0,966.0,75.7,11150.0,3028.0,127.0,5.08,87.0,11.0,16.0,6.0,6.0,1.0,18.0,0.72,12.0,0.0,3.0,2.0,1.0,0.0,14.0,10,5.0,17.2,7.0,5,19.0,2.0,0.0,Sporting CP,Attack,England,15000000.0
74,Giorgi Mamardashvili,21,38,38,"3,420",0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,697.0,1086.0,64.2,20406.0,15742.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,11.0,4.0,Valencia CF,Goalkeeper,Georgia,15000000.0
75,Florian Wirtz,19,17,11,"1,090",1.0,6.0,0.0,4.0,0.0,7,4,57.1,0.14,0.25,18.6,0.0,473.0,634.0,74.6,7333.0,2166.0,64.0,5.28,47.0,8.0,5.0,1.0,3.0,0.0,8.0,0.66,7.0,0.0,1.0,0.0,0.0,0.0,18.0,10,8.0,50.0,15.0,1,19.0,6.0,0.0,Bayer 04 Leverkusen,midfield,Germany,15000000.0
76,Joao Palhinha,27,35,35,"3,108",3.0,0.0,0.0,14.0,0.0,39,9,23.1,0.08,0.33,17.2,0.0,1051.0,1274.0,82.5,18222.0,4336.0,30.0,0.87,21.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,83,71.0,53.0,48.0,46,193.0,61.0,2.0,Fulham FC,midfield,Portugal,15000000.0
77,Pedro Porro,22,14,12,"1,074",2.0,6.0,1.0,4.0,1.0,35,9,25.7,0.03,0.11,23.7,5.0,520.0,744.0,69.9,9629.0,3025.0,53.0,4.45,34.0,9.0,4.0,2.0,4.0,0.0,9.0,0.76,7.0,0.0,0.0,2.0,0.0,0.0,19.0,15,13.0,52.0,10.0,8,27.0,13.0,0.0,Tottenham Hotspur,Defender,Spain,15000000.0
78,Sven Botman,22,36,35,"3,127",0.0,0.0,0.0,2.0,0.0,22,7,31.8,0.0,0.0,10.2,0.0,1527.0,1765.0,86.5,30660.0,11233.0,24.0,0.69,18.0,1.0,0.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,38.0,24,22.0,78.6,44.0,34,72.0,126.0,2.0,Newcastle United,Defender,Netherlands,15000000.0
79,Nahuel Molina,24,33,33,"2,867",4.0,2.0,0.0,7.0,1.0,21,6,28.6,0.19,0.67,17.0,0.0,1452.0,1930.0,75.2,21725.0,8461.0,92.0,2.89,83.0,5.0,2.0,0.0,1.0,1.0,6.0,0.19,5.0,0.0,0.0,0.0,1.0,0.0,69.0,43,39.0,42.9,38.0,18,87.0,63.0,1.0,Atlético de Madrid,Defender,Argentina,15000000.0
80,Beto,24,33,23,"2,129",10.0,1.0,1.0,2.0,0.0,60,20,33.3,0.15,0.45,13.7,0.0,190.0,299.0,63.5,2421.0,295.0,49.0,2.07,31.0,0.0,8.0,5.0,5.0,0.0,4.0,0.17,3.0,0.0,1.0,0.0,0.0,0.0,16.0,9,4.0,23.5,18.0,6,22.0,30.0,0.0,Udinese Calcio,Attack,Portugal,15000000.0
81,Youssoufa Moukoko,17,26,11,"1,141",7.0,3.0,0.0,0.0,0.0,35,19,54.3,0.2,0.37,14.9,0.0,142.0,202.0,70.3,1813.0,340.0,29.0,2.29,19.0,0.0,7.0,2.0,1.0,0.0,7.0,0.55,5.0,0.0,2.0,0.0,0.0,0.0,13.0,7,3.0,50.0,9.0,2,15.0,1.0,0.0,Borussia Dortmund,Attack,Germany,15000000.0
