level_0,index,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
200,2363,Kik Pierie,22,7,7,583,1.0,1.0,0.0,0.0,0.0,5,2,40.0,0.2,0.5,7.5,0.0,203.0,265.0,76.6,4393.0,1521.0,8.0,1.23,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,9.0,6,4.0,50.0,20.0,13,22.0,37.0,1.0,Excelsior Rotterdam,Defender,Netherlands,7500000.0
201,2676,Moussa Diarra,21,23,12,"1,225",0.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,6.4,0.0,537.0,646.0,83.1,8760.0,3452.0,16.0,1.17,15.0,0.0,0.0,0.0,1.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,20.0,9,9.0,60.0,25.0,19,39.0,27.0,1.0,FC Toulouse,Defender,Mali,7400000.0
202,2039,Magnus Mattsson,23,25,23,"1,802",4.0,2.0,0.0,1.0,0.0,37,16,43.2,0.11,0.25,13.8,0.0,518.0,657.0,78.8,6835.0,1881.0,64.0,3.2,43.0,0.0,7.0,6.0,6.0,2.0,6.0,0.3,3.0,0.0,1.0,1.0,1.0,0.0,37.0,20,20.0,40.0,25.0,13,50.0,16.0,1.0,NEC Nijmegen,Attack,Denmark,7350000.0
203,1507,Calvin Verdonk,25,17,10,960,0.0,2.0,0.0,4.0,0.0,4,1,25.0,0.0,0.0,17.3,0.0,600.0,722.0,83.1,10889.0,4676.0,24.0,2.25,21.0,1.0,1.0,0.0,1.0,0.0,5.0,0.47,4.0,1.0,0.0,0.0,0.0,0.0,23.0,12,8.0,66.7,24.0,14,37.0,34.0,0.0,NEC Nijmegen,Defender,Netherlands,7300000.0
204,2125,Tijjani Noslin,23,31,18,"1,609",5.0,2.0,0.0,3.0,0.0,39,14,35.9,0.13,0.36,17.0,0.0,334.0,485.0,68.9,5026.0,1444.0,51.0,2.86,35.0,0.0,10.0,3.0,3.0,0.0,8.0,0.45,4.0,0.0,3.0,1.0,0.0,0.0,48.0,30,23.0,46.9,29.0,21,69.0,32.0,0.0,Fortuna Sittard,Attack,Netherlands,7250000.0
205,169,Maxime Gonalons,33,25,19,"1,449",1.0,0.0,0.0,3.0,0.0,6,2,33.3,0.17,0.5,22.6,0.0,736.0,835.0,88.1,13744.0,4112.0,21.0,1.31,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,52.0,32,25.0,47.2,21.0,20,72.0,7.0,1.0,Clermont Foot 63,midfield,France,7200000.0
206,2051,Isac Lidberg,23,33,33,"2,759",7.0,5.0,0.0,2.0,0.0,78,26,33.3,0.09,0.27,13.9,0.0,457.0,671.0,68.1,5715.0,1103.0,68.0,2.22,49.0,0.0,4.0,11.0,4.0,0.0,14.0,0.46,8.0,0.0,1.0,4.0,1.0,0.0,19.0,11,4.0,33.3,35.0,6,25.0,30.0,0.0,Go Ahead Eagles,Attack,Sweden,7100000.0
214,2208,Youssouf Fofana,23,36,35,"3,086",2.0,2.0,0.0,4.0,2.0,42,10,23.8,0.05,0.2,22.9,1.0,1419.0,1738.0,81.6,24636.0,7618.0,78.0,2.27,68.0,0.0,6.0,0.0,2.0,2.0,11.0,0.32,9.0,0.0,0.0,0.0,1.0,1.0,81.0,41,38.0,51.4,50.0,56,137.0,32.0,1.0,AS Monaco,midfield,France,7000000.0
208,1932,Antonee Robinson,24,35,35,"3,088",0.0,1.0,0.0,8.0,0.0,3,0,0.0,0.0,0.0,25.7,0.0,1404.0,1910.0,73.5,24327.0,9684.0,58.0,1.69,52.0,2.0,2.0,0.0,1.0,1.0,6.0,0.17,4.0,0.0,1.0,0.0,1.0,0.0,62.0,38,44.0,67.7,49.0,53,115.0,83.0,3.0,Fulham FC,Defender,United States,7000000.0
219,999,Seko Fofana,27,35,34,"3,073",7.0,5.0,1.0,2.0,0.0,82,22,26.8,0.07,0.27,19.9,0.0,1590.0,1820.0,87.4,25744.0,5048.0,94.0,2.75,78.0,0.0,7.0,2.0,5.0,2.0,13.0,0.38,10.0,0.0,2.0,0.0,1.0,0.0,28.0,13,15.0,38.5,17.0,19,47.0,14.0,0.0,RC Lens,midfield,Cote d'Ivoire,7000000.0
211,3001,Johan Bakayoko,19,23,17,"1,373",5.0,5.0,0.0,4.0,0.0,45,19,42.2,0.11,0.26,18.5,0.0,523.0,674.0,77.6,6458.0,1472.0,74.0,4.85,57.0,3.0,8.0,4.0,1.0,1.0,13.0,0.85,10.0,0.0,1.0,2.0,0.0,0.0,35.0,20,8.0,32.0,19.0,8,43.0,6.0,0.0,PSV Eindhoven,Attack,Belgium,7000000.0
212,1855,Ismael Bennacer,24,28,24,"2,007",2.0,2.0,0.0,5.0,0.0,16,3,18.8,0.13,0.67,25.0,3.0,1219.0,1423.0,85.7,21142.0,5792.0,87.0,3.9,59.0,18.0,1.0,3.0,4.0,2.0,4.0,0.18,1.0,1.0,0.0,1.0,0.0,1.0,59.0,33,30.0,58.8,25.0,26,85.0,16.0,1.0,AC Milan,midfield,Algeria,7000000.0
210,1929,Vaclav Cerny,24,32,29,"2,388",13.0,11.0,0.0,1.0,1.0,97,30,30.9,0.13,0.43,20.8,4.0,981.0,1396.0,70.3,17515.0,4824.0,153.0,5.77,107.0,20.0,12.0,10.0,3.0,1.0,14.0,0.53,9.0,3.0,1.0,1.0,0.0,0.0,34.0,20,14.0,25.9,36.0,16,50.0,6.0,0.0,VfL Wolfsburg,Attack,Czech Republic,7000000.0
220,2773,Aaron Hickey,20,26,23,"1,916",0.0,1.0,0.0,7.0,0.0,11,2,18.2,0.0,0.0,21.5,0.0,695.0,838.0,82.9,10995.0,3282.0,20.0,0.94,14.0,1.0,1.0,2.0,2.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,38.0,26,18.0,56.3,18.0,17,55.0,32.0,1.0,Brentford FC,Defender,Scotland,7000000.0
215,1696,Brais Mendez,25,34,28,"2,407",8.0,4.0,0.0,6.0,0.0,60,21,35.0,0.13,0.38,21.4,9.0,1010.0,1312.0,77.0,16082.0,4201.0,98.0,3.67,54.0,30.0,6.0,3.0,5.0,0.0,11.0,0.41,6.0,2.0,1.0,2.0,0.0,0.0,58.0,34,24.0,37.5,27.0,12,70.0,14.0,1.0,Real Sociedad,midfield,Spain,7000000.0
216,1765,Marc Cucurella,24,24,21,"1,671",0.0,2.0,0.0,4.0,0.0,7,0,0.0,0.0,0.0,19.7,0.0,1090.0,1293.0,84.3,16587.0,5116.0,27.0,1.46,21.0,6.0,0.0,0.0,0.0,0.0,3.0,0.16,2.0,1.0,0.0,0.0,0.0,0.0,66.0,33,30.0,50.0,28.0,16,82.0,48.0,1.0,Chelsea FC,Defender,Spain,7000000.0
217,1554,Stephen Eustaquio,25,29,19,"1,673",2.0,5.0,0.0,4.0,1.0,26,7,26.9,0.08,0.29,20.0,2.0,871.0,1057.0,82.4,15238.0,4374.0,63.0,3.37,42.0,11.0,0.0,6.0,1.0,3.0,10.0,0.53,6.0,1.0,0.0,2.0,0.0,1.0,57.0,29,32.0,52.5,25.0,19,76.0,22.0,0.0,FC Porto,midfield,Canada,7000000.0
207,2250,Vitaliy Mykolenko,23,34,30,"2,655",0.0,0.0,0.0,4.0,0.0,10,3,30.0,0.0,0.0,20.3,0.0,966.0,1292.0,74.8,15199.0,5874.0,46.0,1.56,41.0,1.0,0.0,2.0,2.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,58.0,34,28.0,54.9,50.0,46,104.0,99.0,0.0,Everton FC,Defender,Ukraine,7000000.0
218,2525,Bafode Diakite,21,33,29,"2,653",3.0,0.0,0.0,6.0,0.0,19,6,31.6,0.16,0.5,11.4,0.0,1728.0,1944.0,88.9,27426.0,8364.0,36.0,1.22,28.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,35,32.0,56.1,37.0,17,71.0,58.0,0.0,LOSC Lille,Defender,France,7000000.0
213,1741,Federico Gatti,24,18,16,"1,448",0.0,0.0,0.0,4.0,0.0,13,4,30.8,0.0,0.0,15.5,0.0,808.0,957.0,84.4,16192.0,5297.0,19.0,1.18,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,9.0,60.0,20.0,21,36.0,54.0,2.0,Juventus FC,Defender,Italy,7000000.0
209,2068,Exequiel Palacios,23,25,19,"1,654",4.0,2.0,3.0,4.0,0.0,17,4,23.5,0.06,0.25,26.3,0.0,1022.0,1204.0,84.9,15831.0,5084.0,51.0,2.78,44.0,0.0,1.0,1.0,3.0,2.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,59.0,36,29.0,60.4,29.0,33,92.0,28.0,0.0,Bayer 04 Leverkusen,midfield,Argentina,7000000.0
224,2646,Jurrien Timber,21,34,34,"3,029",2.0,2.0,0.0,3.0,0.0,29,9,31.0,0.07,0.22,9.9,0.0,2517.0,2748.0,91.6,43762.0,14803.0,58.0,1.72,47.0,2.0,1.0,4.0,2.0,2.0,11.0,0.33,9.0,0.0,0.0,2.0,0.0,0.0,47.0,34,20.0,74.1,23.0,42,89.0,67.0,1.0,Ajax Amsterdam,Defender,Netherlands,7000000.0
221,2400,Nico Schlotterbeck,22,28,27,"2,252",4.0,5.0,0.0,3.0,0.0,18,6,33.3,0.22,0.67,16.9,0.0,1648.0,1910.0,86.3,33135.0,11360.0,32.0,1.28,24.0,0.0,2.0,3.0,1.0,2.0,7.0,0.28,5.0,0.0,0.0,0.0,0.0,2.0,59.0,34,37.0,69.8,38.0,32,91.0,71.0,1.0,Borussia Dortmund,Defender,Germany,7000000.0
223,2174,Roger Ibanez,23,33,32,"2,796",3.0,0.0,0.0,11.0,1.0,29,10,34.5,0.1,0.3,12.3,0.0,1462.0,1663.0,87.9,27071.0,9588.0,27.0,0.87,15.0,1.0,0.0,7.0,3.0,1.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,67.0,33,32.0,66.7,30.0,66,133.0,95.0,2.0,AS Roma,Defender,Brazil,7000000.0
225,2789,Goncalo Inacio,20,33,26,"2,369",1.0,3.0,0.0,4.0,0.0,15,4,26.7,0.07,0.25,13.2,0.0,2090.0,2333.0,89.6,39315.0,14103.0,52.0,1.98,44.0,2.0,2.0,1.0,1.0,2.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,39.0,23,23.0,56.1,25.0,45,84.0,66.0,3.0,Sporting CP,Defender,Portugal,7000000.0
222,1722,Ryan Yates,24,26,21,"1,837",0.0,2.0,0.0,5.0,0.0,26,5,19.2,0.0,0.0,16.8,0.0,455.0,592.0,76.9,7587.0,1812.0,24.0,1.18,18.0,0.0,0.0,4.0,2.0,0.0,3.0,0.15,1.0,0.0,0.0,2.0,0.0,0.0,38.0,19,14.0,63.6,26.0,10,48.0,44.0,0.0,Nottingham Forest,midfield,England,7000000.0
227,2448,Giacomo Raspadori,22,25,10,911,2.0,2.0,0.0,1.0,0.0,41,16,39.0,0.05,0.13,17.1,3.0,348.0,452.0,77.0,5535.0,1098.0,43.0,4.26,27.0,8.0,1.0,5.0,2.0,0.0,3.0,0.3,2.0,1.0,0.0,0.0,0.0,0.0,10.0,8,4.0,40.0,9.0,4,14.0,4.0,0.0,SSC Napoli,Attack,Italy,7000000.0
228,2468,Arthur Theate,22,35,35,"3,127",4.0,0.0,0.0,5.0,0.0,31,10,32.3,0.13,0.4,11.9,0.0,2296.0,2568.0,89.4,46250.0,15551.0,23.0,0.66,22.0,0.0,0.0,0.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,29.0,19,17.0,56.7,26.0,30,59.0,114.0,3.0,Stade Rennais FC,Defender,Belgium,7000000.0
226,2708,Jon Pacheco,21,17,12,"1,193",0.0,1.0,0.0,2.0,0.0,3,0,0.0,0.0,0.0,17.3,0.0,812.0,907.0,89.5,15784.0,4590.0,4.0,0.3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,16.0,10,6.0,60.0,9.0,12,28.0,37.0,1.0,Real Sociedad,Defender,Spain,7000000.0
230,2886,Jarrad Branthwaite,20,27,21,"1,992",2.0,1.0,0.0,2.0,0.0,18,4,22.2,0.11,0.5,12.4,0.0,1126.0,1295.0,86.9,21506.0,8857.0,15.0,0.68,14.0,0.0,0.0,1.0,0.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,23.0,14,14.0,60.9,17.0,36,59.0,96.0,2.0,Everton FC,Defender,England,7000000.0
231,2436,Zakaria Aboukhlal,22,37,28,"2,473",10.0,5.0,0.0,4.0,0.0,83,30,36.1,0.12,0.33,15.9,0.0,576.0,777.0,74.1,7539.0,1994.0,80.0,2.91,44.0,1.0,10.0,13.0,10.0,2.0,8.0,0.29,4.0,0.0,1.0,2.0,1.0,0.0,33.0,23,14.0,31.1,18.0,22,55.0,23.0,0.0,FC Toulouse,Attack,Morocco,7000000.0
232,2330,Anastasios Douvikas,22,32,24,"2,140",19.0,4.0,3.0,1.0,0.0,76,35,46.1,0.21,0.46,12.6,0.0,291.0,441.0,66.0,4047.0,573.0,49.0,2.06,31.0,0.0,5.0,6.0,6.0,1.0,5.0,0.21,2.0,0.0,2.0,1.0,0.0,0.0,30.0,19,9.0,34.6,17.0,2,32.0,26.0,0.0,FC Utrecht,Attack,Greece,7000000.0
233,2310,Abel Ruiz,22,34,26,"2,074",8.0,6.0,0.0,4.0,0.0,50,20,40.0,0.16,0.4,13.6,0.0,392.0,513.0,76.4,4876.0,648.0,64.0,2.78,56.0,1.0,2.0,4.0,0.0,1.0,14.0,0.61,11.0,0.0,2.0,1.0,0.0,0.0,13.0,7,5.0,26.3,18.0,7,20.0,9.0,0.0,SC Braga,Attack,Spain,7000000.0
229,2288,Conor Gallagher,22,35,18,"1,621",3.0,1.0,0.0,11.0,1.0,28,11,39.3,0.11,0.27,17.9,0.0,706.0,871.0,81.1,10444.0,2483.0,47.0,2.61,34.0,4.0,4.0,2.0,2.0,1.0,3.0,0.17,2.0,0.0,1.0,0.0,0.0,0.0,46.0,33,10.0,27.0,41.0,23,69.0,18.0,1.0,Chelsea FC,midfield,England,7000000.0
234,2699,Sergio Camello,21,38,27,"2,401",6.0,5.0,0.0,1.0,0.0,76,19,25.0,0.08,0.32,16.0,0.0,408.0,523.0,78.0,5782.0,733.0,62.0,2.32,49.0,1.0,6.0,2.0,4.0,0.0,7.0,0.26,5.0,0.0,1.0,1.0,0.0,0.0,16.0,10,5.0,29.4,9.0,2,18.0,26.0,0.0,Atlético de Madrid,Attack,Spain,7000000.0
235,1825,Joao Victor,24,13,9,842,0.0,1.0,0.0,5.0,0.0,2,0,0.0,0.0,0.0,15.7,0.0,347.0,436.0,79.6,6390.0,1715.0,10.0,1.07,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,19.0,11,12.0,54.5,11.0,15,34.0,30.0,0.0,SL Benfica,Defender,Brazil,6900000.0
236,2640,Anthony Musaba,21,16,2,330,1.0,0.0,0.0,0.0,0.0,11,6,54.5,0.09,0.17,17.5,0.0,76.0,102.0,74.5,949.0,281.0,13.0,3.53,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,1.0,50.0,8.0,1,6.0,1.0,0.0,AS Monaco,Attack,Netherlands,6800000.0
237,2580,Ramon Hendriks,21,4,4,298,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,11.4,0.0,122.0,169.0,72.2,2267.0,811.0,6.0,1.81,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,3.0,75.0,3.0,2,9.0,15.0,0.0,Feyenoord Rotterdam,Defender,Netherlands,6700000.0
238,2289,Abner,22,13,7,607,0.0,0.0,0.0,2.0,0.0,5,1,20.0,0.0,0.0,13.6,0.0,252.0,351.0,71.8,3886.0,1578.0,8.0,1.18,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,12.0,9,7.0,43.8,8.0,8,20.0,24.0,0.0,RWD Molenbeek,Defender,Brazil,6600000.0
239,1544,Benaissa Benamar,25,29,24,"2,055",2.0,1.0,0.0,5.0,0.0,9,3,33.3,0.22,0.67,16.1,0.0,777.0,990.0,78.5,15964.0,5723.0,21.0,0.92,18.0,0.0,1.0,0.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,32.0,22,14.0,51.9,27.0,21,53.0,78.0,0.0,FC Volendam,Defender,Morocco,6575000.0
240,1522,Mats Deijl,25,32,32,"2,810",2.0,2.0,0.0,3.0,1.0,14,4,28.6,0.14,0.5,16.6,0.0,1107.0,1559.0,71.0,20177.0,8491.0,52.0,1.67,40.0,8.0,0.0,1.0,3.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,46.0,32,25.0,54.3,37.0,35,81.0,100.0,1.0,Go Ahead Eagles,Defender,Netherlands,6575000.0
241,1651,Scott McKenna,25,20,19,"1,571",0.0,0.0,0.0,4.0,0.0,2,0,0.0,0.0,0.0,8.2,0.0,569.0,727.0,78.3,11331.0,4319.0,10.0,0.57,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7,6.0,60.0,20.0,12,24.0,85.0,1.0,Nottingham Forest,Defender,Scotland,6500000.0
242,1051,Tibor Halilovic,27,19,7,681,0.0,0.0,0.0,1.0,1.0,20,5,25.0,0.0,0.0,22.9,0.0,293.0,359.0,81.6,4958.0,1290.0,16.0,2.11,12.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,4.0,33.3,5.0,8,25.0,6.0,0.0,SC Heerenveen,midfield,Croatia,6500000.0
243,1256,Raphael Framberger,26,3,2,176,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,33.0,64.0,51.6,404.0,291.0,1.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6,3.0,60.0,2.0,2,12.0,5.0,0.0,FC Augsburg,Defender,Germany,6500000.0
244,2361,Peer Koopmeiners,22,19,16,"1,446",0.0,0.0,0.0,1.0,0.0,8,1,12.5,0.0,0.0,24.5,0.0,481.0,612.0,78.6,8245.0,2853.0,23.0,1.43,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27,25.0,55.6,35.0,15,64.0,41.0,0.0,AZ Alkmaar,midfield,Netherlands,6400000.0
245,990,Bas Kuipers,27,23,21,"1,905",3.0,1.0,0.0,1.0,0.0,25,12,48.0,0.12,0.25,13.2,0.0,706.0,979.0,72.1,12914.0,5534.0,51.0,2.41,38.0,7.0,0.0,4.0,1.0,1.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,27.0,11,15.0,57.7,22.0,27,54.0,61.0,0.0,Go Ahead Eagles,Defender,Netherlands,6350000.0
246,152,Jens Toornstra,33,28,28,"2,330",1.0,5.0,0.0,7.0,0.0,19,5,26.3,0.05,0.2,23.6,3.0,1156.0,1529.0,75.6,21577.0,7769.0,97.0,3.75,59.0,33.0,3.0,2.0,0.0,0.0,11.0,0.42,10.0,1.0,0.0,0.0,0.0,0.0,37.0,24,20.0,38.5,35.0,32,69.0,24.0,1.0,FC Utrecht,midfield,Netherlands,6300000.0
247,1285,Pelle Clement,26,33,30,"2,368",2.0,2.0,0.0,1.0,0.0,28,8,28.6,0.07,0.25,17.5,0.0,778.0,1009.0,77.1,11258.0,3490.0,71.0,2.7,54.0,4.0,5.0,2.0,3.0,3.0,9.0,0.34,7.0,0.0,1.0,1.0,0.0,0.0,43.0,23,22.0,33.3,31.0,20,63.0,38.0,0.0,Sparta Rotterdam,midfield,Netherlands,6300000.0
248,865,Mattijs Branderhorst,28,2,2,180,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,63.0,55.6,1208.0,1002.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,FC Utrecht,Goalkeeper,Netherlands,6300000.0
249,2846,Couhaib Driouech,20,33,27,"2,342",3.0,3.0,0.0,5.0,0.0,50,20,40.0,0.06,0.15,18.0,0.0,502.0,715.0,70.2,7999.0,2028.0,52.0,2.0,40.0,0.0,3.0,8.0,1.0,0.0,6.0,0.23,5.0,0.0,0.0,1.0,0.0,0.0,49.0,33,26.0,41.3,31.0,17,66.0,33.0,0.0,Excelsior Rotterdam,Attack,Morocco,6275000.0
250,2952,Calvin Twigt,19,16,16,"1,297",1.0,2.0,0.0,0.0,0.0,6,1,16.7,0.17,1.0,18.4,0.0,369.0,474.0,77.8,5752.0,1840.0,27.0,1.87,21.0,0.0,0.0,0.0,2.0,4.0,4.0,0.28,2.0,0.0,0.0,0.0,1.0,1.0,35.0,22,17.0,36.2,28.0,25,60.0,24.0,1.0,FC Volendam,midfield,Netherlands,6250000.0
251,1518,Nicolai Rapp,25,7,0,71,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,12.3,0.0,47.0,59.0,79.7,905.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0,3.0,1.0,0.0,SV Werder Bremen,midfield,Germany,6200000.0
252,1393,Remy Descamps,26,1,1,90,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,84.6,684.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,FC Nantes,Goalkeeper,France,6200000.0
253,2641,Daan Rots,21,22,5,675,0.0,0.0,0.0,0.0,0.0,12,1,8.3,0.0,0.0,15.7,0.0,231.0,311.0,74.3,3394.0,1010.0,22.0,2.92,18.0,1.0,1.0,0.0,2.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,22.0,13,12.0,50.0,4.0,5,27.0,6.0,0.0,Twente Enschede FC,Attack,Netherlands,6200000.0
254,109,Johan Gastien,34,31,29,"2,603",4.0,3.0,0.0,7.0,0.0,19,9,47.4,0.21,0.44,24.8,1.0,1743.0,2103.0,82.9,34446.0,11716.0,69.0,2.39,44.0,21.0,0.0,2.0,1.0,1.0,9.0,0.31,5.0,4.0,0.0,0.0,0.0,0.0,62.0,34,38.0,34.2,37.0,36,98.0,25.0,1.0,Clermont Foot 63,midfield,France,6200000.0
255,2907,Fredrik Oppegard,19,8,4,397,0.0,0.0,0.0,0.0,0.0,1,1,100.0,0.0,0.0,11.6,0.0,142.0,187.0,75.9,2565.0,1073.0,4.0,0.91,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8,9.0,75.0,7.0,3,16.0,21.0,0.0,PSV Eindhoven,Defender,Norway,6100000.0
256,1458,Dirk Abels,25,26,12,"1,326",1.0,2.0,0.0,2.0,0.0,10,2,20.0,0.1,0.5,27.2,0.0,556.0,688.0,80.8,10574.0,3949.0,30.0,2.04,19.0,6.0,0.0,1.0,3.0,1.0,4.0,0.27,3.0,0.0,0.0,0.0,1.0,0.0,23.0,11,15.0,60.0,26.0,16,39.0,59.0,0.0,Sparta Rotterdam,Defender,Netherlands,6100000.0
257,1905,Siebe Horemans,24,34,33,"2,918",3.0,1.0,0.0,4.0,0.0,25,7,28.0,0.12,0.43,13.6,0.0,1167.0,1616.0,72.2,22845.0,10165.0,56.0,1.73,46.0,3.0,1.0,4.0,2.0,0.0,6.0,0.19,2.0,1.0,0.0,1.0,2.0,0.0,67.0,41,42.0,50.0,41.0,64,131.0,119.0,0.0,Excelsior Rotterdam,Defender,Belgium,6100000.0
258,2610,Antoine Colassin,21,22,8,747,3.0,0.0,0.0,3.0,0.0,23,9,39.1,0.13,0.33,19.5,0.0,191.0,282.0,67.7,2771.0,803.0,26.0,3.14,19.0,0.0,1.0,4.0,2.0,0.0,1.0,0.12,0.0,0.0,1.0,0.0,0.0,0.0,21.0,11,12.0,54.5,17.0,4,25.0,16.0,0.0,RSC Anderlecht,Attack,Belgium,6050000.0
269,2819,Arthur Zagre,20,9,8,618,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,13.0,0.0,200.0,246.0,81.3,3171.0,975.0,3.0,0.44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,7.0,63.6,15.0,11,23.0,19.0,0.0,Excelsior Rotterdam,Defender,France,6000000.0
260,2087,Santiago Bueno,23,34,34,"3,010",0.0,1.0,0.0,7.0,1.0,13,3,23.1,0.0,0.0,12.2,0.0,1576.0,1823.0,86.5,31141.0,10648.0,24.0,0.72,18.0,0.0,1.0,3.0,2.0,0.0,4.0,0.12,3.0,0.0,0.0,0.0,1.0,0.0,63.0,38,24.0,66.7,34.0,31,94.0,105.0,2.0,Girona FC,Defender,Uruguay,6000000.0
261,1950,Vitaly Janelt,24,35,24,"2,208",3.0,1.0,0.0,3.0,0.0,14,5,35.7,0.21,0.6,15.8,0.0,812.0,1020.0,79.6,14153.0,3892.0,47.0,1.91,39.0,1.0,2.0,3.0,0.0,2.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,54.0,27,21.0,42.9,29.0,29,83.0,26.0,0.0,Brentford FC,midfield,Germany,6000000.0
262,2166,Lloyd Kelly,23,23,23,"2,040",0.0,2.0,0.0,3.0,0.0,3,0,0.0,0.0,0.0,8.9,0.0,934.0,1164.0,80.2,17585.0,7174.0,16.0,0.71,13.0,1.0,0.0,1.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,33.0,18,13.0,68.4,26.0,26,59.0,101.0,1.0,AFC Bournemouth,Defender,England,6000000.0
263,2002,Mergim Berisha,24,23,20,"1,679",9.0,4.0,3.0,9.0,1.0,51,13,25.5,0.12,0.46,18.7,6.0,161.0,342.0,47.1,2735.0,1043.0,34.0,1.82,13.0,13.0,3.0,3.0,1.0,1.0,7.0,0.37,2.0,3.0,2.0,0.0,0.0,0.0,11.0,6,4.0,28.6,16.0,0,11.0,19.0,0.0,FC Augsburg,Attack,Germany,6000000.0
