level_0,index,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
294,2378,Thomas Buitink,22,13,3,372,0.0,0.0,0.0,2.0,0.0,11,6,54.5,0.0,0.0,17.0,0.0,65.0,100.0,65.0,1001.0,275.0,9.0,2.18,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,1.0,14.3,6.0,2,9.0,1.0,0.0,Vitesse Arnhem,Attack,Netherlands,5200000.0
295,3004,Enzo Cornelisse,19,20,15,"1,340",0.0,0.0,0.0,1.0,0.0,8,2,25.0,0.0,0.0,12.5,1.0,563.0,691.0,81.5,10536.0,3223.0,8.0,0.54,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,23.0,12,11.0,61.1,12.0,9,32.0,40.0,0.0,Vitesse Arnhem,Defender,Netherlands,5100000.0
304,1304,Kingsley Coman,26,24,16,"1,409",8.0,5.0,0.0,2.0,1.0,49,17,34.7,0.16,0.47,18.6,0.0,640.0,806.0,79.4,10106.0,2128.0,85.0,5.43,67.0,1.0,9.0,4.0,4.0,0.0,11.0,0.7,7.0,0.0,1.0,1.0,2.0,0.0,11.0,8,7.0,41.2,19.0,2,13.0,7.0,0.0,Bayern Munich,Attack,France,5000000.0
305,699,Sead Kolasinac,29,33,26,"2,214",4.0,1.0,0.0,3.0,0.0,22,9,40.9,0.18,0.44,9.7,0.0,1135.0,1333.0,85.1,17773.0,4570.0,27.0,1.1,24.0,0.0,1.0,2.0,0.0,0.0,5.0,0.2,2.0,0.0,1.0,2.0,0.0,0.0,52.0,36,24.0,64.9,19.0,43,95.0,35.0,1.0,Atalanta BC,Defender,Bosnia-Herzegovina,5000000.0
315,1306,Leroy Sane,26,32,20,"2,010",8.0,7.0,0.0,4.0,0.0,78,29,37.2,0.1,0.28,19.7,6.0,880.0,1078.0,81.6,12202.0,3032.0,93.0,4.17,72.0,1.0,7.0,7.0,4.0,2.0,15.0,0.67,13.0,0.0,0.0,2.0,0.0,0.0,38.0,30,18.0,50.0,11.0,3,41.0,1.0,2.0,Bayern Munich,Attack,Germany,5000000.0
296,1213,Otavio,27,27,25,"2,266",5.0,7.0,0.0,7.0,0.0,37,12,32.4,0.14,0.42,17.7,2.0,1256.0,1605.0,78.3,21323.0,7952.0,134.0,5.33,93.0,21.0,5.0,5.0,8.0,2.0,18.0,0.72,15.0,1.0,0.0,0.0,2.0,0.0,70.0,43,35.0,41.7,32.0,18,88.0,17.0,0.0,FC Porto,midfield,Portugal,5000000.0
297,2453,Alidu Seidu,22,28,28,"2,458",0.0,0.0,0.0,10.0,1.0,6,2,33.3,0.0,0.0,32.6,0.0,1152.0,1375.0,83.8,20609.0,6267.0,23.0,0.84,15.0,0.0,1.0,1.0,4.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,52.0,31,31.0,60.8,28.0,52,104.0,50.0,2.0,Clermont Foot 63,Defender,Ghana,5000000.0
298,1785,Nicolas Gonzalez,24,24,13,"1,354",6.0,1.0,2.0,3.0,0.0,58,17,29.3,0.07,0.24,17.4,1.0,381.0,571.0,66.7,6819.0,1579.0,62.0,4.12,40.0,0.0,4.0,6.0,11.0,1.0,3.0,0.2,2.0,0.0,0.0,1.0,0.0,0.0,17.0,10,5.0,31.3,14.0,4,21.0,6.0,0.0,ACF Fiorentina,Attack,Argentina,5000000.0
299,588,Marc-Andre ter Stegen,30,38,38,"3,347",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1193.0,1412.0,84.5,30703.0,21527.0,12.0,0.32,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,7.0,3.0,FC Barcelona,Goalkeeper,Germany,5000000.0
300,2781,Enzo Millot,20,23,9,890,0.0,1.0,0.0,3.0,0.0,17,7,41.2,0.0,0.0,18.0,1.0,311.0,396.0,78.5,4366.0,1069.0,34.0,3.43,21.0,2.0,4.0,2.0,3.0,2.0,3.0,0.3,2.0,0.0,1.0,0.0,0.0,0.0,23.0,16,12.0,63.2,20.0,12,35.0,7.0,0.0,VfB Stuttgart,midfield,France,5000000.0
302,710,Borja Iglesias,29,35,29,"2,365",15.0,3.0,5.0,2.0,1.0,58,21,36.2,0.17,0.48,15.2,0.0,397.0,522.0,76.1,4818.0,691.0,40.0,1.52,29.0,1.0,1.0,5.0,4.0,0.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0,8.0,4,2.0,15.4,9.0,1,9.0,17.0,0.0,Real Betis Balompié,Attack,Spain,5000000.0
303,2879,Maghnes Akliouche,20,11,5,402,0.0,0.0,0.0,3.0,0.0,5,2,40.0,0.0,0.0,14.9,0.0,130.0,168.0,77.4,1613.0,498.0,9.0,2.01,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4,2.0,25.0,2.0,3,10.0,2.0,0.0,AS Monaco,midfield,France,5000000.0
301,1719,Ruben Dias,25,26,22,"1,998",0.0,0.0,0.0,3.0,0.0,10,2,20.0,0.0,0.0,9.1,0.0,1928.0,2080.0,92.7,35553.0,12572.0,15.0,0.68,11.0,1.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,21.0,13,11.0,61.1,21.0,18,39.0,56.0,1.0,Manchester City,Defender,Portugal,5000000.0
306,1472,David Neres,25,31,22,"1,959",6.0,8.0,0.0,2.0,0.0,50,19,38.0,0.12,0.32,17.8,1.0,861.0,1114.0,77.3,11910.0,2936.0,104.0,4.79,73.0,10.0,13.0,8.0,0.0,0.0,15.0,0.69,12.0,0.0,2.0,1.0,0.0,0.0,21.0,8,10.0,37.0,11.0,3,24.0,1.0,0.0,SL Benfica,Attack,Brazil,5000000.0
307,2388,Tyrell Malacia,22,22,14,"1,396",0.0,0.0,0.0,6.0,0.0,5,2,40.0,0.0,0.0,22.1,0.0,694.0,802.0,86.5,10156.0,2981.0,19.0,1.22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,33,14.0,56.0,13.0,25,71.0,49.0,0.0,Manchester United,Defender,Netherlands,5000000.0
308,2346,Boubacar Kamara,22,24,21,"1,777",0.0,1.0,0.0,4.0,0.0,4,1,25.0,0.0,0.0,29.7,0.0,798.0,941.0,84.8,13161.0,3895.0,23.0,1.17,19.0,0.0,1.0,0.0,3.0,0.0,4.0,0.2,2.0,0.0,1.0,0.0,1.0,0.0,58.0,25,27.0,48.2,38.0,19,77.0,24.0,2.0,Aston Villa,midfield,France,5000000.0
314,1801,Taiwo Awoniyi,24,27,17,"1,404",10.0,1.0,0.0,2.0,0.0,35,15,42.9,0.29,0.67,11.8,0.0,143.0,223.0,64.1,1675.0,300.0,25.0,1.6,18.0,0.0,2.0,2.0,2.0,1.0,4.0,0.26,2.0,0.0,1.0,1.0,0.0,0.0,17.0,10,6.0,60.0,18.0,4,21.0,20.0,0.0,Nottingham Forest,Attack,Nigeria,5000000.0
334,1892,Theo Hernandez,24,32,32,"2,771",4.0,3.0,1.0,7.0,0.0,51,11,21.6,0.06,0.27,23.1,5.0,1391.0,1751.0,79.4,23094.0,7593.0,87.0,2.82,51.0,17.0,3.0,7.0,8.0,1.0,8.0,0.26,5.0,2.0,1.0,0.0,0.0,0.0,43.0,24,22.0,57.9,34.0,21,64.0,35.0,1.0,AC Milan,Defender,France,5000000.0
310,2180,Moritz Jenz,23,11,11,945,0.0,0.0,0.0,5.0,0.0,10,3,30.0,0.0,0.0,9.7,0.0,374.0,489.0,76.5,8350.0,3387.0,12.0,1.14,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11,5.0,62.5,16.0,8,22.0,53.0,1.0,VfL Wolfsburg,Defender,Germany,5000000.0
311,1235,Jack Grealish,26,28,23,"2,055",5.0,7.0,0.0,4.0,0.0,41,15,36.6,0.12,0.33,15.4,0.0,902.0,1072.0,84.1,13270.0,2584.0,104.0,4.55,71.0,7.0,6.0,6.0,13.0,1.0,20.0,0.88,14.0,1.0,0.0,1.0,3.0,1.0,25.0,16,13.0,59.1,17.0,7,32.0,9.0,0.0,Manchester City,Attack,England,5000000.0
312,1694,Robin Le Normand,25,33,31,"2,796",0.0,0.0,0.0,6.0,0.0,12,2,16.7,0.0,0.0,12.8,0.0,1533.0,1740.0,88.1,30128.0,8968.0,15.0,0.48,13.0,0.0,0.0,2.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,36.0,23,14.0,51.9,22.0,33,69.0,93.0,0.0,Real Sociedad,Defender,Spain,5000000.0
