Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Perrone Máximo,19,MF,1,0,19,0,0,0,0,0,0,0,,,,,0,18,21,85.7,228,32,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,1,0,0,0,0
Carson Scott,36,GK,0,0,,,,,,,590,205,34.7,0.14,0.40,16.6,20,23263,26642,87.3,396454,114920,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2,471,272,212,46.6,339,223,694,402,8
Ramsdale Aaron,24,GK,38,38,"3,420",0,0,0,1,0,0,0,,,,,0,761,1111,68.5,18974,13109,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,100.0,0,0,1,20,6
Dos Santos Gabriel,24,DF,38,38,"3,409",3,0,0,5,0,32,9,28.1,0.09,0.33,11.9,0,2155,2411,89.4,38355,13522,24,0.63,21,0,0,2,0,1,2,0.05,2,0,0,0,0,0,48,30,18,66.7,49,32,80,125,2
Saka Bukayo,20,FW,38,37,"3,181",14,11,2,6,0,86,29,33.7,0.14,0.41,16.3,1,1054,1430,73.7,15405,3694,161,4.56,106,27,8,11,7,2,28,0.79,20,4,2,1,0,1,63,34,20,45.5,38,14,77,19,0
Ødegaard Martin,23,MF,37,37,"3,127",15,7,0,4,0,93,31,33.3,0.16,0.48,19.2,9,1449,1804,80.3,22540,6014,163,4.69,123,15,4,12,6,3,17,0.49,15,0,0,2,0,0,36,23,14,29.8,20,6,42,12,1
White Ben,24,DF,38,36,"3,055",2,5,0,5,0,10,2,20.0,0.20,1.00,16.7,0,1888,2242,84.2,31271,10700,64,1.89,56,7,0,0,1,0,13,0.38,12,1,0,0,0,0,60,31,42,60.0,47,22,82,79,1
Xhaka Granit,29,MF,37,36,"2,993",7,7,0,4,0,40,14,35.0,0.18,0.50,16.6,3,1382,1632,84.7,22642,5919,110,3.31,94,3,5,4,3,1,17,0.51,16,0,0,1,0,0,34,27,16,39.0,28,15,49,45,1
Martinelli,21,FW,36,34,"2,789",15,5,0,3,0,79,30,38.0,0.19,0.50,15.4,2,833,1107,75.2,12960,2610,127,4.10,89,8,12,12,4,2,17,0.55,10,0,2,5,0,0,31,18,9,40.9,24,9,40,14,0
Partey Thomas,29,MF,33,28,"2,483",3,0,0,5,0,28,4,14.3,0.11,0.75,20.4,0,1731,1985,87.2,30132,9207,71,2.57,62,2,1,2,1,3,6,0.22,6,0,0,0,0,0,70,40,25,48.1,26,28,98,41,1
