Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Ceide Emil,20,FW,19,5,515,0,1,0,0,0,10,3,30.0,0.00,0.00,15.7,0,123,169,72.8,1571,499,19,3.33,15,0,3,0,1,0,3,0.53,1,0,1,0,1,0,5,2,3,60.0,3,1,6,0,0
D'Andrea Luca,17,FW,5,5,316,0,1,0,0,0,7,3,42.9,0.00,0.00,17.0,0,61,84,72.6,896,334,16,4.56,12,1,2,1,0,0,1,0.28,1,0,0,0,0,0,4,0,1,25.0,2,1,5,1,0
Marchizza Riccardo,24,DF,10,3,283,0,1,0,1,0,0,0,,,,,0,137,181,75.7,2272,755,8,2.54,7,0,1,0,0,0,2,0.64,2,0,0,0,0,0,2,2,2,50.0,2,2,4,8,0
Pegolo Gianluca,41,GK,2,2,180,0,0,0,0,0,0,0,,,,,0,64,77,83.1,1652,1058,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0
Luperto Sebastiano,25,DF,36,36,"3,135",2,0,0,4,2,18,4,22.2,0.11,0.50,12.7,0,1474,1705,86.5,29332,10243,12,0.34,10,1,0,1,0,0,2,0.06,2,0,0,0,0,0,33,18,9,45.0,54,43,76,163,1
Parisi Fabiano,21,DF,33,33,"2,830",2,0,0,10,1,21,2,9.5,0.10,1.00,21.9,0,1263,1646,76.7,20129,9462,62,1.97,42,4,7,2,6,1,8,0.25,6,0,1,0,1,0,65,35,30,41.7,51,41,106,91,0
Vicario Guglielmo,25,GK,31,31,"2,783",0,0,0,3,0,0,0,,,,,0,923,1277,72.3,24781,16933,6,0.19,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,50.0,0,0,1,15,2
Marin Răzvan,26,MF,33,28,"2,538",2,4,0,7,0,33,8,24.2,0.06,0.25,27.6,10,1260,1594,79.0,23304,8229,92,3.26,54,34,2,1,1,0,4,0.14,1,3,0,0,0,0,44,22,19,47.5,29,14,58,33,0
Bandinelli Filippo,27,MF,35,28,"2,263",2,0,0,10,0,24,7,29.2,0.08,0.29,23.4,0,773,1049,73.7,12752,3934,61,2.42,51,2,0,2,3,3,2,0.08,2,0,0,0,0,0,55,34,17,37.8,20,18,73,40,0
Baldanzi Tommaso,19,MF,26,24,"1,772",4,0,0,2,0,33,12,36.4,0.12,0.33,20.1,0,534,647,82.5,7465,1747,60,3.04,38,2,7,5,8,0,4,0.20,4,0,0,0,0,0,25,12,7,21.9,21,2,27,5,0
Ismajli Ardian,25,DF,25,22,"2,094",0,0,0,3,0,9,2,22.2,0.00,0.00,12.0,0,871,1029,84.6,17177,5741,11,0.47,9,0,0,1,0,1,0,0.00,0,0,0,0,0,0,40,32,18,75.0,47,27,67,120,0
Ebuehi Tyronne,26,DF,26,22,"1,923",2,4,0,0,0,19,4,21.1,0.11,0.50,10.9,0,688,881,78.1,11680,4092,29,1.36,22,5,0,1,1,0,4,0.19,3,0,0,1,0,0,22,14,9,69.2,23,12,34,79,1
Caputo Francesco,34,FW,21,20,"1,708",5,4,2,1,0,40,15,37.5,0.08,0.20,12.7,0,235,332,70.8,2741,539,35,1.85,29,0,0,5,1,0,5,0.26,5,0,0,0,0,0,2,2,0,0.0,7,2,4,8,0
Satriano Martin,21,FW,31,20,"1,705",2,1,0,4,0,38,10,26.3,0.05,0.20,15.3,0,249,384,64.8,3296,593,32,1.69,19,0,4,5,4,0,3,0.16,2,0,0,1,0,0,13,8,6,42.9,5,3,16,22,0
Stojanović Petar,26,DF,27,16,"1,530",0,1,0,3,0,10,2,20.0,0.00,0.00,25.1,1,821,1029,79.8,14171,5058,49,2.88,34,7,3,2,2,1,3,0.18,3,0,0,0,0,0,42,22,26,60.5,17,11,53,55,0
Akpa-Akpro Jean-Daniel,29,"MF,FW",24,16,"1,356",1,1,0,9,2,14,5,35.7,0.07,0.20,19.5,0,302,406,74.4,4399,1671,28,1.86,18,0,3,2,2,3,5,0.33,3,0,1,1,0,0,53,37,23,54.8,35,13,66,27,0
Grassi Alberto,27,MF,25,14,"1,194",0,0,0,3,0,10,3,30.0,0.00,0.00,15.7,0,453,559,81.0,6919,2055,13,0.98,11,0,0,1,1,0,1,0.08,1,0,0,0,0,0,26,21,15,62.5,23,27,53,45,0
