Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Lecomte Benjamin,31,GK,19,19,"1,710",0,0,0,0,0,0,0,,,,,0,411,643,63.9,12683,9750,5,0.26,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,0,0,0.0,0,0,0,6,0
Estève Maxime,20,DF,23,18,"1,646",0,0,0,3,0,6,0,0.0,0.00,,9.5,0,609,748,81.4,11413,3907,7,0.38,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,24,13,12,70.6,28,34,58,90,0
Sylla Issiaga,28,DF,15,15,"1,305",1,3,0,0,0,10,1,10.0,0.10,1.00,14.8,0,647,817,79.2,10539,3906,42,2.90,37,2,1,2,0,0,4,0.28,3,0,0,1,0,0,28,16,15,48.4,19,32,60,35,0
Kouyaté Boubakar,25,DF,15,15,"1,256",0,0,0,5,0,11,3,27.3,0.00,0.00,11.5,0,499,611,81.7,9797,3098,11,0.79,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,31,18,19,54.3,24,34,65,73,1
Mavididi Stephy,24,FW,26,14,"1,288",4,2,0,1,1,37,15,40.5,0.11,0.27,16.8,0,236,318,74.2,3260,618,44,3.08,22,0,8,7,5,2,4,0.28,3,0,1,0,0,0,24,19,13,48.1,21,4,28,10,0
Cozza Nicolas,23,DF,17,14,"1,277",2,1,0,3,0,7,4,57.1,0.29,0.50,10.0,0,429,592,72.5,7416,3170,18,1.27,15,0,1,1,1,0,2,0.14,2,0,0,0,0,0,38,21,26,68.4,11,21,59,35,1
Leroy Léo,22,MF,27,14,"1,192",0,0,0,7,0,18,6,33.3,0.00,0.00,20.6,1,387,521,74.3,6219,2029,31,2.34,24,0,1,4,1,1,7,0.53,7,0,0,0,0,0,53,38,31,54.4,25,14,67,8,0
Omlin Jonas,28,GK,14,14,"1,166",0,0,0,1,1,0,0,,,,,0,295,415,71.1,8042,5958,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,,0,0,1,8,1
Tchato Enzo,19,DF,21,11,"1,096",1,1,0,1,0,4,2,50.0,0.25,0.50,18.8,0,414,557,74.3,6287,2107,21,1.72,18,0,1,0,1,1,2,0.16,2,0,0,0,0,0,26,17,13,59.1,17,7,33,33,0
Sakho Mamadou,32,DF,15,7,763,1,0,0,2,0,3,2,66.7,0.33,0.50,6.1,0,397,459,86.5,6800,2504,4,0.47,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,9,5,3,60.0,17,8,17,35,1
Fayad Khalil,18,MF,24,7,718,0,2,0,1,1,8,3,37.5,0.00,0.00,21.8,0,283,341,83.0,4478,1236,19,2.38,15,2,1,1,0,0,5,0.63,4,0,0,1,0,0,30,14,12,57.1,8,9,39,4,0
Sainte-Luce Théo,23,DF,9,7,534,1,1,0,0,0,3,2,66.7,0.33,0.50,20.5,0,219,266,82.3,3223,1215,11,1.86,7,4,0,0,0,0,1,0.17,1,0,0,0,0,0,13,11,7,50.0,7,10,23,11,0
Germain Valère,32,"FW,MF",31,5,688,2,0,0,1,1,19,6,31.6,0.11,0.33,12.7,0,147,214,68.7,1794,407,14,1.83,11,0,0,2,1,0,3,0.39,1,0,0,1,1,0,13,11,4,33.3,8,6,19,12,0
Kamara Bingourou,25,GK,5,4,408,0,0,0,1,0,0,0,,,,,0,87,131,66.4,2374,1898,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,2,0
Souquet Arnaud,30,"DF,FW",12,3,361,0,0,0,1,0,1,0,0.0,0.00,,20.7,0,104,137,75.9,1509,690,5,1.25,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,22,16,11,78.6,8,4,26,4,0
Makouana Béni,19,"FW,MF",8,1,198,0,0,0,1,0,6,1,16.7,0.00,0.00,13.9,0,15,38,39.5,146,43,2,0.90,1,0,0,0,1,0,1,0.45,0,0,0,0,1,0,1,0,0,0.0,3,0,1,1,0
Dupé Maxime,29,GK,38,38,"3,420",0,0,0,2,0,1,0,0.0,0.00,,13.4,0,994,1271,78.2,25377,16802,2,0.05,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,9,3
Rouault Anthony,21,DF,37,37,"3,314",2,1,0,4,1,19,10,52.6,0.11,0.20,9.0,0,1802,2063,87.3,34985,13356,13,0.35,10,0,0,2,0,1,1,0.03,0,0,0,1,0,0,66,37,30,51.7,52,56,122,126,4
Spierings Stijn,26,MF,36,35,"3,120",2,0,0,6,0,24,5,20.8,0.08,0.40,20.2,0,1778,2085,85.3,32238,10001,60,1.73,48,0,2,3,3,4,6,0.17,4,0,1,0,1,0,95,67,43,42.6,49,53,148,44,0
Nicolaisen Rasmus,25,DF,34,34,"2,995",0,2,0,7,1,13,7,53.8,0.00,0.00,11.5,0,1484,1763,84.2,29502,11304,12,0.36,11,0,0,1,0,0,3,0.09,3,0,0,0,0,0,48,21,29,63.0,58,50,98,152,0
den Boomen Branco,27,MF,35,32,"2,888",5,8,4,6,0,48,20,41.7,0.02,0.05,25.1,16,1684,2214,76.1,37506,12927,154,4.80,85,57,0,9,3,0,22,0.69,16,3,0,3,0,0,71,36,36,40.4,27,10,81,27,2
Aboukhlal Zakaria,22,"FW,MF",37,28,"2,473",10,5,0,4,0,83,30,36.1,0.12,0.33,15.9,0,576,777,74.1,7539,1994,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0,33,23,14,31.1,18,22,55,23,0
Dallinga Thijs,21,FW,36,28,"2,353",12,1,0,4,0,61,30,49.2,0.20,0.40,12.1,0,327,522,62.6,4337,720,42,1.61,33,0,1,7,1,0,4,0.15,3,0,0,1,0,0,8,6,1,7.7,17,3,11,20,0
Desler Mikkel,27,DF,27,26,"2,257",1,2,0,5,1,11,4,36.4,0.09,0.25,17.6,0,1336,1573,84.9,19956,7128,49,1.96,42,1,2,3,1,0,5,0.20,5,0,0,0,0,0,71,38,43,64.2,35,36,107,48,2
Ratão Rafael,26,"FW,MF",30,25,"1,851",5,4,0,2,0,31,11,35.5,0.16,0.45,12.4,0,590,800,73.8,8370,2341,58,2.82,47,0,2,7,1,1,4,0.19,4,0,0,0,0,0,52,36,27,37.0,34,21,73,7,0
