Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Gómez Sergi,30,DF,29,26,"2,339",0,0,0,1,2,9,4,44.4,0.00,0.00,12.8,0,968,1132,85.5,20365,7288,11,0.42,9,0,0,2,0,0,1,0.04,0,0,0,1,0,0,29,16,18,81.8,33,27,56,125,1
Puado Javi,24,"FW,MF",37,25,"2,340",7,2,0,4,0,57,23,40.4,0.12,0.30,14.2,0,450,590,76.3,6618,1312,57,2.19,35,2,8,8,4,0,7,0.27,3,0,1,2,1,0,20,11,12,42.9,12,10,30,14,0
Calero Fernando,26,"DF,MF",27,20,"1,611",0,1,0,6,0,7,2,28.6,0.00,0.00,9.1,0,617,765,80.7,11710,4547,22,1.23,20,0,0,1,0,1,4,0.22,2,0,0,1,0,1,46,29,21,61.8,31,13,59,52,0
Montes César,25,DF,20,18,"1,590",3,0,0,6,0,13,6,46.2,0.23,0.50,12.9,0,624,799,78.1,12344,4658,10,0.57,6,1,0,3,0,0,2,0.11,0,0,0,2,0,0,17,9,10,55.6,19,14,31,101,0
Pacheco Fernando,30,GK,16,16,"1,440",0,0,0,0,0,0,0,,,,,0,399,557,71.6,12946,10565,5,0.31,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,0,1,1,11,0
Ribaudo Nico,21,"MF,FW",32,16,"1,248",1,2,0,4,0,33,11,33.3,0.03,0.09,20.4,3,352,454,77.5,5496,1476,51,3.67,34,7,1,2,4,3,2,0.14,2,0,0,0,0,0,18,13,11,36.7,19,5,23,1,0
Expósito Edu,25,MF,28,13,"1,160",2,2,0,3,1,19,7,36.8,0.11,0.29,24.7,2,389,530,73.4,6692,2025,45,3.49,30,5,4,3,2,1,9,0.70,8,0,1,0,0,0,34,20,13,56.5,7,12,46,20,0
Fernández Álvaro,24,GK,11,11,990,0,0,0,1,0,0,0,,,,,0,231,358,64.5,8998,7511,1,0.09,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,7,2
Suárez Denis,28,"MF,FW",18,11,945,0,0,0,2,0,4,2,50.0,0.00,0.00,19.4,0,331,452,73.2,5200,1637,34,3.24,22,9,2,0,1,0,1,0.10,1,0,0,0,0,0,26,20,13,28.9,11,5,31,4,0
Vidal Aleix,32,"MF,FW",25,10,"1,025",0,3,0,10,1,3,2,66.7,0.00,0.00,17.4,0,279,384,72.7,4979,1379,25,2.20,16,5,3,0,0,1,5,0.44,3,1,0,0,0,1,11,5,4,18.2,21,15,26,14,0
Lecomte Benjamin,31,GK,10,10,899,0,0,0,1,1,0,0,,,,,0,179,275,65.1,6302,5234,2,0.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,3,2
Rubén,21,"DF,MF",18,9,888,0,2,0,1,0,9,0,0.0,0.00,,19.1,0,232,339,68.4,3895,1166,19,1.92,15,0,3,0,0,1,4,0.40,3,0,1,0,0,0,30,15,20,69.0,14,18,48,18,0
Gragera José,21,"MF,DF",9,5,460,1,0,0,2,0,4,1,25.0,0.25,1.00,11.6,0,178,208,85.6,3239,1070,2,0.39,1,0,0,1,0,0,1,0.20,0,0,0,1,0,0,19,9,6,54.5,10,7,26,18,0
Bare Keidi,24,MF,18,4,503,0,1,0,0,0,5,3,60.0,0.00,0.00,17.9,0,221,267,82.8,3777,1040,11,1.96,7,1,0,2,0,1,2,0.36,1,0,0,0,0,1,15,8,7,53.8,8,11,26,8,0
Pierre-Gabriel Ronaël,24,DF,8,2,236,1,0,0,2,1,2,1,50.0,0.50,1.00,14.6,0,77,104,74.0,1187,440,4,1.53,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,9,5,45.5,5,9,26,11,0
Pedrosa,24,"DF,MF",7,2,229,0,0,0,0,0,1,0,0.0,0.00,,19.8,0,61,76,80.3,881,239,7,2.75,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,1,4,57.1,1,5,10,3,0
Hilali Omar,18,"DF,MF",5,1,92,0,0,0,1,0,0,0,,,,,0,21,35,60.0,356,128,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,1,50.0,1,1,4,6,0
García Joan,21,GK,1,1,90,0,0,0,0,0,0,0,,,,,0,26,30,86.7,521,425,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Badía Édgar,30,GK,36,36,"3,240",0,0,0,2,0,0,0,,,,,0,791,1072,73.8,24081,17998,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,50.0,0,0,1,19,3
Gumbau Gerard,27,MF,35,31,"2,737",1,6,0,11,0,47,18,38.3,0.02,0.06,25.5,6,1112,1446,76.9,22189,7192,121,3.98,56,57,2,5,1,0,7,0.23,3,4,0,0,0,0,44,25,18,35.3,32,28,72,40,0
Clerc Carlos,30,"DF,MF",32,31,"2,639",0,1,0,5,0,9,3,33.3,0.00,0.00,17.9,0,1040,1397,74.4,16100,6659,41,1.40,31,3,1,2,4,0,4,0.14,3,0,0,0,1,0,75,51,31,62.0,29,28,103,94,1
Boyé Lucas,26,FW,35,29,"2,462",7,2,0,7,1,71,20,28.2,0.10,0.35,14.4,1,510,650,78.5,7080,1364,75,2.74,51,0,12,5,5,2,7,0.26,5,0,0,1,0,1,36,16,17,48.6,33,15,51,46,0
Mascarell Omar,29,"MF,DF",28,28,"2,447",0,1,0,6,0,9,3,33.3,0.00,0.00,22.1,1,1091,1270,85.9,20666,6208,42,1.54,30,11,1,0,0,0,3,0.11,1,2,0,0,0,0,53,26,31,48.4,51,45,98,54,1
Bigas Pedro,31,DF,28,25,"2,020",0,0,0,4,2,22,8,36.4,0.00,0.00,15.5,0,843,1053,80.1,16786,7505,14,0.62,9,0,1,2,1,1,3,0.13,1,0,0,1,1,0,37,20,18,62.1,25,33,70,95,0
Morente Tete,25,"MF,DF",32,23,"2,068",4,0,0,5,0,46,14,30.4,0.09,0.29,16.1,0,571,785,72.7,8632,2680,53,2.31,32,4,10,3,3,1,2,0.09,1,0,0,0,1,0,33,21,15,41.7,23,25,58,28,0
Palacios Helibelton,29,DF,24,23,"1,915",0,0,0,6,0,4,3,75.0,0.00,0.00,13.8,0,623,835,74.6,10355,5114,21,0.99,18,2,0,0,1,0,0,0.00,0,0,0,0,0,0,38,20,19,73.1,26,20,58,55,0
Milla Pere,29,"FW,MF",31,21,"1,843",6,1,3,7,0,33,7,21.2,0.09,0.43,15.0,1,410,585,70.1,6190,1742,43,2.07,27,0,3,4,8,1,3,0.14,2,0,0,0,1,0,31,20,14,34.1,18,9,40,19,1
Fidel,32,"MF,FW",27,21,"1,714",3,2,1,5,0,13,2,15.4,0.15,1.00,15.6,0,631,897,70.3,10113,3511,66,3.46,46,11,4,1,4,0,4,0.21,4,0,0,0,0,0,15,10,4,10.5,9,5,20,8,0
Roco Enzo,29,DF,22,19,"1,652",0,0,0,7,1,10,3,30.0,0.00,0.00,10.3,0,587,719,81.6,11519,4677,12,0.65,9,0,1,1,0,1,0,0.00,0,0,0,0,0,0,33,13,15,62.5,22,17,50,63,1
