,Player,Age,Position,Club,Shooting,Passing,Dribbling,Defending,Physical,Overall,Value,League
0,Sadio Mane,30,Attack,Bayern Munich,61.96992303448499,60.27236258823007,66.28082926884866,30.28694273524624,62.11220959746976,62.65883112225837,-45000000.0,Bundesliga
1, Fernández Enzo,21, midfield,Chelsea FC,38.643388121907044,47.49639944814689,47.00069388631476,43.541494225630316,46.893550589383466,46.23303453736886,45000000.0,Premier League
2, Mac Allister Alexis,23, midfield,Liverpool FC,81.92739268579787,70.5907530405827,86.564416458002,64.36120207027085,90.70318341346739,82.44643639946248,45000000.0,Premier League
