Players,Values
Naby Keïta,€25.00m 
Thiago,€20.00m 
Alex Oxlade-Chamberlain,€16.00m 
Jordan Henderson,€15.00m 
Tyler Morton,€3.00m 
James Milner,€2.00m 
Elijah Dixon-Bonner,€300k 
Harvey Elliott,€22.00m 
Ben Woodburn,€1.20m 
Sadio Mané,€70.00m 
Luis Díaz,€65.00m 
Diogo Jota,€60.00m 
Takumi Minamino,€12.00m 
Mohamed Salah,€90.00m 
Sheyi Ojo,€2.00m 
Kaide Gordon,€1.50m 
Harvey Blair,€300k 
Roberto Firmino,€32.00m 
Divock Origi,€12.00m 
Max Woltman,€300k 
Dean Henderson,€18.00m 
David de Gea,€15.00m 
Tom Heaton,€800k 
Matej Kovar,€400k 
Lee Grant,€250k 
Raphaël Varane,€48.00m 
Harry Maguire,€38.00m 
Victor Lindelöf,€22.00m 
Eric Bailly,€6.00m 
Phil Jones,€3.00m 
Teden Mengi,€2.00m 
Luke Shaw,€38.00m 
Alex Telles,€18.00m 
Brandon Williams,€12.00m 
Aaron Wan-Bissaka,€25.00m 
Diogo Dalot,€20.00m 
Scott McTominay,€32.00m 
James Garner,€7.00m 
Nemanja Matic,€5.00m 
Charlie Savage,€600k 
Paul Pogba,€48.00m 
Donny van de Beek,€25.00m 
Fred,€20.00m 
Zidane Iqbal,€600k 
Bruno Fernandes,€85.00m 
Jesse Lingard,€18.00m 
Andreas Pereira,€7.50m 
Hannibal,€6.00m 
Juan Mata,€2.50m 
Jadon Sancho,€75.00m 
Marcus Rashford,€60.00m 
Anthony Elanga,€20.00m 
Daniel James,€18.00m 
Amad Diallo,€15.00m 
Shola Shoretire,€4.00m 
Tahith Chong,€3.50m 
Cristiano Ronaldo,€30.00m 
Anthony Martial,€16.00m 
Edinson Cavani,€4.00m 
Pierluigi Gollini,€10.00m 
Hugo Lloris,€7.00m 
Brandon Austin,€300k 
Cristian Romero,€48.00m 
Davinson Sánchez,€28.00m 
Eric Dier,€28.00m 
Japhet Tanganga,€12.00m 
Joe Rodon,€8.00m 
Cameron Carter-Vickers,€7.00m 
Maksim Paskotsi,€200k 
Sergio Reguilón,€25.00m 
Ben Davies,€20.00m 
Emerson Royal,€25.00m 
Matt Doherty,€12.00m 
Marcel Lavinier,€300k 
Oliver Skipp,€18.00m 
Harry Winks,€15.00m 
Harvey White,€600k 
Pierre-Emile Höjbjerg,€40.00m 
Tanguy Ndombélé,€30.00m 
Rodrigo Bentancur,€28.00m 
Giovani Lo Celso,€22.00m 
Moussa Sissoko,€4.50m 
Nile John,€400k 
Ryan Sessegnon,€18.00m 
Dele Alli,€16.00m 
Alfie Devine,€900k 
Heung-min Son,€75.00m 
Bryan Gil,€18.00m 
Steven Bergwijn,€18.00m 
Jack Clarke,€3.50m 
Dejan Kulusevski,€40.00m 
Lucas Moura,€20.00m 
Dilan Markanday,€400k 
Harry Kane,€90.00m 
Dane Scarlett,€250k 
Freddie Woodman,€9.00m 
Martin Dúbravka,€4.00m 
Karl Darlow,€2.50m 
Mark Gillespie,€300k 
Jamaal Lascelles,€10.00m 
Fabian Schär,€7.00m 
Ciaran Clark,€1.80m 
Federico Fernández,€1.50m 
Matt Targett,€17.00m 
Dan Burn,€12.00m 
Jamal Lewis,€10.00m 
Paul Dummett,€1.50m 
Kieran Trippier,€15.00m 
Emil Krafth,€5.00m 
Javier Manquillo,€3.00m 
Bruno Guimarães,€40.00m 
Isaac Hayden,€8.00m 
Joe Willock,€22.00m 
Sean Longstaff,€13.00m 
Jonjo Shelvey,€10.00m 
Jeff Hendrick,€5.00m 
Matty Longstaff,€1.80m 
Matt Ritchie,€1.80m 
Joelinton,€20.00m 
Elliot Anderson,€200k 
Allan Saint-Maximin,€32.00m 
Ryan Fraser,€10.00m 
Miguel Almirón,€16.00m 
Jacob Murphy,€5.00m 
Callum Wilson,€18.00m 
Chris Wood,€10.00m 
Dwight Gayle,€1.50m 
Emiliano Martínez,€28.00m 
Robin Olsen,€2.00m 
Jed Steer,€600k 
Viljami Sinisalo,€200k 
Tyrone Mings,€30.00m 
Ezri Konsa,€22.00m 
Calum Chambers,€10.00m 
Axel Tuanzebe,€7.00m 
Kortney Hause,€4.00m 
Sil Swinkels,€150k 
Lucas Digne,€25.00m 
Matt Targett,€17.00m 
Ben Chrisene,€150k 
Matty Cash,€25.00m 
Frédéric Guilbert,€7.00m 
Ashley Young,€1.00m 
Kaine Kesler-Hayden,€300k 
Marvelous Nakamba,€7.00m 
Lamare Bogarde,€200k 
Hayden Lindley,€150k 
Douglas Luiz,€38.00m 
John McGinn,€32.00m 
Jacob Ramsey,€25.00m 
Morgan Sanson,€10.00m 
Carney Chukwuemeka,€6.00m 
Tim Iroegbunam,€2.50m 
Conor Hourihane,€1.80m 
Aaron Ramsey,€1.00m 
Leon Bailey,€25.00m 
Philippe Coutinho,€20.00m 
Mahmoud Trezeguet,€10.00m 
Jaden Philogene,€3.00m 
Emiliano Buendía,€32.00m 
Bertrand Traoré,€16.00m 
Anwar El Ghazi,€9.00m 
Ollie Watkins,€35.00m 
Danny Ings,€20.00m 
Wesley Moraes,€6.00m 
Cameron Archer,€6.00m 
Keinan Davis,€2.50m 
Caleb Chukwuemeka,€200k 
Alphonse Areola,€8.00m 
Lukasz Fabianski,€1.00m 
Darren Randolph,€800k 
David Martin,€250k 
Kurt Zouma,€28.00m 
Issa Diop,€10.00m 
Craig Dawson,€3.00m 
Angelo Ogbonna,€1.20m 
Aji Alese,€500k 
Jamal Baptiste,€200k 
Arthur Masuaku,€5.00m 
Aaron Cresswell,€3.00m 
Emmanuel Longelo,€150k 
Vladimir Coufal,€12.00m 
Ben Johnson,€9.00m 
Ryan Fredericks,€1.50m 
Harrison Ashby,€300k 
Declan Rice,€80.00m 
Tomas Soucek,€45.00m 
Alex Kral,€7.00m 
Conor Coventry,€500k 
Keenan Appiah-Forson,€300k 
Freddie Potts,€250k 
Mark Noble,€1.00m 
Dan Chesters,€250k 
Pablo Fornals,€22.00m 
Nikola Vlasic,€22.00m 
Manuel Lanzini,€12.00m 
Saïd Benrahma,€25.00m 
Jarrod Bowen,€42.00m 
Andriy Yarmolenko,€2.50m 
Michail Antonio,€10.00m 
Sonny Perkins,€1.20m 
David Raya,€22.00m 
Álvaro Fernández,€4.00m 
Jonas Lössl,€1.00m 
Patrik Gunnarsson,€500k 
Ellery Balcombe,€300k 
Kristoffer Ajer,€18.00m 
Ethan Pinnock,€12.00m 
Pontus Jansson,€7.00m 
Mads Bech Sörensen,€5.00m 
Zanka,€1.20m 
Charlie Goode,€900k 
Julian Jeanvier,€900k 
Rico Henry,€20.00m 
Dominic Thompson,€800k 
Mads Roerslev,€2.50m 
Fin Stevens,€400k 
Christian Nörgaard,€14.00m 
Vitaly Janelt,€14.00m 
Christian Eriksen,€20.00m 
Mathias Jensen,€10.00m 
Josh Dasilva,€10.00m 
Frank Onyeka,€9.00m 
Shandon Baptiste,€3.00m 
Mads Bidstrup,€1.00m 
Paris Maghoma,€200k 
Saman Ghoddos,€2.50m 
Myles Peart-Harris,€1.00m 
Yoane Wissa,€12.00m 
Tariqe Fosu,€2.00m 
Max Haygarth,€100k 
Bryan Mbeumo,€22.00m 
Sergi Canós,€14.00m 
Ivan Toney,€35.00m 
Marcus Forss,€4.00m 
Halil Dervisoglu,€3.00m 
José Sá,€18.00m 
Matija Sarkic,€1.80m 
John Ruddy,€300k 
Louie Moulden,€200k 
Andreas Söndergaard,€200k 
Conor Coady,€25.00m 
Max Kilman,€16.00m 
Romain Saïss,€8.00m 
Willy Boly,€6.00m 
Yerson Mosquera,€3.00m 
Toti,€1.50m 
Dion Sanderson,€600k 
Christian Marques,€200k 
Rayan Aït-Nouri,€20.00m 
Jonny Otto,€15.00m 
Ryan Giles,€3.00m 
Marçal,€1.50m 
Nélson Semedo,€22.00m 
Ki-Jana Hoever,€6.00m 
Rúben Neves,€40.00m 
Leander Dendoncker,€28.00m 
João Moutinho,€2.50m 
Bruno Jordão,€1.60m 
Luke Cundle,€800k 
Connor Ronan,€750k 
Morgan Gibbs-White,€11.00m 
Daniel Podence,€20.00m 
Chiquinho,€3.00m 
Pedro Neto,€32.00m 
Trincão,€20.00m 
Adama Traoré,€20.00m 
Raúl Jiménez,€18.00m 
Hee-chan Hwang,€16.00m 
Fábio Silva,€15.00m 
Jordan Pickford,€20.00m 
Asmir Begovic,€1.00m 
Andy Lonergan,€250k 
Michael Keane,€20.00m 
Yerry Mina,€20.00m 
Ben Godfrey,€20.00m 
Mason Holgate,€18.00m 
Jarrad Branthwaite,€3.00m 
Lucas Digne,€25.00m 
Vitaliy Mykolenko,€18.00m 
Niels Nkounkou,€2.20m 
Nathan Patterson,€8.00m 
Jonjoe Kenny,€4.00m 
Seamus Coleman,€3.00m 
Allan,€15.00m 
Jean-Philippe Gbamin,€9.00m 
Donny van de Beek,€25.00m 
Abdoulaye Doucouré,€22.00m 
André Gomes,€18.00m 
Tom Davies,€18.00m 
Fabian Delph,€1.80m 
Tyler Onyango,€200k 
Alex Iwobi,€18.00m 
Dele Alli,€16.00m 
Demarai Gray,€22.00m 
Anthony Gordon,€20.00m 
Lewis Dobbin,€300k 
Anwar El Ghazi,€9.00m 
Andros Townsend,€5.00m 
Richarlison,€48.00m 
Dominic Calvert-Lewin,€40.00m 
Moise Kean,€24.00m 
Salomón Rondón,€2.50m 
Cenk Tosun,€2.00m 
Nathan Broadhead,€500k 
Ellis Simms,€300k 
Brice Samba,€2.50m 
Ethan Horvath,€800k 
Jordan Smith,€300k 
Joe Worrall,€4.00m 
Scott McKenna,€3.50m 
Steve Cook,€2.80m 
Loïc Mbe Soh,€2.50m 
Jonathan Panzo,€2.50m 
Tobias Figueiredo,€1.80m 
Max Lowe,€3.00m 
Gaëtan Bong,€300k 
Djed Spence,€8.00m 
Richie Laryea,€2.50m 
Mohamed Dräger,€1.30m 
Jordi Osei-Tutu,€1.00m 
Jordan Lawrence-Gabriel,€500k 
James Garner,€7.00m 
Jack Colback,€600k 
Ryan Yates,€4.00m 
Braian Ojeda,€1.50m 
Harry Arter,€800k 
Cafú,€700k 
Brennan Johnson,€15.00m 
Philip Zinckernagel,€3.00m 
João Carvalho,€2.50m 
Ateef Konaté,€150k 
Alex Mighten,€600k 
Joe Lolley,€2.50m 
Xande Silva,€500k 
Keinan Davis,€2.50m 
Sam Surridge,€2.00m 
Nuno Da Costa,€1.20m 
Lewis Grabban,€600k 
Lyle Taylor,€500k 
Jack Butland,€1.80m 
Vicente Guaita,€1.50m 
Remi Matthews,€300k 
Marc Guéhi,€32.00m 
Joachim Andersen,€25.00m 
Nathan Ferguson,€2.50m 
James Tomkins,€1.50m 
Jaroslaw Jach,€500k 
Tyrick Mitchell,€25.00m 
Reece Hannam,€200k 
Joel Ward,€2.00m 
Nathaniel Clyne,€2.00m 
Martin Kelly,€1.00m 
Jairo Riedewald,€5.00m 
Luka Milivojevic,€4.00m 
Cheikhou Kouyaté,€4.00m 
Conor Gallagher,€25.00m 
Will Hughes,€6.00m 
James McArthur,€1.20m 
Jeffrey Schlupp,€8.00m 
Eberechi Eze,€22.00m 
Wilfried Zaha,€38.00m 
Michael Olise,€22.00m 
Jesurun Rak-Sakyi,€500k 
Scott Banks,€250k 
Odsonne Edouard,€17.00m 
Jean-Philippe Mateta,€10.00m 
Jordan Ayew,€6.00m 
Christian Benteke,€6.00m 
Luke Plange,€800k 
Freddie Woodman,€9.00m 
Mark Travers,€2.50m 
Örjan Nyland,€700k 
Will Dennis,€100k 
Lloyd Kelly,€12.00m 
Nathaniel Phillips,€8.00m 
Chris Mepham,€4.00m 
Steve Cook,€2.80m 
James Hill,€1.00m 
Gary Cahill,€400k 
Zeno Ibsen Rossi,€250k 
Jordan Zemura,€3.00m 
Leif Davis,€800k 
Ethan Laird,€5.00m 
Jack Stacey,€3.00m 
Adam Smith,€1.50m 
Brennan Camp,€100k 
Jefferson Lerma,€15.00m 
Philip Billing,€18.00m 
Lewis Cook,€9.00m 
Ben Pearson,€2.50m 
Gavin Kilkenny,€1.50m 
Kyle Taylor,€100k 
Todd Cantwell,€18.00m 
Robbie Brady,€1.00m 
Ryan Christie,€9.00m 
Emiliano Marcondes,€2.00m 
Jaidon Anthony,€6.00m 
Siriki Dembélé,€2.80m 
Morgan Rogers,€1.80m 
Junior Stanislas,€700k 
David Brooks,€16.00m 
Jamal Lowe,€1.80m 
Dominic Solanke,€16.00m 
Kieffer Moore,€5.00m 
Christian Saydee,€50k 
Marek Rodak,€5.00m 
Paulo Gazzaniga,€2.00m 
Fabri,€500k 
Damian Las,€50k 
Tosin Adarabioyo,€15.00m 
Alfie Mawson,€2.50m 
Michael Hector,€2.00m 
Terence Kongolo,€1.50m 
Tim Ream,€500k 
Antonee Robinson,€8.00m 
Joe Bryan,€3.00m 
Neco Williams,€8.00m 
Kenny Tete,€4.00m 
Steven Sessegnon,€1.50m 
Cyrus Christie,€1.20m 
Denis Odoi,€700k 
Marlon Fossey,€250k 
Nathaniel Chalobah,€4.00m 
Frank Anguissa,€30.00m 
Harrison Reed,€10.00m 
Tom Cairney,€5.00m 
Jean Michaël Seri,€5.00m 
Josh Onomah,€3.50m 
Domingos Quina,€2.20m 
Tyrese Francois,€500k 
Fábio Carvalho,€12.00m 
Bobby De Cordova-Reid,€7.00m 
Neeskens Kebano,€3.00m 
Ivan Cavaleiro,€3.00m 
Harry Wilson,€17.00m 
Anthony Knockaert,€2.00m 
Aleksandar Mitrović,€20.00m 
Rodrigo Muniz,€5.00m 
Aboubakar Kamara,€3.50m 
Jay Stansfield,€500k 
Nick Pope,€15.00m 
Bailey Peacock-Farrell,€900k 
Wayne Hennessey,€500k 
Will Norris,€300k 
Lukas Jensen,€50k 
James Tarkowski,€22.00m 
Nathan Collins,€10.00m 
Ben Mee,€2.50m 
Kevin Long,€1.00m 
Erik Pieters,€900k 
Bobby Thomas,€200k 
Charlie Taylor,€3.00m 
Connor Roberts,€2.50m 
Matthew Lowton,€1.20m 
Phil Bardsley,€250k 
Ashley Westwood,€2.00m 
Jack Cork,€1.80m 
Josh Brownhill,€7.00m 
Dale Stephens,€1.00m 
Anthony Mancini,€250k 
Lewis Richardson,€200k 
Dwight McNeil,€18.00m 
Maxwel Cornet,€15.00m 
Jóhann Berg Gudmundsson,€2.00m 
Aaron Lennon,€1.00m 
Wout Weghorst,€14.00m 
Chris Wood,€10.00m 
Jay Rodríguez,€2.00m 
Matej Vydra,€2.00m 
Ashley Barnes,€1.50m 
Aaron Ramsdale,€28.00m 
Robin Olsen,€2.00m 
Michael Verrips,€800k 
Adam Davies,€700k 
Wes Foderingham,€500k 
Jake Eastwood,€100k 
John Egan,€7.00m 
Filip Uremovic,€6.00m 
Jack O'Connell,€4.00m 
Ben Davies,€2.50m 
Chris Basham,€900k 
Charlie Goode,€900k 
Kyron Gordon,€250k 
Kacper Lopata,€150k 
Max Lowe,€3.00m 
Enda Stevens,€1.50m 
Jack Robinson,€1.50m 
Rhys Norrington-Davies,€1.50m 
Jayden Bogle,€5.00m 
George Baldock,€4.00m 
Femi Seriki,€150k 
Regan Slater,€400k 
Sander Berge,€16.00m 
John Fleck,€3.00m 
Oliver Norwood,€3.00m 
Conor Hourihane,€1.80m 
Adlène Guédioura,€300k 
Zak Brunt,€250k 
Ben Osborn,€2.50m 
Morgan Gibbs-White,€11.00m 
Luke Freeman,€1.00m 
Rhian Brewster,€7.00m 
Lys Mousset,€6.00m 
Oliver McBurnie,€5.00m 
Oliver Burke,€4.50m 
Iliman Ndiaye,€1.50m 
David McGoldrick,€1.00m 
Daniel Jebbison,€1.00m 
Billy Sharp,€400k 
Tyler Smith,€300k 
Simon Sluga,€1.50m 
Matt Ingram,€800k 
Jed Steer,€600k 
Alex Palmer,€300k 
James Shea,€300k 
Harry Isted,€200k 
Reece Burke,€1.80m 
Tom Lockyer,€1.50m 
Sonny Bradley,€1.20m 
Kal Naismith,€1.00m 
Dan Potts,€500k 
Gabriel Osho,€500k 
Amari'i Bell,€1.80m 
Sam Beckwith,€50k 
James Bree,€2.50m 
Peter Kioso,€300k 
Pelly-Ruddock Mpanzu,€1.80m 
Glen Rea,€600k 
Allan Campbell,€1.50m 
Henri Lansbury,€800k 
Luke Berry,€700k 
Jordan Clark,€500k 
Elliot Thorpe,€300k 
Fred Onyedinma,€800k 
Elliot Lee,€600k 
Dion Pereira,€300k 
Robert Snodgrass,€500k 
Carlos Mendes,€250k 
Josh Neufville,€100k 
Elijah Adebayo,€4.50m 
Harry Cornick,€1.20m 
Admiral Muskwe,€400k 
Danny Hylton,€300k 
Cameron Jerome,€250k 
Aaron Ramsdale,€28.00m 
Bernd Leno,€9.00m 
Arthur Okonkwo,€1.50m 
Karl Hein,€800k 
Gabriel Magalhães,€38.00m 
Rob Holding,€10.00m 
Calum Chambers,€10.00m 
Pablo Marí,€5.00m 
Kieran Tierney,€32.00m 
Nuno Tavares,€15.00m 
Sead Kolasinac,€3.00m 
Ben White,€40.00m 
Takehiro Tomiyasu,€25.00m 
Héctor Bellerín,€20.00m 
Cédric Soares,€6.00m 
Ryan Alebiosu,€200k 
Zak Swanson,€150k 
Thomas Partey,€38.00m 
Mohamed Elneny,€11.00m 
Granit Xhaka,€20.00m 
Albert Sambi Lokonga,€14.00m 
Charlie Patino,€2.00m 
Miguel Azeez,€800k 
Ainsley Maitland-Niles,€10.00m 
Martin Ødegaard,€45.00m 
Emile Smith Rowe,€40.00m 
Marcelo Flores,€1.50m 
Gabriel Martinelli,€40.00m 
Bukayo Saka,€65.00m 
Nicolas Pépé,€25.00m 
Reiss Nelson,€6.50m 
Eddie Nketiah,€16.00m 
Pierre-Emerick Aubameyang,€15.00m 
Alexandre Lacazette,€15.00m 
Folarin Balogun,€4.00m 
Mika Biereth,€600k 
Thibaut Courtois,€60.00m 
Andriy Lunin,€2.50m 
Luis López,€300k 
Toni Fuidias,€300k 
Éder Militão,€60.00m 
David Alaba,€55.00m 
Nacho Fernández,€7.00m 
Jesús Vallejo,€3.00m 
Mario Gila,€500k 
Rafa Marín,€400k 
Ferland Mendy,€40.00m 
Miguel Gutiérrez,€6.00m 
Marcelo,€3.00m 
Daniel Carvajal,€18.00m 
Lucas Vázquez,€12.00m 
Álvaro Odriozola,€12.00m 
Sergio Santos,€250k 
Casemiro,€40.00m 
Antonio Blanco,€5.00m 
Federico Valverde,€70.00m 
Eduardo Camavinga,€55.00m 
Toni Kroos,€20.00m 
Dani Ceballos,€14.00m 
Luka Modric,€10.00m 
Isco,€7.50m 
Vinicius Junior,€100.00m 
Eden Hazard,€12.00m 
Rodrygo,€60.00m 
Marco Asensio,€40.00m 
Gareth Bale,€3.00m 
Peter González,€1.00m 
Karim Benzema,€30.00m 
Luka Jovic,€16.00m 
Mariano Díaz,€6.00m 
Juanmi Latasa,€1.00m 
Marc-André ter Stegen,€30.00m 
Iñaki Peña,€4.20m 
Neto,€3.00m 
Arnau Tenas,€1.50m 
Lazar Carevic,€200k 
Ronald Araújo,€50.00m 
Eric García,€18.00m 
Clément Lenglet,€12.00m 
Óscar Mingueza,€6.00m 
Gerard Piqué,€5.00m 
Samuel Umtiti,€2.00m 
Arnau Comas,€1.00m 
Mika Mármol,€800k 
Jordi Alba,€9.00m 
Alejandro Balde,€4.00m 
Emerson Royal,€25.00m 
Sergiño Dest,€18.00m 
Sergi Roberto,€6.00m 
Dani Alves,€1.00m 
Guillem Jaime,€300k 
Sergio Busquets,€9.00m 
Jandro Orellana,€1.50m 
Álvaro Sanz,€700k 
Pedri,€80.00m 
Frenkie de Jong,€60.00m 
Gavi,€60.00m 
Nico González,€20.00m 
Miralem Pjanic,€9.50m 
Riqui Puig,€7.00m 
Lucas de Vega,€400k 
Ansu Fati,€60.00m 
Ferran Torres,€45.00m 
Philippe Coutinho,€20.00m 
Abde Ezzalzouli,€8.00m 
Ousmane Dembélé,€30.00m 
Adama Traoré,€20.00m 
Yusuf Demir,€5.00m 
Ilias Akhomach,€3.00m 
Antoine Griezmann,€35.00m 
Memphis Depay,€35.00m 
Pierre-Emerick Aubameyang,€15.00m 
Martin Braithwaite,€6.00m 
Luuk de Jong,€4.00m 
Ferran Jutglà,€3.00m 
Rey Manaj,€1.50m 
Jan Oblak,€45.00m 
Benjamin Lecomte,€5.00m 
Ivo Grbic,€3.50m 
José María Giménez,€50.00m 
Mario Hermoso,€20.00m 
Stefan Savic,€16.00m 
Nehuén Pérez,€6.00m 
Felipe,€6.00m 
Renan Lodi,€30.00m 
Reinildo Mandava,€22.00m 
Kieran Trippier,€15.00m 
Daniel Wass,€6.00m 
Sime Vrsaljko,€5.00m 
Geoffrey Kondogbia,€20.00m 
Marcos Llorente,€45.00m 
Rodrigo de Paul,€40.00m 
Koke,€25.00m 
Saúl Ñíguez,€25.00m 
Héctor Herrera,€5.00m 
Thomas Lemar,€40.00m 
Yannick Carrasco,€40.00m 
Ángel Correa,€45.00m 
João Félix,€70.00m 
Antoine Griezmann,€35.00m 
Matheus Cunha,€30.00m 
Luis Suárez,€8.00m 
Sergio Camello,€3.00m 
Ivan Saponjic,€800k 
Giuliano Simeone,€500k 
Álex Remiro,€22.00m 
Mathew Ryan,€5.00m 
Gaizka Ayesa,€1.00m 
Unai Marrero,€150k 
Robin Le Normand,€30.00m 
Aritz Elustondo,€20.00m 
Igor Zubeldia,€15.00m 
Jon Pacheco,€1.00m 
Urko González,€1.00m 
Aihen Muñoz,€6.00m 
Diego Rico,€3.00m 
Nacho Monreal,€1.00m 
Jonathan Gómez,€500k 
Cristo Romero,€300k 
Andoni Gorosabel,€10.00m 
Joseba Zaldua,€4.00m 
Álex Sola,€300k 
Martín Zubimendi,€30.00m 
Asier Illarramendi,€3.00m 
Mikel Merino,€50.00m 
Ander Guevara,€5.00m 
Beñat Turrientes,€3.00m 
Jon Guridi,€1.20m 
Jon Ander Olasagasti,€1.00m 
Rafinha,€9.00m 
David Silva,€4.00m 
Robert Navarro,€3.00m 
Mikel Oyarzabal,€60.00m 
Ander Barrenetxea,€9.00m 
Näis Djouahra,€1.50m 
Adnan Januzaj,€12.00m 
Portu,€9.00m 
Germán Valera,€1.50m 
Ander Martín,€500k 
Alexander Isak,€30.00m 
Alexander Sørloth,€10.00m 
Carlos Fernández,€5.00m 
Jon Karrikaburu,€5.00m 
Julen Lobete,€3.00m 
Jon Bautista,€1.00m 
Gerónimo Rulli,€6.00m 
Sergio Asenjo,€4.00m 
Iker Álvarez,€300k 
Filip Jörgensen,€300k 
Pau Torres,€50.00m 
Jorge Cuenca,€8.00m 
Aïssa Mandi,€6.00m 
Raúl Albiol,€3.00m 
Adrián de la Fuente,€600k 
Pervis Estupiñán,€20.00m 
Alfonso Pedraza,€18.00m 
Alberto Moreno,€5.00m 
Dani Tasende,€500k 
Juan Foyth,€25.00m 
Serge Aurier,€10.00m 
Mario Gaspar,€3.00m 
Rubén Peña,€2.50m 
Lanchi,€200k 
Francis Coquelin,€5.00m 
Étienne Capoue,€3.00m 
Vicente Iborra,€2.00m 
Giovani Lo Celso,€22.00m 
Manu Trigueros,€14.00m 
Dani Parejo,€9.00m 
Manu Morlanes,€5.00m 
Antonio Pacheco,€200k 
Carlo García,€400k 
Arnaut Danjuma,€50.00m 
Moi Gómez,€8.00m 
Nikita Iosifov,€1.20m 
Yéremy Pino,€40.00m 
Samuel Chukwueze,€20.00m 
Dani Raba,€900k 
Gerard Moreno,€40.00m 
Boulaye Dia,€12.00m 
Paco Alcácer,€9.00m 
Fer Niño,€3.00m 
Nicolas Jackson,€1.00m 
Juan Carlos Arana,€800k 
Rui Silva,€15.00m 
