,Players,Club,Position,Age,Nationality,Values
18,Florian Wirtz,Bayer 04 Leverkusen,midfield,20,Germany,15000000.0
392,Florentino,SL Benfica,midfield,23,Portugal,15000000.0
475,Salis Abdul Samed,RC Lens,midfield,23,Ghana,15000000.0
146,João Palhinha,Fulham FC,midfield,28,Portugal,15000000.0
130,Pedro Porro,Tottenham Hotspur,Defender,23,Spain,15000000.0
394,André Almeida,Valencia CF,midfield,23,Portugal,15000000.0
92,Sven Botman,Newcastle United,Defender,23,Netherlands,15000000.0
250,Danilo,Nottingham Forest,midfield,22,Brazil,15000000.0
192,Nahuel Molina,Atlético de Madrid,Defender,25,Argentina,15000000.0
296,Beto,Udinese Calcio,Attack,25,Portugal,15000000.0
237,Marcus Edwards,Sporting CP,Attack,24,England,15000000.0
31,Frenkie de Jong,FC Barcelona,midfield,26,Netherlands,15000000.0
235,Oihan Sancet,Athletic Bilbao,midfield,23,Spain,15000000.0
72,Ben White,Arsenal FC,Defender,25,England,15000000.0
321,Giorgi Mamardashvili,Valencia CF,Goalkeeper,22,Georgia,15000000.0
213,Youssoufa Moukoko,Borussia Dortmund,Attack,18,Germany,15000000.0
535,Mats Wieffer,Feyenoord Rotterdam,midfield,23,Netherlands,14600000.0
559,Désiré Doué,Stade Rennais FC,midfield,18,France,14600000.0
340,Nicolò Casale,SS Lazio,Defender,25,Italy,14500000.0
582,Milos Kerkez,AZ Alkmaar,Defender,19,Hungary,14300000.0
569,Tommaso Baldanzi,FC Empoli,midfield,20,Italy,14200000.0
240,Max Kilman,Wolverhampton Wanderers,Defender,26,England,14000000.0
379,Enzo Le Fée,Stade Rennais FC,midfield,23,France,14000000.0
531,André Silva,RB Leipzig,Attack,27,Portugal,13800000.0
165,Bryan Mbeumo,Brentford FC,Attack,23,Cameroon,13000000.0
170,Gregor Kobel,Borussia Dortmund,Goalkeeper,25,Switzerland,13000000.0
315,Boulaye Dia,US Salernitana 1919,Attack,26,Senegal,13000000.0
319,Lutsharel Geertruida,Feyenoord Rotterdam,Defender,22,Netherlands,13000000.0
189,Orkun Kökcü,SL Benfica,midfield,22,Turkey,13000000.0
540,Felix Nmecha,Borussia Dortmund,midfield,22,Germany,13000000.0
326,Malo Gusto,Chelsea FC,Defender,20,France,13000000.0
359,Kevin Danso,RC Lens,Defender,24,Austria,13000000.0
169,Harvey Elliott,Liverpool FC,midfield,20,England,13000000.0
186,Edson Álvarez,Ajax Amsterdam,midfield,25,Mexico,13000000.0
478,Danilho Doekhi,1.FC Union Berlin,Defender,25,Netherlands,13000000.0
218,Axel Disasi,AS Monaco,Defender,25,France,13000000.0
624,Bilal El Khannouss,KRC Genk,midfield,19,Morocco,12900000.0
584,Ben Davies,Tottenham Hotspur,Defender,30,Wales,12500000.0
607,Tijjani Reijnders,AZ Alkmaar,midfield,24,Netherlands,12500000.0
205,Marcus Thuram,Inter Milan,Attack,25,France,12000000.0
209,Mattia Zaccagni,SS Lazio,Attack,28,Italy,12000000.0
473,Cole Palmer,Manchester City,midfield,21,England,12000000.0
111,Vitinha,Olympique Marseille,Attack,23,Portugal,12000000.0
65,Cristian Romero,Tottenham Hotspur,Defender,25,Argentina,12000000.0
227,Rayan Cherki,Olympique Lyon,midfield,19,France,12000000.0
349,Nathan Collins,Brentford FC,Defender,22,Ireland,12000000.0
108,Vitinha,Paris Saint-Germain,midfield,23,Portugal,12000000.0
143,Aaron Ramsdale,Arsenal FC,Goalkeeper,25,England,12000000.0
220,Noni Madueke,Chelsea FC,Attack,21,England,12000000.0
506,Sacha Boey,Galatasaray,Defender,22,France,12000000.0
401,Neco Williams,Nottingham Forest,Defender,22,Wales,12000000.0
337,Mathias Jensen,Brentford FC,midfield,27,Denmark,12000000.0
122,Rodrigo Bentancur,Tottenham Hotspur,midfield,26,Uruguay,12000000.0
526,Mike Trésor,KRC Genk,midfield,24,Belgium,12000000.0
316,Sean Longstaff,Newcastle United,midfield,25,England,12000000.0
150,John Stones,Manchester City,Defender,29,England,12000000.0
705,Saël Kumbedi,Olympique Lyon,Defender,18,France,11800000.0
512,Jordan Beyer,Burnley FC,Defender,23,Germany,11500000.0
424,Angel Gomes,LOSC Lille,midfield,22,England,11000000.0
470,Josh Brownhill,Burnley FC,midfield,27,England,11000000.0
369,Terem Moffi,OGC Nice,Attack,24,Nigeria,11000000.0
