,Players,Club,Position,Age,Nationality,Values
11,João Cancelo,Manchester City,Defender,29,Portugal,50000000.0
2274,Milan Skriniar,Paris Saint-Germain,Defender,28,Slovakia,50000000.0
179,Richarlison,Tottenham Hotspur,Attack,26,Brazil,48000000.0
2275,Lucas Hernández,Paris Saint-Germain,Defender,27,France,45000000.0
2772,António Silva,SL Benfica,Defender,19,Portugal,45000000.0
577,Thibaut Courtois,Real Madrid,Goalkeeper,31,Belgium,45000000.0
185,Sven Botman,Newcastle United,Defender,23,Netherlands,45000000.0
2267,Gianluigi Donnarumma,Paris Saint-Germain,Goalkeeper,24,Italy,45000000.0
165,Pierre-Emile Höjbjerg,Tottenham Hotspur,midfield,27,Denmark,45000000.0
217,Pau Torres,Aston Villa,Defender,26,Spain,45000000.0
140,Jadon Sancho,Manchester United,Attack,23,England,45000000.0
2799,Diogo Costa,FC Porto,Goalkeeper,23,Portugal,45000000.0
1738,Leon Goretzka,Bayern Munich,midfield,28,Germany,45000000.0
1268,Rasmus Højlund,Atalanta BC,Attack,20,Denmark,45000000.0
346,Amadou Onana,Everton FC,midfield,21,Belgium,45000000.0
320,Matheus Nunes,Wolverhampton Wanderers,midfield,24,Portugal,45000000.0
260,Lucas Paquetá,West Ham United,midfield,25,Brazil,45000000.0
1159,Mike Maignan,AC Milan,Goalkeeper,28,France,45000000.0
229,Jacob Ramsey,Aston Villa,midfield,22,England,42000000.0
123,Luke Shaw,Manchester United,Defender,28,England,42000000.0
554,Oleksandr Zinchenko,Arsenal FC,Defender,26,Ukraine,42000000.0
204,Joelinton,Newcastle United,midfield,26,Brazil,42000000.0
3254,Jurrien Timber,Ajax Amsterdam,Defender,22,Netherlands,42000000.0
2291,Vitinha,Paris Saint-Germain,midfield,23,Portugal,42000000.0
101,Fabinho,Liverpool FC,midfield,29,Brazil,42000000.0
5,Nathan Aké,Manchester City,Defender,28,Netherlands,42000000.0
1805,Karim Adeyemi,Borussia Dortmund,Attack,21,Germany,40000000.0
1800,Julian Brandt,Borussia Dortmund,midfield,27,Germany,40000000.0
1234,Giorgio Scalvini,Atalanta BC,Defender,19,Italy,40000000.0
1830,Dani Olmo,RB Leipzig,midfield,25,Spain,40000000.0
230,Douglas Luiz,Aston Villa,midfield,25,Brazil,40000000.0
240,Ollie Watkins,Aston Villa,Attack,27,England,40000000.0
1763,Jeremie Frimpong,Bayer 04 Leverkusen,Defender,22,Netherlands,40000000.0
1300,Tammy Abraham,AS Roma,Attack,25,England,40000000.0
1733,Benjamin Pavard,Bayern Munich,Defender,27,France,40000000.0
166,Rodrigo Bentancur,Tottenham Hotspur,midfield,26,Uruguay,40000000.0
1785,Nico Schlotterbeck,Borussia Dortmund,Defender,23,Germany,40000000.0
608,Andreas Christensen,FC Barcelona,Defender,27,Denmark,40000000.0
383,Morgan Gibbs-White,Nottingham Forest,midfield,23,England,40000000.0
1109,Stanislav Lobotka,SSC Napoli,midfield,28,Slovakia,40000000.0
673,Martín Zubimendi,Real Sociedad,midfield,24,Spain,40000000.0
681,Mikel Oyarzabal,Real Sociedad,Attack,26,Spain,40000000.0
710,Yéremy Pino,Villarreal CF,Attack,20,Spain,40000000.0
161,Pedro Porro,Tottenham Hotspur,Defender,23,Spain,40000000.0
2292,Marco Verratti,Paris Saint-Germain,midfield,30,Italy,40000000.0
580,David Alaba,Real Madrid,Defender,31,Austria,40000000.0
3266,Mohammed Kudus,Ajax Amsterdam,midfield,22,Ghana,40000000.0
3291,Xavi Simons,PSV Eindhoven,midfield,20,Netherlands,40000000.0
1956,Manu Koné,Borussia Mönchengladbach,midfield,22,France,40000000.0
1111,Frank Anguissa,SSC Napoli,midfield,27,Cameroon,40000000.0
412,Eberechi Eze,Crystal Palace,midfield,25,England,40000000.0
1141,Hakan Calhanoglu,Inter Milan,midfield,29,Turkey,40000000.0
1164,Fikayo Tomori,AC Milan,Defender,25,England,40000000.0
1174,Ismaël Bennacer,AC Milan,midfield,25,Algeria,40000000.0
1195,Bremer,Juventus FC,Defender,26,Brazil,40000000.0
1210,Adrien Rabiot,Juventus FC,midfield,28,France,40000000.0
546,Aaron Ramsdale,Arsenal FC,Goalkeeper,25,England,40000000.0
643,Rodrigo de Paul,Atlético de Madrid,midfield,29,Argentina,40000000.0
1219,Federico Chiesa,Juventus FC,Attack,25,Italy,40000000.0
455,João Palhinha,Fulham FC,midfield,28,Portugal,40000000.0
2460,Khéphren Thuram,OGC Nice,midfield,22,France,40000000.0
0,Ederson,Manchester City,Goalkeeper,29,Brazil,40000000.0
130,Casemiro,Manchester United,midfield,31,Brazil,40000000.0
6,John Stones,Manchester City,Defender,29,England,40000000.0
98,Andrew Robertson,Liverpool FC,Defender,29,Scotland,40000000.0
64,Benoît Badiashile,Chelsea FC,Defender,22,France,40000000.0
128,Diogo Dalot,Manchester United,Defender,24,Portugal,40000000.0
86,Romelu Lukaku,Chelsea FC,Attack,30,Belgium,40000000.0
7,Manuel Akanji,Manchester City,Defender,27,Switzerland,38000000.0
206,Anthony Gordon,Newcastle United,Attack,22,England,38000000.0
200,Joe Willock,Newcastle United,midfield,23,England,38000000.0
384,Brennan Johnson,Nottingham Forest,midfield,22,Wales,38000000.0
265,Jarrod Bowen,West Ham United,Attack,26,England,38000000.0
93,Ibrahima Konaté,Liverpool FC,Defender,24,France,38000000.0
19,Mateo Kovacic,Manchester City,midfield,29,Croatia,38000000.0
413,Michael Olise,Crystal Palace,Attack,21,France,38000000.0
2336,Amine Gouiri,Stade Rennais FC,Attack,23,France,35000000.0
604,Marc-André ter Stegen,FC Barcelona,Goalkeeper,31,Germany,35000000.0
296,Bryan Mbeumo,Brentford FC,Attack,23,Cameroon,35000000.0
406,Cheick Doucouré,Crystal Palace,midfield,23,Mali,35000000.0
71,Marc Cucurella,Chelsea FC,Defender,24,Spain,35000000.0
2415,Loïs Openda,RC Lens,Attack,23,Belgium,35000000.0
108,Harvey Elliott,Liverpool FC,midfield,20,England,35000000.0
1781,Gregor Kobel,Borussia Dortmund,Goalkeeper,25,Switzerland,35000000.0
1125,André Onana,Inter Milan,Goalkeeper,27,Cameroon,35000000.0
52,Leandro Trossard,Arsenal FC,Attack,28,Belgium,35000000.0
118,Raphaël Varane,Manchester United,Defender,30,France,35000000.0
566,Emile Smith Rowe,Arsenal FC,midfield,22,England,35000000.0
