,Players,Club,Position,Age,Nationality,Values
2871,Víctor Gómez,SC Braga,Defender,23,Spain,7000000.0
1908,Tiago Tomás,VfL Wolfsburg,Attack,21,Portugal,7000000.0
1926,Aïssa Laïdouni,1.FC Union Berlin,midfield,26,Tunisia,7000000.0
3806,Maxi Gómez,Trabzonspor,Attack,26,Uruguay,7000000.0
1415,Walace,Udinese Calcio,midfield,28,Brazil,7000000.0
2826,Toni Martínez,FC Porto,Attack,26,Spain,7000000.0
1923,Alex Kral,1.FC Union Berlin,midfield,25,Czech Republic,7000000.0
3506,Mats Deijl,Go Ahead Eagles,Defender,25,Netherlands,7000000.0
1202,Luca Pellegrini,Juventus FC,Defender,24,Italy,7000000.0
3242,Rafael Barbosa,SC Farense,Attack,27,Portugal,7000000.0
1139,Lucien Agoumé,Inter Milan,midfield,21,France,7000000.0
1531,Domagoj Bradaric,US Salernitana 1919,Defender,23,Croatia,7000000.0
3652,Jasper Schendelaar,PEC Zwolle,Goalkeeper,22,Netherlands,7000000.0
3369,Tommy St. Jago,FC Utrecht,Defender,23,Netherlands,7000000.0
3365,Fabian de Keijzer,FC Utrecht,Goalkeeper,23,Netherlands,7000000.0
3419,Milan van Ewijk,SC Heerenveen,Defender,22,Netherlands,7000000.0
1147,Tibo Persyn,Inter Milan,midfield,21,Belgium,7000000.0
416,Jean-Philippe Mateta,Crystal Palace,Attack,26,France,7000000.0
3504,Bas Kuipers,Go Ahead Eagles,Defender,28,Netherlands,7000000.0
2554,Matz Sels,RC Strasbourg Alsace,Goalkeeper,31,Belgium,7000000.0
943,Lucas Robertone,UD Almería,midfield,26,Argentina,7000000.0
2248,Emir Karic,SV Darmstadt 98,Defender,26,Austria,7000000.0
3777,Onuralp Cevikkan,Trabzonspor,Goalkeeper,17,Turkey,7000000.0
2152,Marvin Schwäbe,1.FC Köln,Goalkeeper,28,Germany,7000000.0
1935,Jordan,1.FC Union Berlin,Attack,27,United States,7000000.0
1155,Martín Satriano,Inter Milan,Attack,22,Uruguay,7000000.0
4303,Hugo Vetlesen,Club Brugge KV,midfield,23,Norway,7000000.0
3604,Redouan El Yaakoubi,Excelsior Rotterdam,Defender,27,Netherlands,7000000.0
3532,Rémy Vita,Fortuna Sittard,Defender,22,Madagascar,7000000.0
3607,Arthur Zagré,Excelsior Rotterdam,Defender,21,France,7000000.0
1925,Janik Haberer,1.FC Union Berlin,midfield,29,Germany,7000000.0
3105,Volnei,GD Estoril Praia,Defender,23,Brazil,6500000.0
2108,Florian Grillitsch,TSG 1899 Hoffenheim,midfield,27,Austria,6500000.0
3331,Peter Vindahl Jensen,AZ Alkmaar,Goalkeeper,25,Denmark,6500000.0
2026,Dion Beljo,FC Augsburg,Attack,21,Croatia,6500000.0
2860,Paulinho,Sporting CP,Attack,30,Portugal,6500000.0
3328,Danilo,Feyenoord Rotterdam,Attack,24,Brazil,6500000.0
3742,Abdülkerim Bardakci,Galatasaray,Defender,28,Turkey,6500000.0
2172,Jan Thielmann,1.FC Köln,Attack,21,Germany,6500000.0
4426,Antoine Colassin,RSC Anderlecht,Attack,22,Belgium,6500000.0
3609,Siebe Horemans,Excelsior Rotterdam,Defender,25,Belgium,6500000.0
2043,Wataru Endo,VfB Stuttgart,midfield,30,Japan,6500000.0
3439,Dirk Abels,Sparta Rotterdam,Defender,26,Netherlands,6500000.0
3722,Irfan Can Kahveci,Fenerbahce,midfield,27,Turkey,6500000.0
2016,Arne Maier,FC Augsburg,midfield,24,Germany,6500000.0
2021,Rubén Vargas,FC Augsburg,Attack,24,Switzerland,6500000.0
1480,Gianmarco Cangiano,Bologna FC 1909,Attack,21,Italy,6500000.0
3220,André Luis,Moreirense FC,Attack,29,Brazil,6500000.0
3285,Fredrik Oppegard,PSV Eindhoven,Defender,20,Norway,6500000.0
3496,Pedro Marques,NEC Nijmegen,Attack,25,Portugal,6500000.0
3173,Kialonda Gaspar,CF Estrela Amadora SAD,Defender,25,Angola,6500000.0
820,Uros Racic,Valencia CF,midfield,25,Serbia,6500000.0
1472,Nikola Moro,Bologna FC 1909,midfield,25,Croatia,6500000.0
1949,Luca Netz,Borussia Mönchengladbach,Defender,20,Germany,6500000.0
3429,Alex Timossi Andersson,SC Heerenveen,Attack,22,Sweden,6500000.0
3669,Anthony Fontana,PEC Zwolle,midfield,23,United States,6500000.0
3342,Yukinari Sugawara,AZ Alkmaar,Defender,23,Japan,6500000.0
3616,Couhaib Driouech,Excelsior Rotterdam,Attack,21,Morocco,6500000.0
4105,Soner Aydogdu,Samsunspor,midfield,32,Turkey,6500000.0
2228,Adrian Beck,1.FC Heidenheim 1846,midfield,26,Germany,6500000.0
3412,Ricky van Wolfswinkel,Twente Enschede FC,Attack,34,Netherlands,6500000.0
3502,Joris Kramer,Go Ahead Eagles,Defender,26,Netherlands,6500000.0
1879,Ali Akman,Eintracht Frankfurt,Attack,21,Turkey,6500000.0
2115,Robert Skov,TSG 1899 Hoffenheim,midfield,27,Denmark,6500000.0
3120,Benchimol,GD Estoril Praia,Attack,21,Cape Verde,6500000.0
3214,Lawrence Ofori,Moreirense FC,midfield,25,Ghana,6500000.0
3556,Calvin Twigt,FC Volendam,midfield,20,Netherlands,6500000.0
3370,Nick Viergever,FC Utrecht,Defender,33,Netherlands,6500000.0
3475,Thomas Buitink,Vitesse Arnhem,Attack,23,Netherlands,6500000.0
4304,Casper Nielsen,Club Brugge KV,midfield,29,Denmark,6500000.0
1771,Kerem Demirbay,Bayer 04 Leverkusen,midfield,30,Germany,6000000.0
2513,Stephy Mavididi,Montpellier HSC,Attack,25,England,6000000.0
2862,Matheus,SC Braga,Goalkeeper,31,Brazil,6000000.0
466,Carlos Vinícius,Fulham FC,Attack,28,Brazil,6000000.0
3716,Willian Arão,Fenerbahce,midfield,31,Brazil,6000000.0
394,Sam Johnstone,Crystal Palace,Goalkeeper,30,England,6000000.0
2520,Alexandre Olliero,Stade Reims,Goalkeeper,27,France,6000000.0
1353,Toma Basic,SS Lazio,midfield,26,Croatia,6000000.0
2881,Bruma,SC Braga,Attack,28,Portugal,6000000.0
3690,Yassin Oukili,RKC Waalwijk,midfield,22,Morocco,6000000.0
2451,Dante,OGC Nice,Defender,39,Brazil,6000000.0
1772,Nadiem Amiri,Bayer 04 Leverkusen,midfield,26,Germany,6000000.0
2457,Pablo Rosario,OGC Nice,midfield,26,Netherlands,6000000.0
1787,Mats Hummels,Borussia Dortmund,Defender,34,Germany,6000000.0
4581,Lion Lauberbach,KV Mechelen,Attack,25,Germany,6000000.0
333,Raúl Jiménez,Wolverhampton Wanderers,Attack,32,Mexico,6000000.0
3683,Thierry Lutonda,RKC Waalwijk,Defender,22,Belgium,6000000.0
2545,Alexis Flips,Stade Reims,Attack,23,France,6000000.0
2620,Pedro Chirivella,FC Nantes,midfield,26,Spain,6000000.0
2876,André Horta,SC Braga,midfield,26,Portugal,6000000.0
4528,Ayase Ueda,Cercle Brugge ,Attack,24,Japan,6000000.0
4748,Tarik Tissoudali,KAA Gent,Attack,30,Morocco,6000000.0
2493,Mohamed Bayo,LOSC Lille,Attack,25,Guinea,6000000.0
1484,Sydney van Hooijdonk,Bologna FC 1909,Attack,23,Netherlands,6000000.0
4668,Rihito Yamamoto,Sint-Truidense VV,midfield,21,Japan,6000000.0
2638,Rasmus Nicolaisen,FC Toulouse,Defender,26,Denmark,6000000.0
4493,Adem Zorgane,RSC Charleroi,midfield,23,Algeria,6000000.0
501,John Egan,Sheffield United,Defender,30,Ireland,6000000.0
1410,Jordan Zemura,Udinese Calcio,Defender,23,Zimbabwe,6000000.0
2557,Ismaël Doukouré,RC Strasbourg Alsace,Defender,19,France,6000000.0
3674,Lennart Thy,PEC Zwolle,Attack,31,Germany,6000000.0
3400,Gijs Smal,Twente Enschede FC,Defender,25,Netherlands,6000000.0
2536,Jens Cajuste,Stade Reims,midfield,23,Sweden,6000000.0
373,Giulian Biancone,Nottingham Forest,Defender,23,France,6000000.0
2468,Badredine Bouanani,OGC Nice,Attack,18,Algeria,6000000.0
307,Toti,Wolverhampton Wanderers,Defender,24,Portugal,6000000.0
335,João Virgínia,Everton FC,Goalkeeper,23,Portugal,6000000.0
474,Ameen Al-Dakhil,Burnley FC,Defender,21,Belgium,6000000.0
2631,Mostafa Mohamed,FC Nantes,Attack,25,Egypt,6000000.0
3670,Odysseus Velanas,PEC Zwolle,midfield,25,Netherlands,6000000.0
313,Hugo Bueno,Wolverhampton Wanderers,Defender,20,Spain,6000000.0
2568,Ibrahima Sissoko,RC Strasbourg Alsace,midfield,25,France,6000000.0
2402,Jean Onana,RC Lens,midfield,23,Cameroon,6000000.0
540,Carlton Morris,Luton Town,Attack,27,England,6000000.0
3610,Adrian Fein,Excelsior Rotterdam,midfield,24,Germany,6000000.0
2129,Amos Pieper,SV Werder Bremen,Defender,25,Germany,6000000.0
2684,Muhammed Cham,Clermont Foot 63,midfield,22,Austria,6000000.0
2134,Mitchell Weiser,SV Werder Bremen,Defender,29,Germany,6000000.0
1144,Giovanni Fabbian,Inter Milan,midfield,20,Italy,6000000.0
1145,Henrikh Mkhitaryan,Inter Milan,midfield,34,Armenia,6000000.0
948,Lázaro,UD Almería,Attack,21,Brazil,6000000.0
947,Largie Ramazani,UD Almería,Attack,22,Belgium,6000000.0
3361,Yusuf Barasi,AZ Alkmaar,Attack,20,Turkey,6000000.0
3362,Ernest Poku,AZ Alkmaar,Attack,19,Netherlands,6000000.0
3530,Stipe Radic,Fortuna Sittard,Defender,23,Croatia,6000000.0
45,Mohamed Elneny,Arsenal FC,midfield,31,Egypt,6000000.0
2173,Linton Maina,1.FC Köln,Attack,24,Germany,6000000.0
3270,Mohamed Daramy,Ajax Amsterdam,Attack,21,Denmark,6000000.0
3246,Cristian Ponde,SC Farense,Attack,28,Portugal,6000000.0
208,Ryan Fraser,Newcastle United,Attack,29,Scotland,6000000.0
1181,Ante Rebic,AC Milan,Attack,29,Croatia,6000000.0
1186,Divock Origi,AC Milan,Attack,28,Belgium,6000000.0
3215,Pedro Aparício,Moreirense FC,midfield,27,Portugal,6000000.0
1898,Yannick Gerhardt,VfL Wolfsburg,midfield,29,Germany,6000000.0
892,Nemanja Maksimovic,Getafe CF,midfield,28,Serbia,6000000.0
3617,Lazaros Lamprou,Excelsior Rotterdam,Attack,25,Greece,6000000.0
4295,Faitout Maouassa,Club Brugge KV,Defender,25,France,6000000.0
2236,Christian Kühlwetter,1.FC Heidenheim 1846,Attack,27,Germany,6000000.0
2249,Fabian Holland,SV Darmstadt 98,Defender,33,Germany,6000000.0
3357,Jens Odgaard,AZ Alkmaar,Attack,24,Denmark,6000000.0
3271,Dusan Tadic,Ajax Amsterdam,Attack,34,Serbia,6000000.0
1524,Matteo Lovato,US Salernitana 1919,Defender,23,Italy,6000000.0
2075,Anderson Lucoqui,1.FSV Mainz 05,Defender,26,Angola,6000000.0
3313,Denzel Hall,Feyenoord Rotterdam,Defender,22,Netherlands,6000000.0
3323,Javairô Dilrosun,Feyenoord Rotterdam,Attack,25,Netherlands,6000000.0
3902,Ahmed Ildiz,Alanyaspor,midfield,26,Turkey,6000000.0
3576,Sava-Arangel Cestic,Heracles Almelo,Defender,22,Serbia,6000000.0
1594,Joan González,US Lecce,midfield,21,Spain,6000000.0
4009,Haji Wright,Antalyaspor,Attack,25,United States,6000000.0
3332,Hobie Verhulst,AZ Alkmaar,Goalkeeper,30,Netherlands,6000000.0
3553,Brian Plat,FC Volendam,Defender,23,Netherlands,6000000.0
3844,Vincent Aboubakar,Besiktas JK,Attack,31,Cameroon,6000000.0
1611,Isak Hien,Hellas Verona,Defender,24,Sweden,6000000.0
3292,Guus Til,PSV Eindhoven,midfield,25,Netherlands,6000000.0
2789,Chiquinho,SL Benfica,midfield,27,Portugal,6000000.0
3535,Deroy Duarte,Fortuna Sittard,midfield,24,Cape Verde,6000000.0
3286,Jordan Teze,PSV Eindhoven,Defender,23,Netherlands,6000000.0
3827,Valentin Rosier,Besiktas JK,Defender,26,France,6000000.0
3824,Arthur Masuaku,Besiktas JK,Defender,29,DR Congo,6000000.0
991,Álvaro García,Rayo Vallecano,Attack,30,Spain,6000000.0
1623,Adrien Tamèze,Hellas Verona,midfield,29,Cameroon,6000000.0
1108,Alessandro Zanoli,SSC Napoli,Defender,22,Italy,6000000.0
3597,Jizz Hornkamp,Heracles Almelo,Attack,25,Netherlands,6000000.0
191,Jamal Lewis,Newcastle United,Defender,25,Northern Ireland,6000000.0
2110,Melayro Bogarde,TSG 1899 Hoffenheim,midfield,21,Netherlands,6000000.0
4116,Baris Alici,Samsunspor,Attack,26,Turkey,6000000.0
3536,Arianit Ferati,Fortuna Sittard,midfield,25,Kosovo,6000000.0
541,Elijah Adebayo,Luton Town,Attack,25,England,6000000.0
874,Iago Aspas,Celta de Vigo,Attack,35,Spain,6000000.0
864,Renato Tapia,Celta de Vigo,midfield,27,Peru,6000000.0
3730,João Pedro,Fenerbahce,Attack,31,Italy,6000000.0
3453,Camiel Neghli,Sparta Rotterdam,Attack,21,Algeria,6000000.0
2358,Maghnes Akliouche,AS Monaco,midfield,21,France,6000000.0
2359,Takumi Minamino,AS Monaco,Attack,28,Japan,6000000.0
703,Dani Parejo,Villarreal CF,midfield,34,Spain,6000000.0
2372,Isaak Touré,Olympique Marseille,Defender,20,France,6000000.0
1302,Eldor Shomurodov,AS Roma,Attack,28,Uzbekistan,6000000.0
682,Ander Barrenetxea,Real Sociedad,Attack,21,Spain,6000000.0
668,Aihen Muñoz,Real Sociedad,Defender,25,Spain,6000000.0
2401,Stijn Spierings,RC Lens,midfield,27,Netherlands,6000000.0
635,Stefan Savic,Atlético de Madrid,Defender,32,Montenegro,6000000.0
603,Álvaro Rodríguez,Real Madrid,Attack,19,Uruguay,6000000.0
733,Ayoze Pérez,Real Betis Balompié,Attack,29,Spain,6000000.0
602,Joselu,Real Madrid,Attack,33,Spain,6000000.0
2412,Adrien Thomasson,RC Lens,midfield,29,France,6000000.0
3639,Lance Duijvestijn,Almere City FC,midfield,24,Netherlands,6000000.0
582,Nacho Fernández,Real Madrid,Defender,33,Spain,6000000.0
2775,Lucas Veríssimo,SL Benfica,Defender,28,Brazil,6000000.0
283,Mads Roerslev,Brentford FC,Defender,24,Denmark,6000000.0
1336,Luís Maximiano,SS Lazio,Goalkeeper,24,Portugal,6000000.0
4389,Jurgen Ekkelenkamp,Royal Antwerp FC,midfield,23,Netherlands,6000000.0
4392,Michel-Ange Balikwisha,Royal Antwerp FC,Attack,22,Belgium,6000000.0
2920,André Amaro,Vitória Guimarães SC,Defender,20,Portugal,6000000.0
4308,Michal Skoras,Club Brugge KV,Attack,23,Poland,6000000.0
3459,Dominik Oroz,Vitesse Arnhem,Defender,22,Croatia,6000000.0
738,Willian José,Real Betis Balompié,Attack,31,Brazil,6000000.0
2346,Ismail Jakobs,AS Monaco,Defender,23,Senegal,6000000.0
857,Unai Núñez,Celta de Vigo,Defender,26,Spain,6000000.0
68,Malang Sarr,Chelsea FC,Defender,24,France,6000000.0
851,Ante Budimir,CA Osasuna,Attack,31,Croatia,6000000.0
847,Rubén García,CA Osasuna,Attack,30,Spain,6000000.0
1238,Rafael Tolói,Atalanta BC,Defender,32,Italy,6000000.0
1875,Omar Marmoush,Eintracht Frankfurt,Attack,24,Egypt,6000000.0
826,Samu Castillejo,Valencia CF,Attack,28,Spain,6000000.0
1247,Hans Hateboer,Atalanta BC,Defender,29,Netherlands,6000000.0
809,Mouctar Diakhaby,Valencia CF,Defender,26,Guinea,6000000.0
2303,Julian Draxler,Paris Saint-Germain,Attack,29,Germany,6000000.0
799,Suso,Sevilla FC,Attack,29,Spain,6000000.0
798,Adnan Januzaj,Sevilla FC,Attack,28,Belgium,6000000.0
145,Facundo Pellistri,Manchester United,Attack,21,Uruguay,6000000.0
2327,Xeka,Stade Rennais FC,midfield,28,Portugal,6000000.0
2343,Chrislain Matsima,AS Monaco,Defender,21,France,6000000.0
2797,Casper Tengstedt,SL Benfica,Attack,23,Denmark,6000000.0
2317,Christopher Wooh,Stade Rennais FC,Defender,21,Cameroon,6000000.0
1515,Dany Mota,AC Monza,Attack,25,Portugal,6000000.0
3469,Davy Pröpper,Vitesse Arnhem,midfield,31,Netherlands,6000000.0
233,Morgan Sanson,Aston Villa,midfield,28,France,6000000.0
2326,Flavien Tait,Stade Rennais FC,midfield,30,France,6000000.0
751,Mikel Vesga,Athletic Bilbao,midfield,30,Spain,6000000.0
3460,Enzo Cornelisse,Vitesse Arnhem,Defender,21,Netherlands,5500000.0
3649,Jeredy Hilterman,Almere City FC,Attack,25,Suriname,5500000.0
3571,Michael Brouwer,Heracles Almelo,Goalkeeper,30,Netherlands,5500000.0
3635,Stije Resink,Almere City FC,midfield,20,Netherlands,5500000.0
4737,Hyun-seok Hong,KAA Gent,midfield,24,"Korea, South",5500000.0
3549,Damon Mirani,FC Volendam,Defender,27,Netherlands,5500000.0
1534,Giulio Maggiore,US Salernitana 1919,midfield,25,Italy,5500000.0
3941,Henry Onyekuru,Adana Demirspor,Attack,26,Nigeria,5500000.0
3788,Manolis Siopis,Trabzonspor,midfield,29,Greece,5500000.0
3755,Léo Dubois,Galatasaray,Defender,28,France,5500000.0
3249,Rui Costa,SC Farense,Attack,27,Portugal,5500000.0
777,Federico Gattoni,Sevilla FC,Defender,24,Argentina,5500000.0
1374,Rogério,US Sassuolo,Defender,25,Brazil,5500000.0
4259,Alberk Koc,Caykur Rizespor,Defender,26,Turkey,5500000.0
2098,Stanley Nsoki,TSG 1899 Hoffenheim,Defender,24,France,5500000.0
3723,Lincoln,Fenerbahce,midfield,24,Brazil,5500000.0
1927,Morten Thorsby,1.FC Union Berlin,midfield,27,Norway,5500000.0
2081,Edimilson Fernandes,1.FSV Mainz 05,midfield,27,Switzerland,5500000.0
1889,Cédric Zesiger,VfL Wolfsburg,Defender,25,Switzerland,5500000.0
2130,Niklas Stark,SV Werder Bremen,Defender,28,Germany,5500000.0
2131,Milos Veljkovic,SV Werder Bremen,Defender,27,Serbia,5500000.0
3747,Alpaslan Öztürk,Galatasaray,Defender,29,Turkey,5500000.0
2967,Tiago Morais,Boavista FC,Attack,19,Portugal,5500000.0
2156,Julian Chabot,1.FC Köln,Defender,25,Germany,5500000.0
3348,Zico Buurmeester,AZ Alkmaar,midfield,21,Netherlands,5500000.0
1910,Frederik Rönnow,1.FC Union Berlin,Goalkeeper,30,Denmark,5500000.0
3910,Emircan Altintas,Alanyaspor,Attack,27,Turkey,5500000.0
2004,Iago,FC Augsburg,Defender,26,Brazil,5500000.0
3681,Dario Van den Buijs,RKC Waalwijk,Defender,27,Belgium,5500000.0
1999,Reece Oxford,FC Augsburg,Defender,24,England,5500000.0
4270,Mithat Pala,Caykur Rizespor,midfield,22,Turkey,5500000.0
3666,Dean Huiberts,PEC Zwolle,midfield,23,Netherlands,5500000.0
2251,Frank Ronstadt,SV Darmstadt 98,Defender,25,Germany,5500000.0
4004,Deni Milosevic,Antalyaspor,midfield,28,Bosnia-Herzegovina,5500000.0
793,Oussama Idrissi,Sevilla FC,Attack,27,Morocco,5500000.0
3196,Ronald,CF Estrela Amadora SAD,Attack,22,Brazil,5500000.0
3257,Jorrel Hato,Ajax Amsterdam,Defender,17,Netherlands,5000000.0
3241,Jhon Velásquez,SC Farense,midfield,28,Colombia,5000000.0
3503,Gerrit Nauber,Go Ahead Eagles,Defender,31,Germany,5000000.0
1899,Kevin Paredes,VfL Wolfsburg,midfield,20,United States,5000000.0
3256,Ahmetcan Kaplan,Ajax Amsterdam,Defender,20,Turkey,5000000.0
2168,Denis Huseinbasic,1.FC Köln,midfield,22,Germany,5000000.0
3509,Enric Llansana,Go Ahead Eagles,midfield,22,Netherlands,5000000.0
2171,Florian Kainz,1.FC Köln,Attack,30,Austria,5000000.0
3512,Evert Linthorst,Go Ahead Eagles,midfield,23,Netherlands,5000000.0
3208,Pedro Amador,Moreirense FC,Defender,24,Portugal,5000000.0
2833,Sebastián Coates,Sporting CP,Defender,32,Uruguay,5000000.0
3260,Jorge Sánchez,Ajax Amsterdam,Defender,25,Mexico,5000000.0
1915,Paul Jaeckel,1.FC Union Berlin,Defender,24,Germany,5000000.0
1994,Lucas Höler,SC Freiburg,Attack,29,Germany,5000000.0
3567,Henk Veerman,FC Volendam,Attack,32,Netherlands,5000000.0
3565,Daryl van Mieghem,FC Volendam,Attack,33,Netherlands,5000000.0
3304,Gernot Trauner,Feyenoord Rotterdam,Defender,31,Austria,5000000.0
3333,Sem Westerveld,AZ Alkmaar,Goalkeeper,20,Netherlands,5000000.0
1966,Nathan Ngoumou,Borussia Mönchengladbach,Attack,23,France,5000000.0
2065,Robin Zentner,1.FSV Mainz 05,Goalkeeper,28,Germany,5000000.0
3296,Anwar El Ghazi,PSV Eindhoven,Attack,28,Netherlands,5000000.0
2696,Lilian Brassier,Stade Brestois 29,Defender,23,France,5000000.0
2069,Sepp van den Berg,1.FSV Mainz 05,Defender,21,Netherlands,5000000.0
2697,Brendan Chardonnet,Stade Brestois 29,Defender,28,France,5000000.0
3349,Lewis Schouten,AZ Alkmaar,midfield,19,Netherlands,5000000.0
3350,Djordje Mihailovic,AZ Alkmaar,midfield,24,United States,5000000.0
2092,Nelson Weiper,1.FSV Mainz 05,Attack,18,Germany,5000000.0
3283,Mauro Júnior,PSV Eindhoven,Defender,24,Brazil,5000000.0
3542,Paul Gladon,Fortuna Sittard,Attack,31,Netherlands,5000000.0
2109,Angelo Stiller,TSG 1899 Hoffenheim,midfield,22,Germany,5000000.0
1928,András Schäfer,1.FC Union Berlin,midfield,24,Hungary,5000000.0
2141,Jens Stage,SV Werder Bremen,midfield,26,Denmark,5000000.0
1916,Robin Knoche,1.FC Union Berlin,Defender,31,Germany,5000000.0
3533,Ivo Pinto,Fortuna Sittard,Defender,33,Portugal,5000000.0
3272,Amourricho van Axel Dongen,Ajax Amsterdam,Attack,18,Netherlands,5000000.0
2265,Aaron Seydel,SV Darmstadt 98,Attack,27,Germany,5000000.0
3181,Jean Felipe,CF Estrela Amadora SAD,Defender,29,Brazil,5000000.0
2778,David Jurasek,SL Benfica,Defender,22,Czech Republic,5000000.0
2910,Iván Jaime,FC Famalicão,Attack,22,Spain,5000000.0
2439,Jeff Reine-Adélaïde,Olympique Lyon,midfield,25,France,5000000.0
1812,Péter Gulácsi,RB Leipzig,Goalkeeper,33,Hungary,5000000.0
2476,Alexsandro,LOSC Lille,Defender,23,Brazil,5000000.0
2485,Carlos Baleba,LOSC Lille,midfield,19,Cameroon,5000000.0
2488,Rémy Cabella,LOSC Lille,midfield,33,France,5000000.0
2717,Arouna Sangante,Le Havre AC,Defender,21,Senegal,5000000.0
2498,Kiki Kouyaté,Montpellier HSC,Defender,26,Mali,5000000.0
1794,Thomas Meunier,Borussia Dortmund,Defender,31,Belgium,5000000.0
2508,Jordan Ferri,Montpellier HSC,midfield,31,France,5000000.0
2531,Thomas Foket,Stade Reims,Defender,28,Belgium,5000000.0
2875,Vitor Carvalho,SC Braga,midfield,26,Brazil,5000000.0
2540,Teddy Teuma,Stade Reims,midfield,29,Malta,5000000.0
2865,Tormena,SC Braga,Defender,27,Brazil,5000000.0
2827,Danny Namaso,FC Porto,Attack,22,England,5000000.0
2558,Gerzino Nyamsi,RC Strasbourg Alsace,Defender,26,France,5000000.0
2622,Samuel Moutoussamy,FC Nantes,midfield,26,DR Congo,5000000.0
1764,Arthur,Bayer 04 Leverkusen,Defender,20,Brazil,5000000.0
2587,Gédéon Kalulu,FC Lorient,Defender,25,DR Congo,5000000.0
2847,Daniel Bragança,Sporting CP,midfield,24,Portugal,5000000.0
3427,Osame Sahraoui,SC Heerenveen,Attack,22,Norway,5000000.0
1753,Eric Maxim Choupo-Moting,Bayern Munich,Attack,34,Cameroon,5000000.0
2606,Siriné Doucouré,FC Lorient,Attack,21,France,5000000.0
1726,Yann Sommer,Bayern Munich,Goalkeeper,34,Switzerland,5000000.0
2652,Naatan Skyttä,FC Toulouse,midfield,21,Finland,5000000.0
2237,Stefan Schimmer,1.FC Heidenheim 1846,Attack,29,Germany,5000000.0
2776,Tomás Araújo,SL Benfica,Defender,21,Portugal,5000000.0
2253,Klaus Gjasula,SV Darmstadt 98,midfield,33,Albania,5000000.0
2257,Tobias Kempe,SV Darmstadt 98,midfield,34,Germany,5000000.0
1743,Malik Tillman,Bayern Munich,midfield,21,United States,5000000.0
2266,Fabio Torsiello,SV Darmstadt 98,Attack,18,Germany,5000000.0
3371,Ruben Kluivert,FC Utrecht,Defender,22,Netherlands,5000000.0
2286,Timothée Pembélé,Paris Saint-Germain,Defender,20,France,5000000.0
2301,Ismaël Gharbi,Paris Saint-Germain,midfield,19,Spain,5000000.0
3378,Taylor Booth,FC Utrecht,midfield,22,United States,5000000.0
3579,Ruben Roosken,Heracles Almelo,Defender,23,Netherlands,5000000.0
2319,Birger Meling,Stade Rennais FC,Defender,28,Norway,5000000.0
2664,Ouparine Djoco,Clermont Foot 63,Goalkeeper,25,France,5000000.0
2320,Lorenz Assignon,Stade Rennais FC,Defender,23,France,5000000.0
1687,Nahitan Nández,Cagliari Calcio,midfield,27,Uruguay,5000000.0
2970,Jeriel de Santis,Boavista FC,Attack,21,Venezuela,5000000.0
2353,Jean Lucas,AS Monaco,midfield,25,Brazil,5000000.0
2361,Gelson Martins,AS Monaco,Attack,28,Portugal,5000000.0
3392,Anthony Descotte,FC Utrecht,Attack,19,Belgium,5000000.0
2396,Jonathan Gradit,RC Lens,Defender,30,France,5000000.0
2713,Steve Mounié,Stade Brestois 29,Attack,28,Benin,5000000.0
2712,Taïryk Arconte,Stade Brestois 29,Attack,19,France,5000000.0
2807,Wendell,FC Porto,Defender,29,Brazil,5000000.0
2711,Karamoko Dembélé,Stade Brestois 29,Attack,20,England,5000000.0
2416,Adam Buksa,RC Lens,Attack,27,Poland,5000000.0
3153,Orest Lebedenko,FC Vizela,Defender,24,Ukraine,5000000.0
3705,Luan Peres,Fenerbahce,Defender,28,Brazil,5000000.0
722,Youssouf Sabaly,Real Betis Balompié,Defender,30,Senegal,5000000.0
1370,Martin Erlic,US Sassuolo,Defender,25,Croatia,5000000.0
742,Julen Agirrezabala,Athletic Bilbao,Goalkeeper,22,Spain,5000000.0
3711,Jayden Oosterwolde,Fenerbahce,Defender,22,Netherlands,5000000.0
1347,Elseid Hysaj,SS Lazio,Defender,29,Albania,5000000.0
4351,Jordan Torunarigha,KAA Gent,Defender,25,Nigeria,5000000.0
3623,Nordin Bakker,Almere City FC,Goalkeeper,25,Netherlands,5000000.0
1341,Patric,SS Lazio,Defender,30,Spain,5000000.0
1327,Josip Brekalo,ACF Fiorentina,Attack,25,Croatia,5000000.0
417,Jordan Ayew,Crystal Palace,Attack,31,Ghana,5000000.0
410,Will Hughes,Crystal Palace,midfield,28,England,5000000.0
763,Adu Ares,Athletic Bilbao,Attack,21,Spain,5000000.0
3731,Joshua King,Fenerbahce,Attack,31,Norway,5000000.0
1311,Cristiano Biraghi,ACF Fiorentina,Defender,30,Italy,5000000.0
392,Sam Surridge,Nottingham Forest,Attack,24,England,5000000.0
781,Adrià Pedrosa,Sevilla FC,Defender,25,Spain,5000000.0
1297,Stephan El Shaarawy,AS Roma,Attack,30,Italy,5000000.0
4332,Patrik Hrosovsky,KRC Genk,midfield,31,Slovakia,5000000.0
381,Jonjo Shelvey,Nottingham Forest,midfield,31,England,5000000.0
1535,Lassana Coulibaly,US Salernitana 1919,midfield,27,Mali,5000000.0
1276,Rui Patrício,AS Roma,Goalkeeper,35,Portugal,5000000.0
1270,Luis Muriel,Atalanta BC,Attack,32,Colombia,5000000.0
810,Cenk Özkacar,Valencia CF,Defender,22,Turkey,5000000.0
4435,Fedde Leysen,Royale Union Saint Gilloise,Defender,20,Belgium,5000000.0
