Player,Club,Age,Position,Nation,Value,League
Branco van den Boomen,FC Toulouse,27,midfield,Netherlands,12000000.0,Ligue 1
Youssouf Ndayishimiye,OGC Nice,24,Defender,Burundi,12000000.0,Ligue 1
Azzedine Ounahi,Olympique Marseille,23,midfield,Morocco,12000000.0,Ligue 1
Florian Neuhaus,Borussia Mönchengladbach,26,midfield,Germany,12000000.0,Bundesliga
Saël Kumbedi,Olympique Lyon,18,Defender,France,12000000.0,Ligue 1
Amine Harit,Olympique Marseille,26,midfield,Morocco,12000000.0,Ligue 1
Kiliann Sildillia,SC Freiburg,21,Defender,France,12000000.0,Bundesliga
Angeliño,TSG 1899 Hoffenheim,26,Defender,Spain,12000000.0,Bundesliga
Sardar Azmoun,Bayer 04 Leverkusen,28,Attack,Iran,12000000.0,Bundesliga
Joe Scally,Borussia Mönchengladbach,20,Defender,United States,12000000.0,Bundesliga
Mergim Berisha,FC Augsburg,25,Attack,Germany,12000000.0,Bundesliga
Borna Sosa,VfB Stuttgart,25,Defender,Croatia,12000000.0,Bundesliga
Josip Stanisic,Bayern Munich,23,Defender,Croatia,12000000.0,Bundesliga
Jakub Kaminski,VfL Wolfsburg,21,Attack,Poland,12000000.0,Bundesliga
Ko Itakura,Borussia Mönchengladbach,26,Defender,Japan,12000000.0,Bundesliga
Mario Götze,Eintracht Frankfurt,31,midfield,Germany,12000000.0,Bundesliga
Lukas Nmecha,VfL Wolfsburg,24,Attack,Germany,12000000.0,Bundesliga
Dodi Lukébakio,Hertha BSC,25,Attack,Belgium,12000000.0,Bundesliga
Moussa Dembélé,Olympique Lyon,26,Attack,France,12000000.0,Ligue 1
Danny Ings,West Ham United,30,Attack,England,12000000.0,Premier League
Isi Palazón,Rayo Vallecano,28,Attack,Spain,12000000.0,La Liga
Lewis Ferguson,Bologna FC 1909,23,midfield,Scotland,12000000.0,Serie A
Reiss Nelson,Arsenal FC,23,Attack,England,12000000.0,Premier League
Thomas Müller,Bayern Munich,33,Attack,Germany,12000000.0,Bundesliga
Fran García,Rayo Vallecano,23,Defender,Spain,12000000.0,La Liga
Federico Gatti,Juventus FC,25,Defender,Italy,12000000.0,Serie A
Victor Kristiansen,Leicester City,20,Defender,Denmark,12000000.0,Premier League
Jon Moncayola,CA Osasuna,25,midfield,Spain,12000000.0,La Liga
Dani Ceballos,Real Madrid,26,midfield,Spain,12000000.0,La Liga
Bernd Leno,Fulham FC,31,Goalkeeper,Germany,12000000.0,Premier League
Daniel James,Leeds United,25,Attack,Wales,12000000.0,Premier League
Sasa Lukic,Fulham FC,26,midfield,Serbia,12000000.0,Premier League
Jerdy Schouten,Bologna FC 1909,26,midfield,Netherlands,12000000.0,Serie A
Bertrand Traoré,Aston Villa,27,Attack,Burkina Faso,12000000.0,Premier League
Luke Thomas,Leicester City,22,Defender,England,12000000.0,Premier League
Jhon Durán,Aston Villa,19,Attack,Colombia,12000000.0,Premier League
Christian Kouamé,ACF Fiorentina,25,Attack,Cote d'Ivoire,12000000.0,Serie A
Daniel Carvajal,Real Madrid,31,Defender,Spain,12000000.0,La Liga
Daniel Amartey,Leicester City,28,Defender,Ghana,12000000.0,Premier League
Hee-chan Hwang,Wolverhampton Wanderers,27,Attack,"Korea, South",12000000.0,Premier League
Alexander Sørloth,Real Sociedad,27,Attack,Norway,12000000.0,La Liga
Edouard Mendy,Chelsea FC,31,Goalkeeper,Senegal,12000000.0,Premier League
Maxwel Cornet,West Ham United,26,Attack,Cote d'Ivoire,12000000.0,Premier League
Ivan Provedel,SS Lazio,29,Goalkeeper,Italy,12000000.0,Serie A
Diego Llorente,AS Roma,29,Defender,Spain,12000000.0,Serie A
Emerson,West Ham United,28,Defender,Italy,12000000.0,Premier League
El Bilal Touré,UD Almería,21,Attack,Mali,12000000.0,La Liga
Loïc Badé,Sevilla FC,23,Defender,France,12000000.0,La Liga
Naby Keïta,Liverpool FC,28,midfield,Guinea,12000000.0,Premier League
Rodrigo Riquelme,Girona FC,23,Attack,Spain,12000000.0,La Liga
Joel Matip,Liverpool FC,31,Defender,Cameroon,12000000.0,Premier League
Keane Lewis-Potter,Brentford FC,22,Attack,England,12000000.0,Premier League
Leandro Paredes,Juventus FC,28,midfield,Argentina,12000000.0,Serie A
Conor Coady,Everton FC,30,Defender,England,12000000.0,Premier League
Wout Weghorst,Manchester United,30,Attack,Netherlands,12000000.0,Premier League
Josip Juranovic,1.FC Union Berlin,27,Defender,Croatia,12000000.0,Bundesliga
Mahmoud Dahoud,Borussia Dortmund,27,midfield,Germany,12000000.0,Bundesliga
Vincenzo Grifo,SC Freiburg,30,Attack,Italy,12000000.0,Bundesliga
Lukas Klostermann,RB Leipzig,27,Defender,Germany,12000000.0,Bundesliga
Ermedin Demirovic,FC Augsburg,25,Attack,Bosnia-Herzegovina,12000000.0,Bundesliga
Romain Perraud,Southampton FC,25,Defender,France,12000000.0,Premier League
Lucas Ocampos,Sevilla FC,28,Attack,Argentina,12000000.0,La Liga
Bono,Sevilla FC,32,Goalkeeper,Morocco,12000000.0,La Liga
Jhon Lucumí,Bologna FC 1909,25,Defender,Colombia,12000000.0,Serie A
Joe Worrall,Nottingham Forest,26,Defender,England,12000000.0,Premier League
Joaquín Correa,Inter Milan,28,Attack,Argentina,12000000.0,Serie A
Aleksey Miranchuk,Torino FC,27,midfield,Russia,12000000.0,Serie A
Stephane Singo,Torino FC,22,Defender,Cote d'Ivoire,12000000.0,Serie A
Riccardo Orsolini,Bologna FC 1909,26,Attack,Italy,12000000.0,Serie A
Mohamed-Ali Cho,Real Sociedad,19,Attack,France,12000000.0,La Liga
Juanmi,Real Betis Balompié,30,Attack,Spain,12000000.0,La Liga
Gonzalo Montiel,Sevilla FC,26,Defender,Argentina,12000000.0,La Liga
Abdoulaye Doucouré,Everton FC,30,midfield,Mali,12000000.0,Premier League
Javi Galán,Celta de Vigo,28,Defender,Spain,12000000.0,La Liga
Kristjan Asllani,Inter Milan,21,midfield,Albania,12000000.0,Serie A
David Brooks,AFC Bournemouth,25,Attack,Wales,12000000.0,Premier League
Caoimhín Kelleher,Liverpool FC,24,Goalkeeper,Ireland,12000000.0,Premier League
Ryan Yates,Nottingham Forest,25,midfield,England,11000000.0,Premier League
Musa Barrow,Bologna FC 1909,24,Attack,The Gambia,11000000.0,Serie A
Robert Andrich,Bayer 04 Leverkusen,28,midfield,Germany,11000000.0,Bundesliga
Duje Caleta-Car,Southampton FC,26,Defender,Croatia,11000000.0,Premier League
Joe Aribo,Southampton FC,26,midfield,Nigeria,11000000.0,Premier League
Kieran Trippier,Newcastle United,32,Defender,England,11000000.0,Premier League
Jörgen Strand Larsen,Celta de Vigo,23,Attack,Norway,11000000.0,La Liga
Djed Spence,Stade Rennais FC,22,Defender,England,10000000.0,Ligue 1
Anthony Rouault,FC Toulouse,22,Defender,France,10000000.0,Ligue 1
Franck Honorat,Stade Brestois 29,26,Attack,France,10000000.0,Ligue 1
Lucas Chevalier,LOSC Lille,21,Goalkeeper,France,10000000.0,Ligue 1
Hamari Traoré,Stade Rennais FC,31,Defender,Mali,10000000.0,Ligue 1
Habib Diarra,RC Strasbourg Alsace,19,midfield,France,10000000.0,Ligue 1
Johann Lepenant,Olympique Lyon,20,midfield,France,10000000.0,Ligue 1
Farès Chaïbi,FC Toulouse,20,Attack,Algeria,10000000.0,Ligue 1
Jean-Victor Makengo,FC Lorient,25,midfield,France,10000000.0,Ligue 1
Junya Ito,Stade Reims,30,Attack,Japan,10000000.0,Ligue 1
Guillermo Maripán,AS Monaco,29,Defender,Chile,10000000.0,Ligue 1
Jean-Ricner Bellegarde,RC Strasbourg Alsace,25,midfield,France,10000000.0,Ligue 1
Danilo Pereira,Paris Saint-Germain,31,midfield,Portugal,10000000.0,Ligue 1
Juan Bernat,Paris Saint-Germain,30,Defender,Spain,10000000.0,Ligue 1
Leonardo Balerdi,Olympique Marseille,24,Defender,Argentina,10000000.0,Ligue 1
Téji Savanier,Montpellier HSC,31,midfield,France,10000000.0,Ligue 1
Romain Faivre,FC Lorient,24,midfield,France,10000000.0,Ligue 1
Bafodé Diakité,LOSC Lille,22,Defender,France,10000000.0,Ligue 1
Samuel Gigot,Olympique Marseille,29,Defender,France,10000000.0,Ligue 1
Leny Yoro,LOSC Lille,17,Defender,France,10000000.0,Ligue 1
Ben Johnson,West Ham United,23,Defender,England,10000000.0,Premier League
Naouirou Ahamada,Crystal Palace,21,midfield,France,10000000.0,Premier League
Luka Modric,Real Madrid,37,midfield,Croatia,10000000.0,La Liga
Marius Wolf,Borussia Dortmund,28,Defender,Germany,10000000.0,Bundesliga
Hiroki Ito,VfB Stuttgart,24,Defender,Japan,10000000.0,Bundesliga
Ozan Kabak,TSG 1899 Hoffenheim,23,Defender,Turkey,10000000.0,Bundesliga
Mark Flekken,SC Freiburg,30,Goalkeeper,Netherlands,10000000.0,Bundesliga
Julian Weigl,Borussia Mönchengladbach,27,midfield,Germany,10000000.0,Bundesliga
Roland Sallai,SC Freiburg,26,Attack,Hungary,10000000.0,Bundesliga
Rani Khedira,1.FC Union Berlin,29,midfield,Germany,10000000.0,Bundesliga
Jonathan Burkardt,1.FSV Mainz 05,22,Attack,Germany,10000000.0,Bundesliga
Ryan Christie,AFC Bournemouth,28,midfield,Scotland,10000000.0,Premier League
Adam Armstrong,Southampton FC,26,Attack,England,10000000.0,Premier League
Yerry Mina,Everton FC,28,Defender,Colombia,10000000.0,Premier League
Dejan Ljubicic,1.FC Köln,25,midfield,Austria,10000000.0,Bundesliga
Sékou Mara,Southampton FC,20,Attack,France,10000000.0,Premier League
Jordan Henderson,Liverpool FC,33,midfield,England,10000000.0,Premier League
Lucas Martínez Quarta,ACF Fiorentina,27,Defender,Argentina,10000000.0,Serie A
Adama Traoré,Wolverhampton Wanderers,27,Attack,Spain,10000000.0,Premier League
Marc Roca,Leeds United,26,midfield,Spain,10000000.0,Premier League
Willi Orbán,RB Leipzig,30,Defender,Hungary,10000000.0,Bundesliga
Abdou Diallo,RB Leipzig,27,Defender,Senegal,10000000.0,Bundesliga
Lewis Cook,AFC Bournemouth,26,midfield,England,10000000.0,Premier League
Michael Keane,Everton FC,30,Defender,England,10000000.0,Premier League
Eric García,FC Barcelona,22,Defender,Spain,10000000.0,La Liga
Sergio Reguilón,Atlético de Madrid,26,Defender,Spain,10000000.0,La Liga
Marten de Roon,Atalanta BC,32,midfield,Netherlands,10000000.0,Serie A
Fabian Schär,Newcastle United,31,Defender,Switzerland,10000000.0,Premier League
Jaka Bijol,Udinese Calcio,24,Defender,Slovenia,10000000.0,Serie A
Dan Burn,Newcastle United,31,Defender,England,10000000.0,Premier League
Saúl Ñíguez,Atlético de Madrid,28,midfield,Spain,10000000.0,La Liga
Danilo Cataldi,SS Lazio,28,midfield,Italy,10000000.0,Serie A
Matheus Henrique,US Sassuolo,25,midfield,Brazil,10000000.0,Serie A
Predrag Rajkovic,RCD Mallorca,27,Goalkeeper,Serbia,10000000.0,La Liga
Pape Gueye,Sevilla FC,24,midfield,Senegal,10000000.0,La Liga
Manu Sánchez,CA Osasuna,22,Defender,Spain,10000000.0,La Liga
Máximo Perrone,Manchester City,20,midfield,Argentina,10000000.0,Premier League
Moi Gómez,CA Osasuna,29,Attack,Spain,10000000.0,La Liga
Rodrigo Becão,Udinese Calcio,27,Defender,Brazil,10000000.0,Serie A
Nehuén Pérez,Udinese Calcio,23,Defender,Argentina,10000000.0,Serie A
Caleb Okoli,Atalanta BC,21,Defender,Italy,10000000.0,Serie A
Junior Firpo,Leeds United,26,Defender,Dominican Republic,10000000.0,Premier League
Scott McKenna,Nottingham Forest,26,Defender,Scotland,10000000.0,Premier League
Chris Richards,Crystal Palace,23,Defender,United States,10000000.0,Premier League
Harry Winks,UC Sampdoria,27,midfield,England,10000000.0,Serie A
Iñigo Martínez,Athletic Bilbao,32,Defender,Spain,10000000.0,La Liga
Rafa Mir,Sevilla FC,26,Attack,Spain,10000000.0,La Liga
Gustavo Scarpa,Nottingham Forest,29,midfield,Brazil,10000000.0,Premier League
Leonardo Spinazzola,AS Roma,30,Defender,Italy,10000000.0,Serie A
Antonio Sanabria,Torino FC,27,Attack,Paraguay,10000000.0,Serie A
Clément Lenglet,Tottenham Hotspur,28,Defender,France,10000000.0,Premier League
Andrea Petagna,AC Monza,27,Attack,Italy,10000000.0,Serie A
Rolando Mandragora,ACF Fiorentina,25,midfield,Italy,10000000.0,Serie A
Sergiño Dest,AC Milan,22,Defender,United States,10000000.0,Serie A
Igor,ACF Fiorentina,25,Defender,Brazil,10000000.0,Serie A
Edoardo Bove,AS Roma,21,midfield,Italy,10000000.0,Serie A
Mady Camara,AS Roma,26,midfield,Guinea,10000000.0,Serie A
David Datro Fofana,Chelsea FC,20,Attack,Cote d'Ivoire,10000000.0,Premier League
Aleix García,Girona FC,25,midfield,Spain,10000000.0,La Liga
Zeki Celik,AS Roma,26,Defender,Turkey,10000000.0,Serie A
Marcos Acuña,Sevilla FC,31,Defender,Argentina,10000000.0,La Liga
Nico González,Valencia CF,21,midfield,Spain,10000000.0,La Liga
Sandi Lovric,Udinese Calcio,25,midfield,Slovenia,10000000.0,Serie A
Gerard Deulofeu,Udinese Calcio,29,Attack,Spain,10000000.0,Serie A
Berat Djimsiti,Atalanta BC,30,Defender,Albania,10000000.0,Serie A
Junior Dina Ebimbe,Eintracht Frankfurt,22,midfield,France,10000000.0,Bundesliga
Ricardo Pereira,Leicester City,29,Defender,Portugal,10000000.0,Premier League
Mario Lemina,Wolverhampton Wanderers,29,midfield,Gabon,10000000.0,Premier League
Neal Maupay,Everton FC,26,Attack,France,10000000.0,Premier League
Lewis Hall,Chelsea FC,18,Defender,England,10000000.0,Premier League
Gaetano Castrovilli,ACF Fiorentina,26,midfield,Italy,10000000.0,Serie A
Maximilian Eggestein,SC Freiburg,26,midfield,Germany,10000000.0,Bundesliga
Rade Krunic,AC Milan,29,midfield,Bosnia-Herzegovina,10000000.0,Serie A
Philippe Coutinho,Aston Villa,31,Attack,Brazil,10000000.0,Premier League
Miguel Gutiérrez,Girona FC,21,Defender,Spain,10000000.0,La Liga
Antonin Barak,ACF Fiorentina,28,midfield,Czech Republic,10000000.0,Serie A
Wojciech Szczesny,Juventus FC,33,Goalkeeper,Poland,10000000.0,Serie A
Sergio Camello,Rayo Vallecano,22,Attack,Spain,10000000.0,La Liga
Lucas Boyé,Elche CF,27,Attack,Argentina,10000000.0,La Liga
Alessandro Buongiorno,Torino FC,24,Defender,Italy,10000000.0,Serie A
Gabriel Strefezza,US Lecce,26,Attack,Brazil,10000000.0,Serie A
Fabiano Parisi,FC Empoli,22,Defender,Italy,10000000.0,Serie A
Benjamin André,LOSC Lille,32,midfield,France,9000000.0,Ligue 1
Joris Chotard,Montpellier HSC,21,midfield,France,9000000.0,Ligue 1
Sinaly Diomandé,Olympique Lyon,22,Defender,Cote d'Ivoire,9000000.0,Ligue 1
Zakaria Aboukhlal,FC Toulouse,23,Attack,Morocco,9000000.0,Ligue 1
Nicolás Tagliafico,Olympique Lyon,30,Defender,Argentina,9000000.0,Ligue 1
Lesley Ugochukwu,Stade Rennais FC,19,midfield,France,9000000.0,Ligue 1
Warmed Omari,Stade Rennais FC,23,Defender,France,9000000.0,Ligue 1
Marshall Munetsi,Stade Reims,27,midfield,Zimbabwe,9000000.0,Ligue 1
Przemyslaw Frankowski,RC Lens,28,midfield,Poland,9000000.0,Ligue 1
Angelo Fulgini,RC Lens,26,midfield,France,9000000.0,Ligue 1
Iker Muniain,Athletic Bilbao,30,midfield,Spain,9000000.0,La Liga
Gabriel Slonina,Chelsea FC,19,Goalkeeper,United States,9000000.0,Premier League
Mason Holgate,Everton FC,26,Defender,England,9000000.0,Premier League
Mohamed Elyounoussi,Southampton FC,28,Attack,Norway,9000000.0,Premier League
Vladimir Coufal,West Ham United,30,Defender,Czech Republic,9000000.0,Premier League
Borja Mayoral,Getafe CF,26,Attack,Spain,9000000.0,La Liga
Tom Davies,Everton FC,24,midfield,England,9000000.0,Premier League
Flynn Downes,West Ham United,24,midfield,England,9000000.0,Premier League
Óliver Torres,Sevilla FC,28,midfield,Spain,9000000.0,La Liga
Samuel Iling Junior,Juventus FC,19,Attack,England,9000000.0,Serie A
Andoni Gorosabel,Real Sociedad,26,Defender,Spain,9000000.0,La Liga
Edgar González,Real Betis Balompié,26,Defender,Spain,9000000.0,La Liga
Carles Aleñá,Getafe CF,25,midfield,Spain,9000000.0,La Liga
Mauro Arambarri,Getafe CF,27,midfield,Uruguay,9000000.0,La Liga
Brandon Soppy,Atalanta BC,21,Defender,France,9000000.0,Serie A
Antoine Semenyo,AFC Bournemouth,23,Attack,Ghana,9000000.0,Premier League
Unai Vencedor,Athletic Bilbao,22,midfield,Spain,9000000.0,La Liga
Ethan Ampadu,Spezia Calcio,22,Defender,Wales,9000000.0,Serie A
Mitchel Bakker,Bayer 04 Leverkusen,23,Defender,Netherlands,9000000.0,Bundesliga
Patrick Bamford,Leeds United,29,Attack,England,9000000.0,Premier League
Jonas Omlin,Borussia Mönchengladbach,29,Goalkeeper,Switzerland,9000000.0,Bundesliga
Eric Martel,1.FC Köln,21,midfield,Germany,9000000.0,Bundesliga
Ludovic Ajorque,1.FSV Mainz 05,29,Attack,France,9000000.0,Bundesliga
Lucas Tousart,Hertha BSC,26,midfield,France,9000000.0,Bundesliga
Rafael Borré,Eintracht Frankfurt,27,Attack,Colombia,9000000.0,Bundesliga
Stefan Ortega,Manchester City,30,Goalkeeper,Germany,9000000.0,Premier League
Joshua Zirkzee,Bologna FC 1909,22,Attack,Netherlands,9000000.0,Serie A
Erik Lamela,Sevilla FC,31,Attack,Argentina,9000000.0,La Liga
Joan Jordán,Sevilla FC,28,midfield,Spain,9000000.0,La Liga
Chimy Ávila,CA Osasuna,29,Attack,Argentina,9000000.0,La Liga
Jaidon Anthony,AFC Bournemouth,23,Attack,England,9000000.0,Premier League
Sebastiaan Bornauw,VfL Wolfsburg,24,Defender,Belgium,8500000.0,Bundesliga
Aster Vranckx,AC Milan,20,midfield,Belgium,8500000.0,Serie A
Julien Duranville,Borussia Dortmund,17,Attack,Belgium,8500000.0,Bundesliga
Anthony Caci,1.FSV Mainz 05,25,Defender,France,8500000.0,Bundesliga
Kevin Trapp,Eintracht Frankfurt,32,Goalkeeper,Germany,8500000.0,Bundesliga
Felix Uduokhai,FC Augsburg,25,Defender,Germany,8500000.0,Bundesliga
Timo Hübers,1.FC Köln,26,Defender,Germany,8500000.0,Bundesliga
Óscar Rodríguez,Celta de Vigo,24,midfield,Spain,8000000.0,La Liga
Pablo Maffeo,RCD Mallorca,25,Defender,Spain,8000000.0,La Liga
Lucas Torró,CA Osasuna,28,midfield,Spain,8000000.0,La Liga
Luka Jovic,ACF Fiorentina,25,Attack,Serbia,8000000.0,Serie A
Calum Chambers,Aston Villa,28,Defender,England,8000000.0,Premier League
Riccardo Sottil,ACF Fiorentina,24,Attack,Italy,8000000.0,Serie A
Arkadiusz Milik,Juventus FC,29,Attack,Poland,8000000.0,Serie A
Chris Smalling,AS Roma,33,Defender,England,8000000.0,Serie A
Duván Zapata,Atalanta BC,32,Attack,Colombia,8000000.0,Serie A
Samuel Edozie,Southampton FC,20,Attack,England,8000000.0,Premier League
Lucas Vázquez,Real Madrid,31,Defender,Spain,8000000.0,La Liga
Remo Freuler,Nottingham Forest,31,midfield,Switzerland,8000000.0,Premier League
Rob Holding,Arsenal FC,27,Defender,England,8000000.0,Premier League
Andrea Belotti,AS Roma,29,Attack,Italy,8000000.0,Serie A
Javi Puado,RCD Espanyol Barcelona,25,Attack,Spain,8000000.0,La Liga
David Soria,Getafe CF,30,Goalkeeper,Spain,8000000.0,La Liga
Josh Doig,Hellas Verona,21,Defender,Scotland,8000000.0,Serie A
Andrea Cambiaso,Bologna FC 1909,23,Defender,Italy,8000000.0,Serie A
Santiago Bueno,Girona FC,24,Defender,Uruguay,8000000.0,La Liga
Thierry Correia,Valencia CF,24,Defender,Portugal,8000000.0,La Liga
Ainsley Maitland-Niles,Arsenal FC,25,midfield,England,8000000.0,Premier League
Cyle Larin,Real Valladolid CF,28,Attack,Canada,8000000.0,La Liga
César Montes,RCD Espanyol Barcelona,26,Defender,Mexico,8000000.0,La Liga
Mama Baldé,ESTAC Troyes,27,Attack,Guinea-Bissau,8000000.0,Ligue 1
Alphonse Areola,West Ham United,30,Goalkeeper,France,8000000.0,Premier League
Georginio Wijnaldum,AS Roma,32,midfield,Netherlands,8000000.0,Serie A
Yehvann Diouf,Stade Reims,23,Goalkeeper,France,8000000.0,Ligue 1
Sead Kolasinac,Olympique Marseille,30,Defender,Bosnia-Herzegovina,8000000.0,Ligue 1
Marash Kumbulla,AS Roma,23,Defender,Albania,8000000.0,Serie A
Moses Simon,FC Nantes,27,Attack,Nigeria,8000000.0,Ligue 1
Karl Toko Ekambi,Stade Rennais FC,30,Attack,Cameroon,8000000.0,Ligue 1
Anthony Lopes,Olympique Lyon,32,Goalkeeper,Portugal,8000000.0,Ligue 1
Alexander Djiku,RC Strasbourg Alsace,28,Defender,Ghana,8000000.0,Ligue 1
Kevin Volland,AS Monaco,30,Attack,Germany,8000000.0,Ligue 1
Jeffinho,Olympique Lyon,23,Attack,Brazil,8000000.0,Ligue 1
Alexander Nübel,AS Monaco,26,Goalkeeper,Germany,8000000.0,Ligue 1
Bamba Dieng,FC Lorient,23,Attack,Senegal,8000000.0,Ligue 1
Amin Sarr,Olympique Lyon,22,Attack,Sweden,8000000.0,Ligue 1
Edon Zhegrova,LOSC Lille,24,Attack,Kosovo,8000000.0,Ligue 1
Jordan Lotomba,OGC Nice,24,Defender,Switzerland,8000000.0,Ligue 1
David Costa,RC Lens,22,midfield,Portugal,8000000.0,Ligue 1
Montassar Talbi,FC Lorient,25,Defender,Tunisia,8000000.0,Ligue 1
Hicham Boudaoui,OGC Nice,23,midfield,Algeria,8000000.0,Ligue 1
Joseph Aidoo,Celta de Vigo,27,Defender,Ghana,8000000.0,La Liga
Gianluca Caprari,AC Monza,29,Attack,Italy,8000000.0,Serie A
Chris Mepham,AFC Bournemouth,25,Defender,Wales,8000000.0,Premier League
Luis Suárez,UD Almería,25,Attack,Colombia,8000000.0,La Liga
Matías Viña,AFC Bournemouth,25,Defender,Uruguay,8000000.0,Premier League
Juan Musso,Atalanta BC,29,Goalkeeper,Argentina,8000000.0,Serie A
Yacine Adli,AC Milan,22,midfield,France,8000000.0,Serie A
Matt Turner,Arsenal FC,29,Goalkeeper,United States,8000000.0,Premier League
Frank Onyeka,Brentford FC,25,midfield,Nigeria,8000000.0,Premier League
Ángel Di María,Juventus FC,35,Attack,Argentina,8000000.0,Serie A
Tecatito,Sevilla FC,30,Attack,Mexico,8000000.0,La Liga
Mário Rui,SSC Napoli,32,Defender,Portugal,8000000.0,Serie A
Nicolò Cambiaghi,FC Empoli,22,Attack,Italy,8000000.0,Serie A
Chris Wood,Nottingham Forest,31,Attack,New Zealand,8000000.0,Premier League
Daniel-Kofi Kyereh,SC Freiburg,27,midfield,Ghana,8000000.0,Bundesliga
Michael Gregoritsch,SC Freiburg,29,Attack,Austria,8000000.0,Bundesliga
Alassane Plea,Borussia Mönchengladbach,30,Attack,France,8000000.0,Bundesliga
Ansgar Knauff,Eintracht Frankfurt,21,Attack,Germany,8000000.0,Bundesliga
Koen Casteels,VfL Wolfsburg,31,Goalkeeper,Belgium,8000000.0,Bundesliga
Aurélio Buta,Eintracht Frankfurt,26,Defender,Portugal,8000000.0,Bundesliga
Dennis Geiger,TSG 1899 Hoffenheim,25,midfield,Germany,8000000.0,Bundesliga
Silas,VfB Stuttgart,24,Attack,DR Congo,8000000.0,Bundesliga
Andrej Kramaric,TSG 1899 Hoffenheim,32,Attack,Croatia,8000000.0,Bundesliga
Josha Vagnoman,VfB Stuttgart,22,Defender,Germany,8000000.0,Bundesliga
Erhan Masovic,VfL Bochum,24,Defender,Serbia,8000000.0,Bundesliga
Adam Marusic,SS Lazio,30,Defender,Montenegro,8000000.0,Serie A
Moussa Djenepo,Southampton FC,25,Attack,Mali,8000000.0,Premier League
Federico Baschirotto,US Lecce,26,Defender,Italy,8000000.0,Serie A
Razvan Marin,FC Empoli,27,midfield,Romania,8000000.0,Serie A
Simone Pafundi,Udinese Calcio,17,midfield,Italy,8000000.0,Serie A
Marcos Antônio,SS Lazio,23,midfield,Brazil,8000000.0,Serie A
Emmanuel Dennis,Nottingham Forest,25,Attack,Nigeria,8000000.0,Premier League
Jesse Lingard,Nottingham Forest,30,midfield,England,8000000.0,Premier League
Agustín Álvarez,US Sassuolo,22,Attack,Uruguay,8000000.0,Serie A
Raúl de Tomás,Rayo Vallecano,28,Attack,Spain,8000000.0,La Liga
M'Bala Nzola,Spezia Calcio,26,Attack,Angola,8000000.0,Serie A
Alejandro Catena,Rayo Vallecano,28,Defender,Spain,8000000.0,La Liga
Conan Ledesma,Cádiz CF,30,Goalkeeper,Argentina,8000000.0,La Liga
Lorenzo Pirola,US Salernitana 1919,21,Defender,Italy,8000000.0,Serie A
Flavius Daniliuc,US Salernitana 1919,22,Defender,Austria,8000000.0,Serie A
Stefano Sensi,AC Monza,27,midfield,Italy,8000000.0,Serie A
Rodri Sánchez,Real Betis Balompié,23,midfield,Spain,8000000.0,La Liga
Sergio Herrera,CA Osasuna,30,Goalkeeper,Spain,8000000.0,La Liga
Serge Aurier,Nottingham Forest,30,Defender,Cote d'Ivoire,8000000.0,Premier League
Michele Di Gregorio,AC Monza,25,Goalkeeper,Italy,8000000.0,Serie A
Stefan de Vrij,Inter Milan,31,Defender,Netherlands,8000000.0,Serie A
Elliot Anderson,Newcastle United,20,midfield,Scotland,8000000.0,Premier League
Alex Telles,Sevilla FC,30,Defender,Brazil,7500000.0,La Liga
Andreas Hanche-Olsen,1.FSV Mainz 05,26,Defender,Norway,7500000.0,Bundesliga
Marvin Ducksch,SV Werder Bremen,29,Attack,Germany,7500000.0,Bundesliga
Tanguy Nianzou,Sevilla FC,21,Defender,France,7500000.0,La Liga
Azor Matusiwa,Stade Reims,25,midfield,Netherlands,7500000.0,Ligue 1
Emmanuel Agbadou,Stade Reims,26,Defender,Cote d'Ivoire,7500000.0,Ligue 1
Christian Günter,SC Freiburg,30,Defender,Germany,7500000.0,Bundesliga
Nedim Bajrami,US Sassuolo,24,midfield,Albania,7500000.0,Serie A
Marcão,Sevilla FC,27,Defender,Brazil,7500000.0,La Liga
Manuel Lazzari,SS Lazio,29,Defender,Italy,7500000.0,Serie A
Arne Engels,FC Augsburg,19,midfield,Belgium,7500000.0,Bundesliga
Kristian Thorstvedt,US Sassuolo,24,midfield,Norway,7500000.0,Serie A
Sergio Akieme,UD Almería,25,Defender,Spain,7500000.0,La Liga
Moritz Jenz,FC Schalke 04,24,Defender,Germany,7500000.0,Bundesliga
Santi Comesaña,Rayo Vallecano,26,midfield,Spain,7500000.0,La Liga
Lucas Robertone,UD Almería,26,midfield,Argentina,7000000.0,La Liga
Juan Miranda,Real Betis Balompié,23,Defender,Spain,7000000.0,La Liga
Walace,Udinese Calcio,28,midfield,Brazil,7000000.0,Serie A
Jeffrey Schlupp,Crystal Palace,30,midfield,Ghana,7000000.0,Premier League
Michail Antonio,West Ham United,33,Attack,Jamaica,7000000.0,Premier League
Krzysztof Piatek,US Salernitana 1919,27,Attack,Poland,7000000.0,Serie A
Brandon Williams,Manchester United,22,Defender,England,7000000.0,Premier League
Martín Satriano,FC Empoli,22,Attack,Uruguay,7000000.0,Serie A
Alex Oxlade-Chamberlain,Liverpool FC,29,midfield,England,7000000.0,Premier League
Jean-Philippe Mateta,Crystal Palace,25,Attack,France,7000000.0,Premier League
Ivan Perisic,Tottenham Hotspur,34,midfield,Croatia,7000000.0,Premier League
