Player,Club,Age,Position,Nation,Value,League
Lisandro Martínez,Manchester United,25,Defender,Argentina,50000000.0,Premier League
Heung-min Son,Tottenham Hotspur,30,Attack,"Korea, South",50000000.0,Premier League
Sandro Tonali,AC Milan,23,midfield,Italy,50000000.0,Serie A
Dejan Kulusevski,Tottenham Hotspur,23,Attack,Sweden,50000000.0,Premier League
Moussa Diaby,Bayer 04 Leverkusen,23,Attack,France,50000000.0,Bundesliga
Dominik Szoboszlai,RB Leipzig,22,midfield,Hungary,50000000.0,Bundesliga
João Cancelo,Bayern Munich,29,Defender,Portugal,50000000.0,Bundesliga
Richarlison,Tottenham Hotspur,26,Attack,Brazil,48000000.0,Premier League
Rasmus Højlund,Atalanta BC,20,Attack,Denmark,45000000.0,Serie A
Gianluigi Donnarumma,Paris Saint-Germain,24,Goalkeeper,Italy,45000000.0,Ligue 1
Jadon Sancho,Manchester United,23,Attack,England,45000000.0,Premier League
Thibaut Courtois,Real Madrid,31,Goalkeeper,Belgium,45000000.0,La Liga
Pierre-Emile Höjbjerg,Tottenham Hotspur,27,midfield,Denmark,45000000.0,Premier League
Matheus Nunes,Wolverhampton Wanderers,24,midfield,Portugal,45000000.0,Premier League
Lucas Hernández,Bayern Munich,27,Defender,France,45000000.0,Bundesliga
Leon Goretzka,Bayern Munich,28,midfield,Germany,45000000.0,Bundesliga
Sven Botman,Newcastle United,23,Defender,Netherlands,45000000.0,Premier League
Mike Maignan,AC Milan,27,Goalkeeper,France,45000000.0,Serie A
Amadou Onana,Everton FC,21,midfield,Belgium,45000000.0,Premier League
Pau Torres,Villarreal CF,26,Defender,Spain,45000000.0,La Liga
Lucas Paquetá,West Ham United,25,midfield,Brazil,45000000.0,Premier League
Vitinha,Paris Saint-Germain,23,midfield,Portugal,42000000.0,Ligue 1
Jacob Ramsey,Aston Villa,22,midfield,England,42000000.0,Premier League
Oleksandr Zinchenko,Arsenal FC,26,Defender,Ukraine,42000000.0,Premier League
Joelinton,Newcastle United,26,midfield,Brazil,42000000.0,Premier League
Luke Shaw,Manchester United,27,Defender,England,42000000.0,Premier League
Fabinho,Liverpool FC,29,midfield,Brazil,42000000.0,Premier League
Nathan Aké,Manchester City,28,Defender,Netherlands,42000000.0,Premier League
Fikayo Tomori,AC Milan,25,Defender,England,40000000.0,Serie A
Mikel Oyarzabal,Real Sociedad,26,Attack,Spain,40000000.0,La Liga
Ederson,Manchester City,29,Goalkeeper,Brazil,40000000.0,Premier League
David Alaba,Real Madrid,31,Defender,Austria,40000000.0,La Liga
Diogo Dalot,Manchester United,24,Defender,Portugal,40000000.0,Premier League
Bremer,Juventus FC,26,Defender,Brazil,40000000.0,Serie A
Tammy Abraham,AS Roma,25,Attack,England,40000000.0,Serie A
Frank Anguissa,SSC Napoli,27,midfield,Cameroon,40000000.0,Serie A
Rodrigo Bentancur,Tottenham Hotspur,26,midfield,Uruguay,40000000.0,Premier League
Andreas Christensen,FC Barcelona,27,Defender,Denmark,40000000.0,La Liga
Martín Zubimendi,Real Sociedad,24,midfield,Spain,40000000.0,La Liga
Morgan Gibbs-White,Nottingham Forest,23,midfield,England,40000000.0,Premier League
Aaron Ramsdale,Arsenal FC,25,Goalkeeper,England,40000000.0,Premier League
Marco Verratti,Paris Saint-Germain,30,midfield,Italy,40000000.0,Ligue 1
Khéphren Thuram,OGC Nice,22,midfield,France,40000000.0,Ligue 1
John Stones,Manchester City,29,Defender,England,40000000.0,Premier League
Yéremy Pino,Villarreal CF,20,Attack,Spain,40000000.0,La Liga
João Palhinha,Fulham FC,27,midfield,Portugal,40000000.0,Premier League
Eberechi Eze,Crystal Palace,24,midfield,England,40000000.0,Premier League
Hakan Calhanoglu,Inter Milan,29,midfield,Turkey,40000000.0,Serie A
Stanislav Lobotka,SSC Napoli,28,midfield,Slovakia,40000000.0,Serie A
Jeremie Frimpong,Bayer 04 Leverkusen,22,Defender,Netherlands,40000000.0,Bundesliga
Nico Schlotterbeck,Borussia Dortmund,23,Defender,Germany,40000000.0,Bundesliga
Julian Brandt,Borussia Dortmund,27,midfield,Germany,40000000.0,Bundesliga
Karim Adeyemi,Borussia Dortmund,21,Attack,Germany,40000000.0,Bundesliga
Benjamin Pavard,Bayern Munich,27,Defender,France,40000000.0,Bundesliga
Dani Olmo,RB Leipzig,25,midfield,Spain,40000000.0,Bundesliga
Manu Koné,Borussia Mönchengladbach,22,midfield,France,40000000.0,Bundesliga
Rodrigo de Paul,Atlético de Madrid,29,midfield,Argentina,40000000.0,La Liga
Ismaël Bennacer,AC Milan,25,midfield,Algeria,40000000.0,Serie A
Adrien Rabiot,Juventus FC,28,midfield,France,40000000.0,Serie A
Andrew Robertson,Liverpool FC,29,Defender,Scotland,40000000.0,Premier League
Douglas Luiz,Aston Villa,25,midfield,Brazil,40000000.0,Premier League
Benoît Badiashile,Chelsea FC,22,Defender,France,40000000.0,Premier League
Romelu Lukaku,Inter Milan,30,Attack,Belgium,40000000.0,Serie A
Federico Chiesa,Juventus FC,25,Attack,Italy,40000000.0,Serie A
Pedro Porro,Tottenham Hotspur,23,Defender,Spain,40000000.0,Premier League
Casemiro,Manchester United,31,midfield,Brazil,40000000.0,Premier League
Giorgio Scalvini,Atalanta BC,19,Defender,Italy,40000000.0,Serie A
Ollie Watkins,Aston Villa,27,Attack,England,40000000.0,Premier League
